"event","experiment time","system time","system time text"
"START",0.000000000E0,1716963172.037,"2024-05-29 11:42:52.037 UTC+05:30"
"PAUSE",1.621076770E1,1716963188.248,"2024-05-29 11:43:08.248 UTC+05:30"
