"event","experiment time","system time","system time text"
"START",0.000000000E0,1716964660.897,"2024-05-29 12:07:40.897 UTC+05:30"
"PAUSE",9.903383955E0,1716964670.800,"2024-05-29 12:07:50.800 UTC+05:30"
