"event","experiment time","system time","system time text"
"START",0.000000000E0,1717426750.413,"2024-06-03 20:29:10.413 UTC+05:30"
"PAUSE",1.863804218E1,1717426769.051,"2024-06-03 20:29:29.051 UTC+05:30"
