t,x,y,z
0.211562,0.0257377,0.217326,9.81453
0.212814,0.0257377,0.214946,9.80978
0.214066,0.0234253,0.219504,9.80271
0.215318,0.0210461,0.224263,9.79557
0.21657,0.0209493,0.222174,9.79756
0.217822,0.0209493,0.219795,9.79994
0.219074,0.0254539,0.215163,9.7888
0.220325,0.0302125,0.210405,9.77691
0.221577,0.0305261,0.207869,9.78279
0.222829,0.0305261,0.205489,9.78993
0.224081,0.0239478,0.200917,9.79049
0.225333,0.0168099,0.196159,9.79049
0.226585,0.0183238,0.197889,9.79482
0.227837,0.0207031,0.200268,9.79957
0.229088,0.0252156,0.202648,9.7958
0.23034,0.0299742,0.205027,9.79104
0.231592,0.0242159,0.201096,9.78628
0.232844,0.0170778,0.196337,9.78152
0.234096,0.0203083,0.193652,9.78506
0.235348,0.025067,0.191273,9.78982
0.236599,0.0318697,0.195026,9.79253
0.237851,0.0390077,0.199784,9.79491
0.239103,0.0360743,0.200514,9.79528
0.240355,0.0313156,0.200514,9.79528
0.241607,0.0285415,0.202499,9.79131
0.242859,0.0261621,0.204878,9.78655
0.244111,0.0257377,0.209213,9.77984
0.245362,0.0257377,0.213971,9.7727
0.246614,0.019962,0.21488,9.77134
0.247866,0.012824,0.21488,9.77134
0.249118,0.0189545,0.209193,9.77134
0.25037,0.0284719,0.202055,9.77134
0.251622,0.0323919,0.204246,9.7732
0.252873,0.0347712,0.209005,9.77558
0.254125,0.0353145,0.208255,9.77612
0.255377,0.0353145,0.205876,9.77612
0.256629,0.0262824,0.205303,9.77793
0.257881,0.0143856,0.205303,9.78031
0.259133,0.0184793,0.210633,9.77914
0.260385,0.0279968,0.217771,9.77676
0.261636,0.028779,0.221415,9.77962
0.262888,0.0263997,0.223794,9.78438
0.26414,0.0257377,0.21587,9.78398
0.265392,0.0257377,0.203973,9.7816
0.266644,0.0223625,0.20389,9.78091
0.267896,0.0176039,0.208648,9.78091
0.269148,0.0178186,0.210091,9.7776
0.270399,0.0201979,0.210091,9.77284
0.271651,0.0242049,0.211719,9.77459
0.272903,0.0289633,0.214098,9.77935
0.274155,0.0305261,0.218075,9.78091
0.275407,0.0305261,0.222834,9.78091
0.276659,0.025823,0.236998,9.78405
0.27791,0.0186857,0.256031,9.78881
0.279162,0.0192358,0.258151,9.79049
0.280414,0.0239939,0.251014,9.79049
0.281666,0.0227234,0.251413,9.78597
0.282918,0.0179654,0.256171,9.77883
0.28417,0.0161609,0.255022,9.7776
0.285422,0.0161609,0.250264,9.77998
0.286673,0.0190533,0.246952,9.78525
0.287925,0.0238111,0.244573,9.79239
0.289177,0.0271533,0.252104,9.79528
0.290429,0.0295322,0.266377,9.79528
0.291681,0.0346812,0.273725,9.80082
0.292933,0.0418179,0.276104,9.81033
0.294185,0.0435367,0.278483,9.81308
0.295436,0.0411576,0.280863,9.8107
0.296688,0.0334804,0.281917,9.80567
0.29794,0.0215839,0.281917,9.79853
0.299192,0.0148661,0.278033,9.79528
0.300444,0.0124867,0.270895,9.79528
0.301696,0.0151679,0.267552,9.79781
0.302947,0.0223061,0.267552,9.80257
0.304199,0.0282088,0.268788,9.80733
0.305451,0.0329676,0.271167,9.81208
0.306703,0.0329026,0.273546,9.81323
0.307955,0.0281438,0.275926,9.81085
0.309207,0.026914,0.275952,9.812
0.310459,0.0292934,0.273573,9.81675
0.31171,0.0316728,0.274634,9.81119
0.312962,0.0340522,0.279393,9.79454
0.314214,0.0375488,0.281917,9.78347
0.315466,0.0423076,0.281917,9.77871
0.316718,0.0427162,0.278655,9.78156
0.31797,0.0379574,0.271516,9.79346
0.319221,0.0353145,0.267552,9.79583
0.320473,0.0353145,0.267552,9.78632
0.321725,0.0342862,0.269609,9.78091
0.322977,0.0319069,0.274367,9.78091
0.324229,0.0295276,0.275132,9.78391
0.325481,0.0271483,0.270373,9.79105
0.326733,0.0267063,0.269489,9.79721
0.327984,0.0290855,0.274248,9.80197
0.329236,0.0286487,0.278068,9.80298
0.330488,0.0238901,0.280447,9.79822
0.33174,0.0209493,0.2801,9.79437
0.332992,0.0209493,0.275341,9.79199
0.334244,0.021828,0.269704,9.79225
0.335496,0.0242072,0.262567,9.79701
0.336747,0.0257377,0.259673,9.79922
0.337999,0.0257377,0.264431,9.79684
0.339251,0.0273746,0.268371,9.79691
0.340503,0.0321327,0.27075,9.80167
0.341755,0.0353145,0.269976,9.80328
0.343007,0.0353145,0.262839,9.79852
0.344258,0.0360723,0.257217,9.79452
0.34551,0.0384513,0.254838,9.79214
0.346762,0.0401029,0.253187,9.78831
0.348014,0.0401029,0.253187,9.78117
0.349266,0.0394059,0.251793,9.77752
0.350518,0.0370269,0.247035,9.78228
0.35177,0.0346478,0.244277,9.78503
0.353021,0.0322688,0.246656,9.78266
0.354273,0.0317988,0.247762,9.78091
0.355525,0.0365573,0.245383,9.78091
0.356777,0.0382836,0.243004,9.78213
0.358029,0.0311457,0.240624,9.78688
0.359281,0.0263143,0.237668,9.78991
0.360533,0.0286938,0.232909,9.78753
0.361784,0.0305261,0.228698,9.7868
0.363036,0.0305261,0.226318,9.79155
0.364288,0.0305261,0.224974,9.79528
0.36554,0.0305261,0.227354,9.79528
0.366792,0.0305261,0.22778,9.79528
0.368044,0.0305261,0.220642,9.79528
0.369295,0.0296088,0.21488,9.79574
0.370547,0.0248499,0.21488,9.79812
0.371799,0.0213784,0.214021,9.79921
0.373051,0.0237579,0.209262,9.79445
0.374303,0.0269366,0.205702,9.79089
0.375555,0.034075,0.208082,9.79327
0.376807,0.0386223,0.210091,9.79491
0.378058,0.0291045,0.210091,9.79253
0.37931,0.0206086,0.210091,9.79117
0.380562,0.0182292,0.210091,9.79593
0.381814,0.0174054,0.211025,9.79975
0.383066,0.0269233,0.218163,9.79738
0.384318,0.0347512,0.223893,9.79528
0.385569,0.0299924,0.219134,9.79528
0.386821,0.0262417,0.21488,9.79528
0.388073,0.0310004,0.21488,9.79528
0.389325,0.0346475,0.215324,9.79506
0.390577,0.0275096,0.220083,9.79268
0.391829,0.0211418,0.223879,9.79068
0.393081,0.0235211,0.216741,9.79306
0.394332,0.0257377,0.210579,9.79511
0.395584,0.0257377,0.217717,9.79274
0.396836,0.025605,0.224589,9.79062
0.398088,0.0232259,0.226968,9.793
0.39934,0.0210517,0.22904,9.79477
0.400592,0.0234308,0.224282,9.78287
0.401844,0.0258098,0.219812,9.77134
0.403095,0.0281888,0.22457,9.77134
0.404347,0.0306096,0.229078,9.77134
0.405599,0.0353675,0.219562,9.77134
0.406851,0.0401142,0.21008,9.77137
0.408103,0.0424931,0.207701,9.77851
0.409355,0.044872,0.205322,9.78564
0.410606,0.035453,0.207662,9.7857
0.411858,0.0259376,0.210041,9.7857
0.41311,0.02108,0.210091,9.79269
0.414362,0.0163224,0.210091,9.79982
0.415614,0.0184589,0.210091,9.79777
0.416866,0.0208377,0.210091,9.79539
0.418118,0.0300183,0.212358,9.79074
0.419369,0.0395336,0.214737,9.78599
0.420621,0.0311569,0.212643,9.79688
0.421873,0.0216417,0.210264,9.80878
0.423125,0.023155,0.210091,9.80303
0.424377,0.0255338,0.210091,9.79589
0.425629,0.0322625,0.214441,9.79745
0.426881,0.0393989,0.219199,9.79983
0.428132,0.0293795,0.221813,9.79792
0.429384,0.0174824,0.224192,9.79554
0.430636,0.020391,0.226571,9.79105
0.431888,0.0251498,0.228951,9.78629
0.43314,0.0215667,0.237587,9.78779
0.434392,0.0168079,0.247104,9.79017
0.435643,0.0284962,0.248398,9.78843
0.436895,0.0427726,0.248398,9.78605
0.438147,0.0408387,0.252451,9.7857
0.439399,0.0360799,0.25721,9.7857
0.440651,0.0313211,0.259972,9.78171
0.441903,0.0265623,0.262351,9.77695
0.443155,0.0277048,0.260797,9.78596
0.444406,0.0300842,0.258417,9.79786
0.445658,0.0285886,0.2541,9.80007
0.44691,0.0262092,0.249341,9.80007
0.448162,0.0238297,0.250306,9.80197
