time,ax (m/s^2),ay (m/s^2),az (m/s^2),aT (m/s^2)
12.057637,2.5319,3.9092,3.5374,5.849
12.058320,2.3670,3.8415,3.9227,5.979
12.064013,2.1762,3.9116,4.1413,6.098
12.068405,1.8233,4.1966,4.1407,6.171
12.074792,1.3553,4.5778,3.9449,6.193
12.079171,0.9740,4.8750,3.5204,6.092
12.083861,0.8438,4.9361,3.0873,5.883
12.090448,0.9226,4.7240,2.7649,5.551
12.094465,1.1356,4.2532,2.5435,5.084
12.098965,1.4121,3.6526,2.4563,4.623
12.104329,1.6142,3.0077,2.4746,4.216
12.108698,1.6992,2.4232,2.4931,3.870
12.113526,1.6862,1.9221,2.5119,3.584
12.119218,1.5789,1.5186,2.4975,3.322
12.130138,1.3618,1.2373,2.3782,3.007
12.131329,1.0154,1.1503,2.1828,2.668
12.144902,0.6066,1.3111,1.9065,2.392
12.145767,0.1880,1.6435,1.5972,2.299
12.146343,-0.1206,2.0186,1.2835,2.395
12.149327,-0.3382,2.3365,1.0658,2.590
12.154931,-0.4930,2.5684,0.9201,2.772
12.158904,-0.5791,2.6806,0.8366,2.867
12.164850,-0.4660,2.6102,0.7340,2.751
12.169184,-0.1861,2.3709,0.6555,2.467
12.173408,0.0836,2.1060,0.5915,2.189
12.178328,0.3188,1.9207,0.5229,2.016
12.183639,0.5336,1.7240,0.4115,1.851
12.191096,0.6699,1.5593,0.3243,1.728
12.194174,0.7071,1.4421,0.2421,1.624
12.201972,0.7201,1.3349,0.2223,1.533
12.204839,0.7694,1.2003,0.1643,1.435
12.209889,0.8732,1.0053,0.1159,1.337
12.213777,0.9881,0.7791,0.0961,1.262
12.218849,1.0570,0.5887,0.1002,1.214
12.225581,1.0851,0.4532,0.1997,1.193
12.228248,1.0729,0.3770,0.3086,1.178
12.240770,1.0161,0.3071,0.4746,1.163
12.241714,0.9443,0.2426,0.7407,1.224
12.244401,0.8149,0.1969,0.9971,1.303
12.254473,0.6433,0.1401,1.2007,1.369
12.255331,0.4872,0.1242,1.3900,1.478
12.258832,0.3944,0.0962,1.5268,1.580
12.265050,0.3641,0.0940,1.6208,1.664
12.269151,0.3957,0.1128,1.5858,1.638
12.273078,0.4460,0.1143,1.4365,1.508
12.279602,0.5384,0.0657,1.2494,1.362
12.284217,0.6294,-0.0086,1.0389,1.215
12.289296,0.7330,-0.1082,0.7762,1.073
12.293889,0.8538,-0.2470,0.5092,1.024
12.298938,0.9487,-0.3719,0.2618,1.052
12.304136,0.9074,-0.4493,0.0291,1.013
12.308825,0.8445,-0.4881,-0.1890,0.994
12.313059,0.7982,-0.5407,-0.3925,1.041
12.318872,0.6968,-0.5590,-0.6054,1.079
12.323072,0.5453,-0.5285,-0.7800,1.089
12.328435,0.3777,-0.4587,-0.9400,1.112
12.337429,0.2760,-0.3259,-1.1001,1.180
12.338552,0.1831,-0.1684,-1.2552,1.280
12.343881,0.0711,0.0474,-1.3720,1.375
12.348064,-0.0451,0.2545,-1.4888,1.511
12.354068,-0.0695,0.3907,-1.5722,1.621
12.358488,0.0320,0.4558,-1.6268,1.690
12.364285,0.2361,0.4542,-1.6622,1.739
12.368982,0.4139,0.4667,-1.6306,1.746
12.374107,0.4744,0.5219,-1.5942,1.743
12.378589,0.4270,0.5720,-1.5626,1.718
12.383866,0.3521,0.5887,-1.5310,1.678
12.389989,0.2775,0.5580,-1.4947,1.619
12.394090,0.2066,0.5137,-1.4681,1.569
12.400141,0.1529,0.4799,-1.4704,1.554
12.404914,0.1163,0.4571,-1.5016,1.574
12.409993,0.1071,0.4261,-1.5617,1.622
12.414715,0.1694,0.3774,-1.6840,1.734
12.419783,0.3186,0.3106,-1.7585,1.814
12.430619,0.4451,0.3167,-1.7852,1.867
12.431608,0.4867,0.3910,-1.7834,1.889
12.435085,0.5195,0.4571,-1.7865,1.916
12.439056,0.5096,0.4865,-1.7851,1.919
12.443615,0.4757,0.4792,-1.7791,1.903
12.448728,0.4034,0.4737,-1.7446,1.852
12.454074,0.3310,0.4936,-1.7009,1.802
12.460551,0.2728,0.5342,-1.5856,1.695
12.464646,0.1809,0.5856,-1.4372,1.562
12.469083,0.0459,0.6333,-1.3083,1.454
12.474885,-0.0743,0.6962,-1.1939,1.384
12.479306,-0.1269,0.7596,-1.0128,1.272
12.485157,-0.1503,0.8280,-0.7840,1.150
12.490627,-0.0297,0.8292,-0.6082,1.029
12.496102,0.2689,0.6812,-0.4945,0.884
12.499750,0.6357,0.4793,-0.3520,0.871
12.506255,0.9225,0.3477,-0.2717,1.023
12.509852,1.1007,0.2958,-0.2294,1.163
12.515216,1.2084,0.3094,-0.1774,1.260
12.520578,1.2111,0.3597,-0.1730,1.275
12.531101,1.0749,0.4281,-0.1877,1.172
12.532052,0.8606,0.4673,-0.2022,1.000
12.534947,0.6338,0.5014,-0.2647,0.850
12.540804,0.4232,0.5115,-0.3893,0.770
12.548860,0.2626,0.4930,-0.5185,0.762
12.549945,0.1190,0.4555,-0.6430,0.797
12.554955,0.0742,0.3991,-0.7768,0.876
12.559654,0.1478,0.3141,-0.9106,0.975
12.567241,0.2160,0.2389,-1.0442,1.093
12.571067,0.2271,0.2119,-1.1872,1.227
12.575774,0.1435,0.2761,-1.3013,1.338
12.585705,0.0038,0.3980,-1.3867,1.443
12.586893,-0.1392,0.5106,-1.4288,1.524
12.590411,-0.2430,0.6045,-1.4280,1.570
12.594747,-0.3176,0.6460,-1.4271,1.598
12.600531,-0.3394,0.6350,-1.4741,1.641
12.605969,-0.2938,0.5573,-1.5545,1.677
12.610419,-0.2098,0.4608,-1.6301,1.707
12.615776,-0.1689,0.3740,-1.7103,1.759
12.620564,-0.1039,0.3116,-1.7952,1.825
12.624700,-0.0625,0.2305,-1.9039,1.919
12.630457,0.0321,0.1162,-2.0078,2.011
12.637580,0.1899,-0.0265,-2.0875,2.096
12.640638,0.3486,-0.0831,-2.0906,2.121
12.649010,0.4693,-0.0443,-2.0840,2.137
12.649688,0.5612,0.0181,-2.1062,2.180
12.657148,0.6668,0.0612,-2.1569,2.258
12.660544,0.7905,0.0750,-2.2459,2.382
12.665712,0.8938,0.1075,-2.3729,2.538
12.671803,0.9671,0.1584,-2.4902,2.676
12.676805,0.9815,0.2037,-2.6503,2.834
12.680941,0.9612,0.2672,-2.8055,2.978
12.685522,0.8867,0.3489,-2.9986,3.146
12.689907,0.7675,0.4344,-3.2441,3.362
12.695097,0.6705,0.4908,-3.5275,3.624
12.701250,0.5910,0.5039,-3.8728,3.950
12.704790,0.5580,0.5366,-4.1986,4.269
12.710667,0.6536,0.5462,-4.5336,4.613
12.716721,0.8069,0.5947,-4.8539,4.956
12.721637,0.9282,0.7064,-5.1787,5.308
12.726340,0.9757,0.9050,-5.4552,5.615
12.732108,0.9597,1.1282,-5.6310,5.822
12.743855,0.9281,1.4095,-5.7826,6.024
12.744924,0.9291,1.7534,-6.0057,6.325
12.745730,0.9875,2.1550,-6.2285,6.664
12.751405,1.1560,2.5036,-6.2978,6.875
12.757204,1.4006,2.7368,-6.2904,7.001
12.762023,1.7203,2.8351,-6.2253,7.054
12.765841,2.1185,2.7744,-6.1649,7.085
12.771719,2.4735,2.5783,-6.1617,7.123
12.775973,2.7550,2.2090,-6.1584,7.099
12.780293,2.9136,1.6102,-6.2699,7.099
12.786895,2.8916,0.8265,-6.5297,7.189
12.791434,2.7990,0.0503,-6.8372,7.388
12.795868,2.6976,-0.5596,-6.9917,7.515
12.800080,2.5862,-0.8587,-6.9218,7.439
12.807189,2.3739,-0.8363,-6.8238,7.273
12.810577,2.0805,-0.6309,-6.5928,6.942
12.815549,1.7876,-0.4195,-6.0230,6.297
12.821285,1.6194,-0.3799,-5.2630,5.520
12.826706,1.4042,-0.4994,-4.4277,4.672
12.830947,0.8712,-0.7752,-3.4547,3.646
12.840680,-0.0114,-1.3475,-2.2962,2.662
12.841654,-1.0461,-2.3366,-1.0862,2.781
12.848663,-1.9355,-3.6427,0.0031,4.125
12.851499,-2.2587,-5.1794,0.8523,5.714
12.856547,-1.9096,-6.8741,1.3230,7.256
12.860965,-1.1150,-8.3564,1.5973,8.580
12.866491,-0.1537,-9.2219,1.9960,9.437
12.872111,0.7317,-9.2247,2.5476,9.598
12.877442,1.3356,-8.4078,3.2234,9.103
12.882849,1.5009,-6.9299,4.1954,8.239
12.886767,1.1173,-5.1566,5.3579,7.520
12.892051,0.1996,-3.4824,6.7347,7.584
12.897093,-1.2022,-2.1304,8.0000,8.366
12.901840,-2.9119,-1.2336,9.0725,9.608
12.907336,-4.5945,-0.8535,9.7992,10.856
12.923867,-5.9228,-0.8780,9.9841,11.642
12.924652,-6.7927,-1.0598,9.5419,11.761
12.925262,-7.2870,-1.1066,8.6360,11.354
12.931413,-7.4029,-0.9782,7.5540,10.622
12.932225,-7.0584,-0.8631,6.4494,9.600
12.936227,-6.3014,-0.7860,5.3750,8.320
12.941633,-5.3526,-0.6380,4.4505,6.990
12.947937,-4.4422,-0.4397,3.8146,5.872
12.951383,-3.6624,-0.4041,3.4956,5.079
12.959815,-2.9280,-0.6872,3.4645,4.588
12.962495,-2.2027,-1.1354,3.6730,4.431
12.967312,-1.5218,-1.5434,4.0154,4.563
12.971960,-0.9237,-1.8312,4.3291,4.790
12.977194,-0.3695,-1.9770,4.5517,4.976
12.982254,0.1356,-2.0303,4.8413,5.252
12.986894,0.4805,-1.9733,5.0205,5.416
12.992363,0.5743,-1.7974,4.9269,5.276
12.996788,0.4320,-1.5792,4.6325,4.913
13.002022,0.1647,-1.3709,4.2620,4.480
13.007219,-0.1081,-1.1477,3.9016,4.068
13.012418,-0.3391,-0.9085,3.6183,3.746
13.017391,-0.4619,-0.7000,3.4216,3.523
13.023792,-0.4624,-0.5211,3.3162,3.389
13.027671,-0.2880,-0.3716,3.3977,3.430
13.032382,-0.0396,-0.2707,3.6564,3.667
13.036254,0.1913,-0.2291,4.0297,4.041
13.042840,0.2759,-0.1758,4.4649,4.477
13.052272,0.2146,-0.0790,4.9330,4.938
13.053575,0.1235,0.0163,5.3910,5.392
13.065663,0.0227,0.0937,5.8340,5.835
13.066697,-0.1017,0.2134,6.2856,6.290
13.067226,-0.2696,0.3217,6.6451,6.658
13.073030,-0.3955,0.4031,6.7498,6.773
13.077157,-0.4271,0.4047,6.6095,6.636
13.082527,-0.3116,0.3362,6.1909,6.208
13.088404,-0.2024,0.1893,5.5568,5.564
13.091916,-0.1953,-0.0390,4.8222,4.826
13.097513,-0.2762,-0.2749,4.0737,4.092
13.101634,-0.4688,-0.4594,3.3067,3.371
13.107084,-0.6901,-0.4714,2.6219,2.752
13.112406,-0.9344,-0.3728,2.1102,2.338
13.117748,-1.1860,-0.2162,1.7334,2.111
13.124547,-1.3575,-0.0981,1.4244,1.970
13.127987,-1.4098,0.0716,1.2404,1.879
13.133275,-1.3227,0.3014,1.0953,1.744
13.137233,-1.0433,0.3410,0.9745,1.468
13.143747,-0.5205,0.1040,0.8588,1.010
13.153608,0.1476,-0.3089,0.7001,0.779
13.154589,0.7864,-0.7199,0.4505,1.157
13.158556,1.2406,-1.0032,0.1722,1.605
13.163437,1.4552,-1.1288,-0.1062,1.845
13.168725,1.3614,-1.1667,-0.4566,1.850
13.174353,1.0018,-1.1053,-0.8883,1.736
13.177809,0.4638,-0.9525,-1.3054,1.681
13.183292,-0.0926,-0.7313,-1.6502,1.807
13.188310,-0.4928,-0.4991,-1.8507,1.979
13.193140,-0.7005,-0.2856,-1.8782,2.025
13.197809,-0.7949,-0.1642,-1.7090,1.892
13.202647,-0.6832,-0.1227,-1.4053,1.567
13.207657,-0.4029,-0.2066,-1.0440,1.138
13.212927,0.0366,-0.4224,-0.7496,0.861
13.218662,0.5481,-0.7132,-0.5414,1.050
13.222826,0.9575,-0.9208,-0.4625,1.407
13.228940,1.1578,-0.9529,-0.5222,1.588
13.233227,1.1948,-0.8989,-0.6584,1.634
13.238973,1.0955,-0.7951,-0.7849,1.565
13.242820,0.8393,-0.6305,-0.8014,1.321
13.252077,0.4923,-0.4525,-0.6794,0.953
13.253100,0.1354,-0.2371,-0.4240,0.504
13.269205,-0.1980,-0.0618,-0.0784,0.222
13.270064,-0.4917,0.0385,0.2522,0.554
13.270694,-0.7104,0.0906,0.5152,0.882
13.273360,-0.8085,0.0543,0.7491,1.104
13.280048,-0.7986,-0.0333,0.9252,1.223
13.284082,-0.6699,-0.1397,1.0295,1.236
13.287969,-0.4699,-0.1884,1.0189,1.138
13.293253,-0.2858,-0.2274,0.9413,1.010
13.298012,-0.1145,-0.2840,0.7681,0.827
13.303974,-0.0340,-0.3951,0.5136,0.649
13.308995,0.0075,-0.5204,0.2499,0.577
13.313178,0.0856,-0.6826,0.0485,0.690
13.318548,0.1658,-0.8568,-0.1001,0.878
13.324980,0.2233,-1.0189,-0.1865,1.060
13.328908,0.1770,-1.0873,-0.2060,1.121
13.335191,0.0366,-1.0528,-0.1348,1.062
13.338797,-0.1055,-1.0069,-0.0590,1.014
13.343738,-0.2339,-1.0318,0.1029,1.063
13.353009,-0.3385,-1.0900,0.3028,1.181
13.353854,-0.4088,-1.1441,0.5024,1.315
13.358346,-0.5014,-1.1951,0.6588,1.454
13.364204,-0.6400,-1.2388,0.8149,1.615
13.368615,-0.7719,-1.3665,0.8848,1.802
13.374883,-0.9259,-1.5401,0.8253,1.977
13.379858,-1.0633,-1.7258,0.6320,2.123
13.384000,-1.1738,-1.9086,0.3912,2.275
13.388859,-1.2958,-2.0833,0.1462,2.458
13.394112,-1.3962,-2.2875,-0.0170,2.680
13.398146,-1.4900,-2.5111,-0.1321,2.923
13.402905,-1.6013,-2.7442,-0.2085,3.184
13.408825,-1.6537,-2.9391,-0.2655,3.383
13.414106,-1.5899,-3.1678,-0.2219,3.551
13.418467,-1.4345,-3.4307,-0.1495,3.722
13.423634,-1.2789,-3.6471,-0.1442,3.868
13.428993,-1.1467,-3.8750,-0.2299,4.048
13.435758,-0.9747,-4.1102,-0.3727,4.241
13.438765,-0.8051,-4.3907,-0.5820,4.502
13.444528,-0.6613,-4.6398,-0.8577,4.765
13.454331,-0.5616,-4.7998,-1.1708,4.972
13.455464,-0.5158,-4.8463,-1.5212,5.106
13.458488,-0.4953,-4.8170,-1.7748,5.157
13.463122,-0.5258,-4.7351,-1.9225,5.137
13.469207,-0.5092,-4.7718,-1.9884,5.194
13.474543,-0.4097,-4.9928,-1.9875,5.389
13.478548,-0.2391,-5.2917,-1.9584,5.648
13.484101,-0.0509,-5.5669,-1.8726,5.874
13.489217,0.0919,-5.7364,-1.6633,5.973
13.494499,0.2031,-5.7333,-1.3071,5.884
13.500094,0.3646,-5.6589,-0.9617,5.752
13.504815,0.5626,-5.6576,-0.4742,5.705
13.509560,0.7924,-5.7263,0.0310,5.781
13.514987,0.9503,-5.7805,0.3769,5.870
13.520628,1.0199,-5.7935,0.6456,5.918
13.524554,0.9933,-5.6904,0.8897,5.845
13.529096,0.9537,-5.3912,0.9710,5.560
13.535986,1.0416,-4.8733,0.9185,5.067
13.539340,1.2229,-4.2285,0.7133,4.459
13.552540,1.4536,-3.6626,0.3553,3.956
13.553535,1.6217,-3.3463,-0.0646,3.719
13.554135,1.6351,-3.2293,-0.5510,3.661
13.562396,1.5039,-3.1608,-1.1086,3.672
13.564412,1.4400,-3.1719,-1.6030,3.835
13.569375,1.4439,-3.1944,-1.9722,4.022
13.573797,1.5298,-3.1941,-2.1923,4.165
13.578866,1.6979,-3.2184,-2.3831,4.350
13.584990,1.9394,-3.1379,-2.4919,4.452
13.592415,2.1877,-2.7137,-2.5188,4.301
13.593865,2.3951,-1.9420,-2.5262,3.986
13.599524,2.5130,-0.9103,-2.4663,3.637
13.606160,2.4964,0.2556,-2.3491,3.437
13.609927,2.3058,1.4448,-2.3184,3.575
13.614722,1.9455,2.6185,-2.3454,4.018
13.620660,1.5392,3.6766,-2.4254,4.666
13.625079,1.0772,4.5526,-2.5823,5.344
13.630003,0.5267,5.1851,-2.8205,5.926
13.636247,-0.0154,5.5369,-3.0204,6.307
13.640573,-0.4464,5.6235,-3.1913,6.481
13.651716,-0.6969,5.4413,-3.3567,6.431
13.652819,-0.8370,5.1155,-3.4161,6.208
13.653966,-0.8517,4.8339,-3.3121,5.921
13.665960,-0.7223,4.7019,-3.2218,5.745
13.667014,-0.5009,4.7288,-3.0162,5.631
13.671219,-0.2124,4.9002,-2.5661,5.535
13.674935,0.0744,5.1247,-1.9918,5.499
13.681214,0.3236,5.3395,-1.3699,5.522
13.684920,0.4953,5.4627,-0.7535,5.537
13.691488,0.5546,5.4554,-0.1570,5.486
13.694718,0.4867,5.3556,0.3813,5.391
13.699606,0.3583,5.1726,0.9285,5.267
13.703789,0.1930,4.9103,1.5705,5.159
13.710737,0.0578,4.6154,2.1063,5.074
13.716175,-0.0185,4.3252,2.6316,5.063
13.720241,-0.0110,4.0813,3.1419,5.151
13.724425,0.0759,3.8825,3.5892,5.288
13.730733,0.1515,3.8090,3.9640,5.500
13.743583,0.1881,3.8019,4.1707,5.647
13.744797,0.2919,3.8076,4.1761,5.659
13.745353,0.4542,3.7636,4.0808,5.570
13.750012,0.5179,3.6991,3.8420,5.358
13.754947,0.4599,3.5957,3.4504,5.005
13.761983,0.3046,3.4974,3.0115,4.625
13.765939,0.0851,3.4195,2.5637,4.275
13.770416,-0.1364,3.3151,2.1739,3.967
13.775926,-0.3896,3.2135,1.9042,3.756
13.780693,-0.6803,3.0862,1.7065,3.592
13.785641,-0.9619,2.9239,1.5614,3.451
13.792798,-1.1726,2.6979,1.4114,3.263
13.796407,-1.2600,2.3603,1.2230,2.942
13.799881,-1.2626,2.0023,1.0538,2.591
13.806105,-1.2376,1.6722,0.8701,2.255
13.810800,-1.1130,1.3939,0.6100,1.885
13.816344,-0.8833,1.1626,0.3406,1.499
13.821592,-0.5390,0.9689,0.0333,1.109
13.825553,-0.1419,0.7940,-0.3215,0.868
13.830596,0.2268,0.6767,-0.6374,0.957
13.842167,0.4186,0.6515,-0.9289,1.209
13.843389,0.3282,0.7815,-1.1385,1.419
13.846527,0.0560,1.0291,-1.3238,1.678
13.851434,-0.2923,1.2322,-1.4178,1.901
13.855329,-0.6211,1.3146,-1.3966,2.016
13.861272,-0.8828,1.2620,-1.2366,1.975
13.866003,-1.0585,1.1172,-0.9427,1.805
13.871586,-1.1572,0.9654,-0.6346,1.635
13.877064,-1.1061,0.8056,-0.3075,1.402
13.881030,-0.8853,0.6792,0.0291,1.116
13.885833,-0.5568,0.6191,0.3130,0.890
13.892469,-0.2688,0.6577,0.4915,0.864
13.895760,-0.0214,0.8235,0.5840,1.010
13.900377,0.1369,1.0967,0.6574,1.286
13.906581,0.2242,1.3437,0.6733,1.520
13.911008,0.2919,1.4933,0.6604,1.659
13.917173,0.3150,1.5457,0.6615,1.711
13.921660,0.2918,1.5206,0.7148,1.705
13.925947,0.1929,1.4664,0.7626,1.664
13.933102,0.0993,1.3831,0.7668,1.584
13.937296,0.0637,1.1988,0.7416,1.411
13.941021,0.1251,0.9280,0.7207,1.182
13.950745,0.2367,0.6617,0.6946,0.988
13.951409,0.4094,0.4188,0.6350,0.864
13.956161,0.6640,0.1276,0.5229,0.855
13.960835,0.9203,-0.1354,0.4159,1.019
13.965517,1.1069,-0.3034,0.2950,1.185
13.971297,1.1428,-0.3238,0.1697,1.200
13.976193,1.0470,-0.2444,0.0544,1.077
13.980711,0.8480,-0.1131,-0.0940,0.861
13.986868,0.5399,0.0419,-0.1991,0.577
13.991069,0.2026,0.2114,-0.3711,0.473
13.996478,-0.0932,0.3432,-0.5049,0.618
14.000829,-0.3386,0.3707,-0.6483,0.820
14.005950,-0.4428,0.2752,-0.7487,0.912
14.011972,-0.4480,0.0712,-0.8156,0.933
14.016978,-0.4153,-0.1404,-0.8681,0.973
14.021688,-0.2805,-0.3262,-0.9441,1.038
14.026884,-0.0279,-0.4914,-0.9573,1.076
14.032534,0.2233,-0.6410,-0.8552,1.092
14.042913,0.4009,-0.7320,-0.7001,1.089
14.043805,0.4806,-0.7268,-0.4826,0.996
14.046925,0.4897,-0.6111,-0.2317,0.817
14.052139,0.4360,-0.4474,-0.0051,0.625
14.060906,0.3560,-0.2551,0.1683,0.469
14.061901,0.2291,-0.1015,0.2644,0.364
14.067205,0.1027,-0.0104,0.2881,0.306
14.071573,0.0058,0.0470,0.2777,0.282
14.078360,-0.1231,0.1039,0.2621,0.308
14.082590,-0.2206,0.1605,0.2461,0.367
14.086820,-0.2664,0.1732,0.2205,0.387
14.092999,-0.2208,0.1370,0.1901,0.322
14.097845,-0.1018,0.0661,0.1408,0.186
14.102040,0.0197,-0.0205,0.0918,0.096
14.106949,0.1250,-0.0989,0.0192,0.161
14.111176,0.2143,-0.1690,-0.0673,0.281
14.118960,0.2923,-0.1777,-0.1677,0.381
14.122640,0.3104,-0.1152,-0.3012,0.448
14.126887,0.2637,-0.0480,-0.4678,0.539
14.133275,0.1561,0.0005,-0.6147,0.634
14.137103,-0.0080,0.0212,-0.7375,0.738
14.143061,-0.1911,0.0577,-0.8169,0.841
14.152991,-0.3408,0.0862,-0.8435,0.914
14.153873,-0.4145,0.0876,-0.8223,0.925
14.166435,-0.4318,0.1097,-0.7342,0.859
14.167191,-0.4169,0.1330,-0.5841,0.730
14.167569,-0.3791,0.1524,-0.4630,0.617
14.172222,-0.3568,0.1436,-0.3325,0.508
14.176847,-0.2919,0.1107,-0.2549,0.403
14.183389,-0.1790,0.0105,-0.2013,0.270
14.187697,0.0539,-0.1139,-0.1429,0.191
14.192256,0.2865,-0.2053,-0.0559,0.357
14.199002,0.4563,-0.2206,-0.0074,0.507
14.203142,0.5686,-0.2268,-0.0928,0.619
14.207684,0.5954,-0.2238,-0.1399,0.651
14.213755,0.5515,-0.2308,-0.1628,0.620
14.218079,0.4894,-0.2143,-0.1330,0.551
14.222415,0.3938,-0.1602,-0.1081,0.439
14.226781,0.2931,-0.1691,-0.0929,0.351
14.232628,0.1441,-0.1935,-0.0635,0.250
14.243029,-0.0436,-0.1760,-0.0631,0.192
14.244033,-0.2173,-0.1313,-0.0771,0.265
14.248513,-0.3579,-0.0835,-0.1009,0.381
14.251928,-0.4318,-0.0566,-0.1584,0.463
14.258297,-0.4435,-0.0506,-0.2302,0.502
14.263105,-0.4263,-0.0944,-0.3164,0.539
14.267045,-0.3753,-0.1641,-0.4169,0.584
14.273269,-0.3190,-0.2502,-0.5221,0.661
14.278179,-0.2667,-0.2999,-0.6702,0.781
14.283306,-0.2231,-0.3178,-0.8755,0.958
14.287963,-0.1977,-0.3323,-1.0660,1.134
14.292251,-0.1759,-0.3288,-1.2227,1.278
14.297598,-0.1582,-0.3831,-1.3886,1.449
14.302556,-0.1166,-0.4281,-1.5113,1.575
14.308332,-0.0855,-0.4441,-1.6482,1.709
14.314987,-0.0796,-0.4550,-1.7563,1.816
14.318485,-0.0801,-0.4940,-1.8406,1.907
14.322633,-0.1203,-0.4886,-1.9105,1.976
14.328292,-0.1953,-0.4819,-1.9852,2.052
14.331843,-0.2566,-0.4834,-2.0742,2.145
14.342627,-0.3178,-0.4833,-2.0626,2.142
14.343676,-0.3780,-0.4623,-2.0794,2.163
14.360707,-0.4551,-0.4540,-2.0815,2.178
14.361802,-0.5351,-0.3814,-2.0067,2.112
14.362331,-0.5244,-0.1920,-1.8411,1.924
14.362947,-0.4496,0.0418,-1.6760,1.736
14.367653,-0.3311,0.2482,-1.5356,1.590
14.373169,-0.1554,0.3125,-1.4486,1.490
14.379830,0.1304,0.1624,-1.3911,1.407
14.382010,0.4793,-0.1540,-1.3915,1.480
14.388991,0.8204,-0.5030,-1.3636,1.669
14.393068,1.1359,-0.8081,-1.3310,1.927
14.398942,1.4228,-1.1078,-1.3414,2.247
14.403587,1.5876,-1.3356,-1.3179,2.458
14.408523,1.6129,-1.4153,-1.2222,2.469
14.414724,1.5764,-1.3900,-1.1258,2.384
14.418750,1.4499,-1.2158,-1.0670,2.172
14.425913,1.1951,-0.9023,-1.0649,1.838
14.428784,0.8988,-0.5736,-1.1145,1.542
14.433355,0.6619,-0.3493,-1.1393,1.363
14.438067,0.4602,-0.2719,-1.1056,1.228
14.443951,0.3118,-0.2841,-0.9419,1.032
14.456913,0.2098,-0.2568,-0.6487,0.729
14.457929,0.0938,-0.1572,-0.3175,0.366
14.458444,-0.0187,-0.0856,-0.0297,0.093
14.463406,-0.1480,-0.0373,0.2239,0.271
14.467942,-0.2716,0.0213,0.4623,0.537
14.472364,-0.3767,0.0757,0.6997,0.798
14.479608,-0.4313,0.1210,0.9213,1.024
14.483567,-0.4554,0.1617,1.1079,1.209
14.489227,-0.4774,0.2361,1.1782,1.293
14.493551,-0.4960,0.2816,1.1806,1.311
14.500827,-0.4758,0.2741,1.1248,1.252
14.504320,-0.4005,0.1705,1.0353,1.123
14.509525,-0.2544,0.0424,0.9267,0.962
14.513925,-0.1267,-0.0816,0.7657,0.780
14.518802,-0.0255,-0.1632,0.5765,0.600
14.525606,0.0406,-0.1883,0.4455,0.485
14.530016,0.1056,-0.1665,0.3774,0.426
14.535398,0.1694,-0.1406,0.3721,0.432
14.541022,0.2222,-0.1153,0.3577,0.437
14.544575,0.2536,-0.1861,0.3532,0.473
14.555107,0.2437,-0.2999,0.3825,0.544
14.556072,0.1626,-0.3610,0.4358,0.589
14.559306,0.0476,-0.3261,0.4842,0.586
14.564712,-0.0304,-0.2622,0.4940,0.560
14.573517,-0.0288,-0.2169,0.5036,0.549
14.574581,0.0186,-0.2093,0.5034,0.545
14.579421,0.0876,-0.2061,0.6128,0.652
14.584671,0.1109,-0.1262,0.7265,0.746
14.588765,0.1226,0.0156,0.7728,0.783
14.593624,0.1280,0.1039,0.8044,0.821
14.599929,0.1755,0.0999,0.8788,0.902
14.603585,0.2214,0.0037,1.0054,1.030
14.608400,0.2367,-0.0893,1.0359,1.066
14.613465,0.2701,-0.2074,0.9417,1.001
14.620074,0.2657,-0.3411,0.7376,0.855
14.625554,0.2199,-0.4850,0.5867,0.792
14.629333,0.1277,-0.5664,0.5174,0.778
14.633948,0.0450,-0.6136,0.5247,0.809
14.640329,-0.0007,-0.6452,0.4698,0.798
14.644215,0.0004,-0.6371,0.3336,0.719
14.654746,-0.0617,-0.6179,0.2550,0.671
14.655752,-0.2110,-0.5542,0.3007,0.665
14.660547,-0.3527,-0.4747,0.3893,0.708
14.664474,-0.4535,-0.3463,0.3963,0.695
14.672323,-0.5893,-0.2555,0.3458,0.729
14.675680,-0.7641,-0.1688,0.3001,0.838
14.681379,-0.9151,-0.0337,0.2928,0.961
14.683742,-0.9801,0.1453,0.2569,1.024
14.691607,-0.9056,0.2391,0.1878,0.955
14.694868,-0.7672,0.1191,0.2197,0.807
14.700714,-0.6323,-0.0850,0.3858,0.746
14.704563,-0.5259,-0.2725,0.5950,0.840
14.709597,-0.4002,-0.4673,0.6990,0.931
14.714137,-0.1689,-0.5929,0.7888,1.001
14.720386,0.1970,-0.6259,0.8454,1.070
14.725932,0.5585,-0.5911,1.0408,1.321
14.741990,0.7187,-0.4130,1.2648,1.512
14.742967,0.6584,-0.1786,1.4885,1.637
14.743438,0.4967,-0.0319,1.7069,1.778
14.743861,0.3344,0.0463,1.7289,1.762
14.754048,0.2209,0.1090,1.6074,1.626
14.755119,0.0464,0.2142,1.5149,1.531
14.758995,-0.1564,0.4727,1.4370,1.521
14.764226,-0.3402,0.8227,1.2684,1.550
14.769970,-0.4750,1.0300,1.0334,1.534
14.775578,-0.5309,1.0130,0.8517,1.426
14.781540,-0.4645,0.8527,0.9192,1.337
14.785343,-0.3007,0.5916,1.1924,1.365
14.789947,-0.0984,0.3009,1.4556,1.490
14.796535,0.0662,0.0468,1.5176,1.520
14.800499,0.1853,-0.0564,1.4503,1.463
