"event","experiment time","system time","system time text"
"START",0.000000000E0,1716882394.201,"2024-05-28 13:16:34.201 UTC+05:30"
"PAUSE",2.296545442E1,1716882417.166,"2024-05-28 13:16:57.166 UTC+05:30"
