"event","experiment time","system time","system time text"
"START",0.000000000E0,1716963536.168,"2024-05-29 11:48:56.168 UTC+05:30"
"PAUSE",6.430482550E0,1716963542.599,"2024-05-29 11:49:02.599 UTC+05:30"
