"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
4.022135000E-1,-1.721918583E-2,-2.789491415E-2,3.550529480E-2,4.832445090E-2
4.072340210E-1,-1.243662834E-2,-1.759928465E-2,3.972530365E-2,4.519407367E-2
4.122545410E-1,-2.939224243E-3,-2.172207832E-2,4.863643646E-2,5.334782730E-2
4.172750620E-1,1.594436169E-2,-2.122223377E-2,5.745697021E-2,6.329225310E-2
4.222955830E-1,1.446127892E-3,-2.098274231E-2,6.145572662E-2,6.495516219E-2
4.273161040E-1,-3.314614296E-3,-2.574092150E-2,5.125236511E-2,5.744899161E-2
4.323366250E-1,-3.290534019E-3,-3.060454130E-2,6.011009216E-2,6.753287157E-2
4.373571460E-1,-7.995128632E-3,-4.029315710E-2,4.049396515E-2,5.768207524E-2
4.423776660E-1,-1.732492447E-2,-2.616399527E-2,1.165771484E-2,3.347551301E-2
4.473981870E-1,-2.181816101E-2,-2.650928497E-2,6.828308105E-3,3.500571569E-2
4.524187080E-1,-1.689946651E-2,-1.255339384E-2,6.771087646E-3,2.211396150E-2
4.574392290E-1,-2.145218849E-2,-3.384649754E-3,-2.750396729E-3,2.189102390E-2
4.624597500E-1,-2.132761478E-2,-3.640115261E-3,-1.218414307E-2,2.483084642E-2
4.674802710E-1,-1.651811600E-2,-3.676354885E-3,-2.626514435E-2,3.124454431E-2
4.725007910E-1,-6.929159164E-3,-8.299469948E-3,-1.651382446E-2,1.973830911E-2
4.775213120E-1,-1.170217991E-2,-2.218455076E-2,-2.150535583E-3,2.517379809E-2
4.825418330E-1,-7.009148598E-3,-2.167236805E-2,2.574920654E-3,2.292269437E-2
4.875623540E-1,-7.047295570E-3,-1.163166761E-2,1.198959351E-2,1.813037283E-2
4.925828750E-1,-7.088780403E-3,-6.442308426E-3,1.656818390E-2,1.913789077E-2
4.976033960E-1,2.245664597E-3,-2.509534359E-2,3.057098389E-2,3.961570819E-2
5.026239160E-1,-2.681255341E-3,-4.371106625E-2,3.970718384E-2,5.911435436E-2
5.076444370E-1,6.759524345E-3,-2.907490730E-2,3.455352783E-2,4.566166543E-2
5.126649580E-1,-7.541775703E-3,-2.896404266E-2,3.894901276E-2,4.912046155E-2
5.176854790E-1,-1.221358776E-2,-2.420872450E-2,3.382968903E-2,4.335529872E-2
5.227060000E-1,-7.361650467E-3,-1.961195469E-2,4.299259186E-2,4.782452947E-2
5.277265210E-1,-1.678431034E-2,-1.517134905E-2,3.311061859E-2,4.010231875E-2
5.327470410E-1,-2.606475353E-2,-2.020716667E-2,2.333164215E-2,4.039884265E-2
5.377675620E-1,-6.851911545E-3,-1.570075750E-2,1.838588715E-2,2.512972989E-2
5.427880830E-1,-1.159632206E-2,-2.058672905E-2,1.347541809E-2,2.720064321E-2
5.478086040E-1,-2.116799355E-3,-1.598823071E-2,-8.754730225E-4,1.615149571E-2
