 (0.100000+0.000000j), (-0.005264-0.000000j), (-0.036909-0.000000j), (-27.095103-0.000000j)
 (0.101250+0.000000j), (-0.005260-0.000000j), (-0.036897-0.000000j), (-27.088957-0.000000j)
 (0.102500+0.000000j), (-0.005256-0.000000j), (-0.036885-0.000000j), (-27.082791+0.000000j)
 (0.103750+0.000000j), (-0.005252-0.000000j), (-0.036873+0.000000j), (-27.076607+0.000000j)
 (0.105000+0.000000j), (-0.005248-0.000000j), (-0.036860-0.000000j), (-27.070405+0.000000j)
 (0.106250+0.000000j), (-0.005245-0.000000j), (-0.036848-0.000000j), (-27.064186+0.000000j)
 (0.107500+0.000000j), (-0.005241-0.000000j), (-0.036836+0.000000j), (-27.057951+0.000000j)
 (0.108750+0.000000j), (-0.005237-0.000000j), (-0.036823+0.000000j), (-27.051701+0.000000j)
 (0.110000+0.000000j), (-0.005234-0.000000j), (-0.036811-0.000000j), (-27.045439-0.000000j)
 (0.111250+0.000000j), (-0.005230-0.000000j), (-0.036799-0.000000j), (-27.039164-0.000000j)
 (0.112500+0.000000j), (-0.005227-0.000000j), (-0.036786-0.000000j), (-27.032879-0.000000j)
 (0.113750+0.000000j), (-0.005223-0.000000j), (-0.036774+0.000000j), (-27.026584+0.000000j)
 (0.115000+0.000000j), (-0.005219-0.000000j), (-0.036762-0.000000j), (-27.020282-0.000000j)
 (0.116250+0.000000j), (-0.005215-0.000000j), (-0.036749-0.000000j), (-27.013972-0.000000j)
 (0.117500+0.000000j), (-0.005212-0.000000j), (-0.036737-0.000000j), (-27.007656+0.000000j)
 (0.118750+0.000000j), (-0.005208-0.000000j), (-0.036725-0.000000j), (-27.001334+0.000000j)
 (0.120000+0.000000j), (-0.005205-0.000000j), (-0.036713-0.000000j), (-26.995007+0.000000j)
 (0.121250+0.000000j), (-0.005201-0.000000j), (-0.036701-0.000000j), (-26.988673+0.000000j)
 (0.122500+0.000000j), (-0.005198-0.000000j), (-0.036688-0.000000j), (-26.982334-0.000000j)
 (0.123750+0.000000j), (-0.005194-0.000000j), (-0.036676-0.000000j), (-26.975987-0.000000j)
 (0.125000+0.000000j), (-0.005191-0.000000j), (-0.036664-0.000000j), (-26.969632-0.000000j)
 (0.126250+0.000000j), (-0.005187-0.000000j), (-0.036652-0.000000j), (-26.963271-0.000000j)
 (0.127500+0.000000j), (-0.005184-0.000000j), (-0.036640-0.000000j), (-26.956901+0.000000j)
 (0.128750+0.000000j), (-0.005181-0.000000j), (-0.036628-0.000000j), (-26.950525-0.000000j)
 (0.130000+0.000000j), (-0.005177-0.000000j), (-0.036616-0.000000j), (-26.944141+0.000000j)
 (0.131250+0.000000j), (-0.005174-0.000000j), (-0.036605-0.000000j), (-26.937749-0.000000j)
 (0.132500+0.000000j), (-0.005170-0.000000j), (-0.036593-0.000000j), (-26.931350-0.000000j)
 (0.133750+0.000000j), (-0.005167-0.000000j), (-0.036581-0.000000j), (-26.924943+0.000000j)
 (0.135000+0.000000j), (-0.005164-0.000000j), (-0.036569-0.000000j), (-26.918529+0.000000j)
 (0.136250+0.000000j), (-0.005160-0.000000j), (-0.036557-0.000000j), (-26.912107+0.000000j)
 (0.137500+0.000000j), (-0.005157-0.000000j), (-0.036545+0.000000j), (-26.905678+0.000000j)
 (0.138750+0.000000j), (-0.005154-0.000000j), (-0.036533+0.000000j), (-26.899242+0.000000j)
 (0.140000+0.000000j), (-0.005151-0.000000j), (-0.036521+0.000000j), (-26.892798+0.000000j)
 (0.141250+0.000000j), (-0.005148-0.000000j), (-0.036508-0.000000j), (-26.886349-0.000000j)
 (0.142500+0.000000j), (-0.005145-0.000000j), (-0.036496-0.000000j), (-26.879893+0.000000j)
 (0.143750+0.000000j), (-0.005142-0.000000j), (-0.036484+0.000000j), (-26.873431+0.000000j)
 (0.145000+0.000000j), (-0.005139-0.000000j), (-0.036472+0.000000j), (-26.866963+0.000000j)
 (0.146250+0.000000j), (-0.005136-0.000000j), (-0.036459-0.000000j), (-26.860490-0.000000j)
 (0.147500+0.000000j), (-0.005133-0.000000j), (-0.036447-0.000000j), (-26.854012+0.000000j)
 (0.148750+0.000000j), (-0.005130-0.000000j), (-0.036435+0.000000j), (-26.847530-0.000000j)
 (0.150000+0.000000j), (-0.005127-0.000000j), (-0.036422+0.000000j), (-26.841044+0.000000j)
 (0.151250+0.000000j), (-0.005124-0.000000j), (-0.036410-0.000000j), (-26.834555+0.000000j)
 (0.152500+0.000000j), (-0.005121-0.000000j), (-0.036397-0.000000j), (-26.828065+0.000000j)
 (0.153750+0.000000j), (-0.005118-0.000000j), (-0.036385-0.000000j), (-26.821573+0.000000j)
 (0.155000+0.000000j), (-0.005115-0.000000j), (-0.036373-0.000000j), (-26.815080+0.000000j)
 (0.156250+0.000000j), (-0.005112-0.000000j), (-0.036360-0.000000j), (-26.808588+0.000000j)
 (0.157500+0.000000j), (-0.005109-0.000000j), (-0.036348-0.000000j), (-26.802096+0.000000j)
 (0.158750+0.000000j), (-0.005106-0.000000j), (-0.036335-0.000000j), (-26.795605+0.000000j)
 (0.160000+0.000000j), (-0.005103-0.000000j), (-0.036323+0.000000j), (-26.789115+0.000000j)
 (0.161250+0.000000j), (-0.005100-0.000000j), (-0.036311+0.000000j), (-26.782626+0.000000j)
 (0.162500+0.000000j), (-0.005097-0.000000j), (-0.036299-0.000000j), (-26.776138+0.000000j)
 (0.163750+0.000000j), (-0.005094-0.000000j), (-0.036287-0.000000j), (-26.769652+0.000000j)
 (0.165000+0.000000j), (-0.005091-0.000000j), (-0.036274-0.000000j), (-26.763166+0.000000j)
 (0.166250+0.000000j), (-0.005087-0.000000j), (-0.036262-0.000000j), (-26.756681+0.000000j)
 (0.167500+0.000000j), (-0.005084-0.000000j), (-0.036250-0.000000j), (-26.750197-0.000000j)
 (0.168750+0.000000j), (-0.005081-0.000000j), (-0.036237-0.000000j), (-26.743714+0.000000j)
 (0.170000+0.000000j), (-0.005077-0.000000j), (-0.036225+0.000000j), (-26.737234+0.000000j)
 (0.171250+0.000000j), (-0.005073-0.000000j), (-0.036212-0.000000j), (-26.730754+0.000000j)
 (0.172500+0.000000j), (-0.005070-0.000000j), (-0.036200-0.000000j), (-26.724277-0.000000j)
 (0.173750+0.000000j), (-0.005066-0.000000j), (-0.036187-0.000000j), (-26.717803-0.000000j)
 (0.175000+0.000000j), (-0.005062-0.000000j), (-0.036175-0.000000j), (-26.711331-0.000000j)
 (0.176250+0.000000j), (-0.005058-0.000000j), (-0.036162-0.000000j), (-26.704862+0.000000j)
 (0.177500+0.000000j), (-0.005055-0.000000j), (-0.036149-0.000000j), (-26.698397+0.000000j)
 (0.178750+0.000000j), (-0.005051-0.000000j), (-0.036137-0.000000j), (-26.691935+0.000000j)
 (0.180000+0.000000j), (-0.005047-0.000000j), (-0.036124-0.000000j), (-26.685477+0.000000j)
 (0.181250+0.000000j), (-0.005044-0.000000j), (-0.036112-0.000000j), (-26.679023+0.000000j)
 (0.182500+0.000000j), (-0.005040-0.000000j), (-0.036099-0.000000j), (-26.672572+0.000000j)
 (0.183750+0.000000j), (-0.005036-0.000000j), (-0.036087-0.000000j), (-26.666126-0.000000j)
 (0.185000+0.000000j), (-0.005033-0.000000j), (-0.036074-0.000000j), (-26.659683-0.000000j)
 (0.186250+0.000000j), (-0.005029-0.000000j), (-0.036061-0.000000j), (-26.653245+0.000000j)
 (0.187500+0.000000j), (-0.005025-0.000000j), (-0.036048+0.000000j), (-26.646811+0.000000j)
 (0.188750+0.000000j), (-0.005021-0.000000j), (-0.036035-0.000000j), (-26.640381-0.000000j)
 (0.190000+0.000000j), (-0.005018-0.000000j), (-0.036023-0.000000j), (-26.633956-0.000000j)
 (0.191250+0.000000j), (-0.005014-0.000000j), (-0.036010-0.000000j), (-26.627534-0.000000j)
 (0.192500+0.000000j), (-0.005010-0.000000j), (-0.035997-0.000000j), (-26.621116-0.000000j)
 (0.193750+0.000000j), (-0.005006-0.000000j), (-0.035985-0.000000j), (-26.614703-0.000000j)
 (0.195000+0.000000j), (-0.005001+0.000000j), (-0.035972-0.000000j), (-26.608293+0.000000j)
 (0.196250+0.000000j), (-0.004997-0.000000j), (-0.035959+0.000000j), (-26.601888+0.000000j)
 (0.197500+0.000000j), (-0.004993-0.000000j), (-0.035947-0.000000j), (-26.595486+0.000000j)
 (0.198750+0.000000j), (-0.004990-0.000000j), (-0.035934-0.000000j), (-26.589089-0.000000j)
 (0.200000+0.000000j), (-0.004986-0.000000j), (-0.035921-0.000000j), (-26.582694+0.000000j)
 (0.201250+0.000000j), (-0.004982-0.000000j), (-0.035909-0.000000j), (-26.576301+0.000000j)
 (0.202500+0.000000j), (-0.004978-0.000000j), (-0.035896-0.000000j), (-26.569911+0.000000j)
 (0.203750+0.000000j), (-0.004974-0.000000j), (-0.035883+0.000000j), (-26.563520+0.000000j)
 (0.205000+0.000000j), (-0.004970-0.000000j), (-0.035871-0.000000j), (-26.557131+0.000000j)
 (0.206250+0.000000j), (-0.004966-0.000000j), (-0.035858-0.000000j), (-26.550741+0.000000j)
 (0.207500+0.000000j), (-0.004962-0.000000j), (-0.035845+0.000000j), (-26.544352+0.000000j)
 (0.208750+0.000000j), (-0.004958-0.000000j), (-0.035833-0.000000j), (-26.537962-0.000000j)
 (0.210000+0.000000j), (-0.004954-0.000000j), (-0.035820-0.000000j), (-26.531572+0.000000j)
 (0.211250+0.000000j), (-0.004950-0.000000j), (-0.035807-0.000000j), (-26.525182-0.000000j)
 (0.212500+0.000000j), (-0.004946-0.000000j), (-0.035795-0.000000j), (-26.518792+0.000000j)
 (0.213750+0.000000j), (-0.004943-0.000000j), (-0.035782+0.000000j), (-26.512401+0.000000j)
 (0.215000+0.000000j), (-0.004939-0.000000j), (-0.035769-0.000000j), (-26.506011-0.000000j)
 (0.216250+0.000000j), (-0.004935-0.000000j), (-0.035756+0.000000j), (-26.499619+0.000000j)
 (0.217500+0.000000j), (-0.004931-0.000000j), (-0.035743-0.000000j), (-26.493228+0.000000j)
 (0.218750+0.000000j), (-0.004928-0.000000j), (-0.035730-0.000000j), (-26.486836+0.000000j)
 (0.220000+0.000000j), (-0.004924-0.000000j), (-0.035717+0.000000j), (-26.480443+0.000000j)
 (0.221250+0.000000j), (-0.004920-0.000000j), (-0.035704-0.000000j), (-26.474049-0.000000j)
 (0.222500+0.000000j), (-0.004917-0.000000j), (-0.035691+0.000000j), (-26.467654+0.000000j)
 (0.223750+0.000000j), (-0.004913-0.000000j), (-0.035678+0.000000j), (-26.461258-0.000000j)
 (0.225000+0.000000j), (-0.004909-0.000000j), (-0.035665-0.000000j), (-26.454861-0.000000j)
 (0.226250+0.000000j), (-0.004905-0.000000j), (-0.035651-0.000000j), (-26.448462+0.000000j)
 (0.227500+0.000000j), (-0.004901-0.000000j), (-0.035638+0.000000j), (-26.442062-0.000000j)
 (0.228750+0.000000j), (-0.004897-0.000000j), (-0.035625-0.000000j), (-26.435662+0.000000j)
