 (4.661250+0.000000j), (0.009542+0.000000j), (-0.004955+0.000000j), (-9.736680-0.000000j)
 (4.662500+0.000000j), (0.009547-0.000000j), (-0.004950+0.000000j), (-9.733670+0.000000j)
 (4.663750+0.000000j), (0.009551-0.000000j), (-0.004944-0.000000j), (-9.730661-0.000000j)
 (4.665000+0.000000j), (0.009556-0.000000j), (-0.004939-0.000000j), (-9.727653-0.000000j)
 (4.666250+0.000000j), (0.009560-0.000000j), (-0.004934+0.000000j), (-9.724647-0.000000j)
 (4.667500+0.000000j), (0.009565-0.000000j), (-0.004929-0.000000j), (-9.721642-0.000000j)
 (4.668750+0.000000j), (0.009569-0.000000j), (-0.004924-0.000000j), (-9.718638-0.000000j)
 (4.670000+0.000000j), (0.009574-0.000000j), (-0.004919-0.000000j), (-9.715636-0.000000j)
 (4.671250+0.000000j), (0.009579-0.000000j), (-0.004914-0.000000j), (-9.712635-0.000000j)
 (4.672500+0.000000j), (0.009584-0.000000j), (-0.004910+0.000000j), (-9.709634+0.000000j)
 (4.673750+0.000000j), (0.009588-0.000000j), (-0.004905+0.000000j), (-9.706635-0.000000j)
 (4.675000+0.000000j), (0.009593-0.000000j), (-0.004900+0.000000j), (-9.703636-0.000000j)
 (4.676250+0.000000j), (0.009598-0.000000j), (-0.004895-0.000000j), (-9.700637-0.000000j)
 (4.677500+0.000000j), (0.009603-0.000000j), (-0.004890+0.000000j), (-9.697639+0.000000j)
 (4.678750+0.000000j), (0.009607-0.000000j), (-0.004885-0.000000j), (-9.694642-0.000000j)
 (4.680000+0.000000j), (0.009612-0.000000j), (-0.004881-0.000000j), (-9.691646-0.000000j)
 (4.681250+0.000000j), (0.009616-0.000000j), (-0.004876+0.000000j), (-9.688651-0.000000j)
 (4.682500+0.000000j), (0.009620-0.000000j), (-0.004871+0.000000j), (-9.685657+0.000000j)
 (4.683750+0.000000j), (0.009625-0.000000j), (-0.004866+0.000000j), (-9.682664-0.000000j)
 (4.685000+0.000000j), (0.009629-0.000000j), (-0.004862+0.000000j), (-9.679672-0.000000j)
 (4.686250+0.000000j), (0.009634-0.000000j), (-0.004857+0.000000j), (-9.676681-0.000000j)
 (4.687500+0.000000j), (0.009638-0.000000j), (-0.004852+0.000000j), (-9.673690+0.000000j)
 (4.688750+0.000000j), (0.009643-0.000000j), (-0.004847+0.000000j), (-9.670701-0.000000j)
 (4.690000+0.000000j), (0.009647-0.000000j), (-0.004842+0.000000j), (-9.667712-0.000000j)
 (4.691250+0.000000j), (0.009652-0.000000j), (-0.004838-0.000000j), (-9.664724-0.000000j)
 (4.692500+0.000000j), (0.009657-0.000000j), (-0.004833+0.000000j), (-9.661737-0.000000j)
 (4.693750+0.000000j), (0.009661-0.000000j), (-0.004828+0.000000j), (-9.658751-0.000000j)
 (4.695000+0.000000j), (0.009666-0.000000j), (-0.004823-0.000000j), (-9.655766+0.000000j)
 (4.696250+0.000000j), (0.009670-0.000000j), (-0.004819-0.000000j), (-9.652782-0.000000j)
 (4.697500+0.000000j), (0.009675-0.000000j), (-0.004814+0.000000j), (-9.649799+0.000000j)
 (4.698750+0.000000j), (0.009679-0.000000j), (-0.004809+0.000000j), (-9.646817-0.000000j)
 (4.700000+0.000000j), (0.009684-0.000000j), (-0.004804-0.000000j), (-9.643836-0.000000j)
 (4.701250+0.000000j), (0.009688-0.000000j), (-0.004799+0.000000j), (-9.640856+0.000000j)
 (4.702500+0.000000j), (0.009692-0.000000j), (-0.004794-0.000000j), (-9.637878-0.000000j)
 (4.703750+0.000000j), (0.009697-0.000000j), (-0.004789+0.000000j), (-9.634901-0.000000j)
 (4.705000+0.000000j), (0.009701-0.000000j), (-0.004784-0.000000j), (-9.631925+0.000000j)
 (4.706250+0.000000j), (0.009706-0.000000j), (-0.004780-0.000000j), (-9.628950+0.000000j)
 (4.707500+0.000000j), (0.009710-0.000000j), (-0.004775+0.000000j), (-9.625975-0.000000j)
 (4.708750+0.000000j), (0.009715-0.000000j), (-0.004770+0.000000j), (-9.623002-0.000000j)
 (4.710000+0.000000j), (0.009719-0.000000j), (-0.004765+0.000000j), (-9.620030+0.000000j)
 (4.711250+0.000000j), (0.009724-0.000000j), (-0.004760+0.000000j), (-9.617059-0.000000j)
 (4.712500+0.000000j), (0.009729-0.000000j), (-0.004755+0.000000j), (-9.614090-0.000000j)
 (4.713750+0.000000j), (0.009733-0.000000j), (-0.004750-0.000000j), (-9.611122+0.000000j)
 (4.715000+0.000000j), (0.009738-0.000000j), (-0.004745-0.000000j), (-9.608155-0.000000j)
 (4.716250+0.000000j), (0.009742-0.000000j), (-0.004741+0.000000j), (-9.605189-0.000000j)
 (4.717500+0.000000j), (0.009747-0.000000j), (-0.004736-0.000000j), (-9.602223-0.000000j)
 (4.718750+0.000000j), (0.009752-0.000000j), (-0.004731+0.000000j), (-9.599258-0.000000j)
 (4.720000+0.000000j), (0.009756-0.000000j), (-0.004726+0.000000j), (-9.596293-0.000000j)
 (4.721250+0.000000j), (0.009761-0.000000j), (-0.004721+0.000000j), (-9.593329-0.000000j)
 (4.722500+0.000000j), (0.009766-0.000000j), (-0.004716-0.000000j), (-9.590366+0.000000j)
 (4.723750+0.000000j), (0.009770-0.000000j), (-0.004712+0.000000j), (-9.587403-0.000000j)
 (4.725000+0.000000j), (0.009775-0.000000j), (-0.004707-0.000000j), (-9.584442-0.000000j)
 (4.726250+0.000000j), (0.009780-0.000000j), (-0.004702+0.000000j), (-9.581482-0.000000j)
 (4.727500+0.000000j), (0.009785-0.000000j), (-0.004697+0.000000j), (-9.578523-0.000000j)
 (4.728750+0.000000j), (0.009789-0.000000j), (-0.004692+0.000000j), (-9.575564+0.000000j)
 (4.730000+0.000000j), (0.009794-0.000000j), (-0.004688-0.000000j), (-9.572606-0.000000j)
 (4.731250+0.000000j), (0.009799-0.000000j), (-0.004683+0.000000j), (-9.569647-0.000000j)
 (4.732500+0.000000j), (0.009803-0.000000j), (-0.004678+0.000000j), (-9.566689+0.000000j)
 (4.733750+0.000000j), (0.009808-0.000000j), (-0.004673+0.000000j), (-9.563732-0.000000j)
 (4.735000+0.000000j), (0.009813-0.000000j), (-0.004668+0.000000j), (-9.560775+0.000000j)
 (4.736250+0.000000j), (0.009817-0.000000j), (-0.004663-0.000000j), (-9.557819+0.000000j)
 (4.737500+0.000000j), (0.009822-0.000000j), (-0.004659-0.000000j), (-9.554864+0.000000j)
 (4.738750+0.000000j), (0.009826-0.000000j), (-0.004654+0.000000j), (-9.551910+0.000000j)
 (4.740000+0.000000j), (0.009831-0.000000j), (-0.004649-0.000000j), (-9.548958-0.000000j)
 (4.741250+0.000000j), (0.009835-0.000000j), (-0.004644+0.000000j), (-9.546008+0.000000j)
 (4.742500+0.000000j), (0.009840-0.000000j), (-0.004639+0.000000j), (-9.543058+0.000000j)
 (4.743750+0.000000j), (0.009844-0.000000j), (-0.004635+0.000000j), (-9.540110+0.000000j)
 (4.745000+0.000000j), (0.009849-0.000000j), (-0.004630-0.000000j), (-9.537162-0.000000j)
 (4.746250+0.000000j), (0.009853+0.000000j), (-0.004625+0.000000j), (-9.534216+0.000000j)
 (4.747500+0.000000j), (0.009858-0.000000j), (-0.004620+0.000000j), (-9.531271+0.000000j)
 (4.748750+0.000000j), (0.009862+0.000000j), (-0.004615+0.000000j), (-9.528327-0.000000j)
 (4.750000+0.000000j), (0.009867-0.000000j), (-0.004610-0.000000j), (-9.525385-0.000000j)
 (4.751250+0.000000j), (0.009871-0.000000j), (-0.004606-0.000000j), (-9.522443-0.000000j)
 (4.752500+0.000000j), (0.009876+0.000000j), (-0.004601+0.000000j), (-9.519501+0.000000j)
 (4.753750+0.000000j), (0.009880-0.000000j), (-0.004596-0.000000j), (-9.516561+0.000000j)
 (4.755000+0.000000j), (0.009885-0.000000j), (-0.004590-0.000000j), (-9.513620-0.000000j)
 (4.756250+0.000000j), (0.009890+0.000000j), (-0.004585+0.000000j), (-9.510680+0.000000j)
 (4.757500+0.000000j), (0.009894-0.000000j), (-0.004580-0.000000j), (-9.507740+0.000000j)
 (4.758750+0.000000j), (0.009899-0.000000j), (-0.004575+0.000000j), (-9.504801-0.000000j)
 (4.760000+0.000000j), (0.009904-0.000000j), (-0.004571-0.000000j), (-9.501863-0.000000j)
 (4.761250+0.000000j), (0.009909-0.000000j), (-0.004566-0.000000j), (-9.498927+0.000000j)
 (4.762500+0.000000j), (0.009913-0.000000j), (-0.004561-0.000000j), (-9.495991-0.000000j)
 (4.763750+0.000000j), (0.009918-0.000000j), (-0.004556+0.000000j), (-9.493057-0.000000j)
 (4.765000+0.000000j), (0.009922-0.000000j), (-0.004551-0.000000j), (-9.490125-0.000000j)
 (4.766250+0.000000j), (0.009927-0.000000j), (-0.004546+0.000000j), (-9.487193-0.000000j)
 (4.767500+0.000000j), (0.009931-0.000000j), (-0.004541+0.000000j), (-9.484262-0.000000j)
 (4.768750+0.000000j), (0.009936-0.000000j), (-0.004536+0.000000j), (-9.481332-0.000000j)
 (4.770000+0.000000j), (0.009940-0.000000j), (-0.004531+0.000000j), (-9.478402-0.000000j)
 (4.771250+0.000000j), (0.009945-0.000000j), (-0.004526+0.000000j), (-9.475472-0.000000j)
 (4.772500+0.000000j), (0.009949-0.000000j), (-0.004521+0.000000j), (-9.472543+0.000000j)
 (4.773750+0.000000j), (0.009954-0.000000j), (-0.004516-0.000000j), (-9.469614+0.000000j)
 (4.775000+0.000000j), (0.009958-0.000000j), (-0.004511+0.000000j), (-9.466685-0.000000j)
 (4.776250+0.000000j), (0.009963-0.000000j), (-0.004507-0.000000j), (-9.463758+0.000000j)
 (4.777500+0.000000j), (0.009967-0.000000j), (-0.004502-0.000000j), (-9.460832-0.000000j)
 (4.778750+0.000000j), (0.009972-0.000000j), (-0.004497+0.000000j), (-9.457907-0.000000j)
 (4.780000+0.000000j), (0.009977-0.000000j), (-0.004492-0.000000j), (-9.454984+0.000000j)
 (4.781250+0.000000j), (0.009981-0.000000j), (-0.004487+0.000000j), (-9.452062-0.000000j)
 (4.782500+0.000000j), (0.009986-0.000000j), (-0.004482-0.000000j), (-9.449141-0.000000j)
 (4.783750+0.000000j), (0.009990-0.000000j), (-0.004477+0.000000j), (-9.446222+0.000000j)
 (4.785000+0.000000j), (0.009995-0.000000j), (-0.004472+0.000000j), (-9.443304-0.000000j)
 (4.786250+0.000000j), (0.010000+0.000000j), (-0.004468+0.000000j), (-9.440387-0.000000j)
 (4.787500+0.000000j), (0.010004-0.000000j), (-0.004463+0.000000j), (-9.437471-0.000000j)
 (4.788750+0.000000j), (0.010009-0.000000j), (-0.004458+0.000000j), (-9.434555-0.000000j)
 (4.790000+0.000000j), (0.010013-0.000000j), (-0.004453-0.000000j), (-9.431640-0.000000j)
 (4.791250+0.000000j), (0.010018-0.000000j), (-0.004448-0.000000j), (-9.428726-0.000000j)
 (4.792500+0.000000j), (0.010022-0.000000j), (-0.004443-0.000000j), (-9.425813-0.000000j)
 (4.793750+0.000000j), (0.010027-0.000000j), (-0.004438-0.000000j), (-9.422901-0.000000j)
 (4.795000+0.000000j), (0.010031-0.000000j), (-0.004433+0.000000j), (-9.419991-0.000000j)
 (4.796250+0.000000j), (0.010036-0.000000j), (-0.004428-0.000000j), (-9.417082-0.000000j)
 (4.797500+0.000000j), (0.010040-0.000000j), (-0.004423+0.000000j), (-9.414175+0.000000j)
 (4.798750+0.000000j), (0.010045+0.000000j), (-0.004418-0.000000j), (-9.411269+0.000000j)
 (4.800000+0.000000j), (0.010049-0.000000j), (-0.004413-0.000000j), (-9.408365-0.000000j)
 (4.801250+0.000000j), (0.010054-0.000000j), (-0.004408+0.000000j), (-9.405462+0.000000j)
 (4.802500+0.000000j), (0.010058-0.000000j), (-0.004403+0.000000j), (-9.402562-0.000000j)
 (4.803750+0.000000j), (0.010063-0.000000j), (-0.004398+0.000000j), (-9.399662-0.000000j)
 (4.805000+0.000000j), (0.010068-0.000000j), (-0.004393+0.000000j), (-9.396765+0.000000j)
 (4.806250+0.000000j), (0.010072-0.000000j), (-0.004388-0.000000j), (-9.393868+0.000000j)
 (4.807500+0.000000j), (0.010077-0.000000j), (-0.004383-0.000000j), (-9.390973-0.000000j)
 (4.808750+0.000000j), (0.010082-0.000000j), (-0.004379+0.000000j), (-9.388080-0.000000j)
 (4.810000+0.000000j), (0.010086-0.000000j), (-0.004374+0.000000j), (-9.385188+0.000000j)
 (4.811250+0.000000j), (0.010091-0.000000j), (-0.004369-0.000000j), (-9.382297-0.000000j)
 (4.812500+0.000000j), (0.010095-0.000000j), (-0.004364+0.000000j), (-9.379407-0.000000j)
 (4.813750+0.000000j), (0.010100-0.000000j), (-0.004360+0.000000j), (-9.376517+0.000000j)
 (4.815000+0.000000j), (0.010104-0.000000j), (-0.004355+0.000000j), (-9.373628-0.000000j)
 (4.816250+0.000000j), (0.010108-0.000000j), (-0.004350+0.000000j), (-9.370740+0.000000j)
 (4.817500+0.000000j), (0.010113-0.000000j), (-0.004345+0.000000j), (-9.367852+0.000000j)
 (4.818750+0.000000j), (0.010117-0.000000j), (-0.004340+0.000000j), (-9.364965+0.000000j)
 (4.820000+0.000000j), (0.010121-0.000000j), (-0.004335-0.000000j), (-9.362079+0.000000j)
 (4.821250+0.000000j), (0.010126-0.000000j), (-0.004330+0.000000j), (-9.359194-0.000000j)
 (4.822500+0.000000j), (0.010130-0.000000j), (-0.004325+0.000000j), (-9.356310-0.000000j)
 (4.823750+0.000000j), (0.010135-0.000000j), (-0.004320-0.000000j), (-9.353428-0.000000j)
 (4.825000+0.000000j), (0.010139-0.000000j), (-0.004315+0.000000j), (-9.350546+0.000000j)
 (4.826250+0.000000j), (0.010144-0.000000j), (-0.004310-0.000000j), (-9.347666+0.000000j)
 (4.827500+0.000000j), (0.010148-0.000000j), (-0.004306+0.000000j), (-9.344786-0.000000j)
 (4.828750+0.000000j), (0.010153-0.000000j), (-0.004301+0.000000j), (-9.341908-0.000000j)
 (4.830000+0.000000j), (0.010157-0.000000j), (-0.004296-0.000000j), (-9.339031-0.000000j)
 (4.831250+0.000000j), (0.010162-0.000000j), (-0.004291+0.000000j), (-9.336154+0.000000j)
 (4.832500+0.000000j), (0.010166-0.000000j), (-0.004286+0.000000j), (-9.333277+0.000000j)
 (4.833750+0.000000j), (0.010171-0.000000j), (-0.004282-0.000000j), (-9.330401-0.000000j)
 (4.835000+0.000000j), (0.010175-0.000000j), (-0.004277+0.000000j), (-9.327526+0.000000j)
 (4.836250+0.000000j), (0.010180-0.000000j), (-0.004272+0.000000j), (-9.324652+0.000000j)
 (4.837500+0.000000j), (0.010184-0.000000j), (-0.004267-0.000000j), (-9.321778-0.000000j)
 (4.838750+0.000000j), (0.010189-0.000000j), (-0.004262+0.000000j), (-9.318905-0.000000j)
 (4.840000+0.000000j), (0.010194-0.000000j), (-0.004257+0.000000j), (-9.316032-0.000000j)
 (4.841250+0.000000j), (0.010198-0.000000j), (-0.004252+0.000000j), (-9.313160+0.000000j)
 (4.842500+0.000000j), (0.010202-0.000000j), (-0.004247-0.000000j), (-9.310289-0.000000j)
 (4.843750+0.000000j), (0.010207-0.000000j), (-0.004242+0.000000j), (-9.307419-0.000000j)
 (4.845000+0.000000j), (0.010211-0.000000j), (-0.004237+0.000000j), (-9.304550+0.000000j)
 (4.846250+0.000000j), (0.010216-0.000000j), (-0.004232+0.000000j), (-9.301682-0.000000j)
 (4.847500+0.000000j), (0.010220-0.000000j), (-0.004227-0.000000j), (-9.298815-0.000000j)
 (4.848750+0.000000j), (0.010225-0.000000j), (-0.004222-0.000000j), (-9.295949+0.000000j)
 (4.850000+0.000000j), (0.010229-0.000000j), (-0.004218+0.000000j), (-9.293083+0.000000j)
 (4.851250+0.000000j), (0.010234-0.000000j), (-0.004213-0.000000j), (-9.290218-0.000000j)
 (4.852500+0.000000j), (0.010239-0.000000j), (-0.004208+0.000000j), (-9.287353+0.000000j)
 (4.853750+0.000000j), (0.010243-0.000000j), (-0.004203+0.000000j), (-9.284489-0.000000j)
 (4.855000+0.000000j), (0.010248-0.000000j), (-0.004198-0.000000j), (-9.281626-0.000000j)
 (4.856250+0.000000j), (0.010252-0.000000j), (-0.004193-0.000000j), (-9.278763-0.000000j)
 (4.857500+0.000000j), (0.010257-0.000000j), (-0.004188-0.000000j), (-9.275901+0.000000j)
 (4.858750+0.000000j), (0.010261-0.000000j), (-0.004183+0.000000j), (-9.273041+0.000000j)
 (4.860000+0.000000j), (0.010266-0.000000j), (-0.004178-0.000000j), (-9.270182-0.000000j)
 (4.861250+0.000000j), (0.010270-0.000000j), (-0.004173-0.000000j), (-9.267325-0.000000j)
 (4.862500+0.000000j), (0.010274-0.000000j), (-0.004168+0.000000j), (-9.264469-0.000000j)
 (4.863750+0.000000j), (0.010279-0.000000j), (-0.004163-0.000000j), (-9.261616+0.000000j)
 (4.865000+0.000000j), (0.010283-0.000000j), (-0.004158-0.000000j), (-9.258764-0.000000j)
 (4.866250+0.000000j), (0.010288-0.000000j), (-0.004153+0.000000j), (-9.255912+0.000000j)
 (4.867500+0.000000j), (0.010292-0.000000j), (-0.004148+0.000000j), (-9.253061-0.000000j)
 (4.868750+0.000000j), (0.010297-0.000000j), (-0.004143-0.000000j), (-9.250211-0.000000j)
 (4.870000+0.000000j), (0.010301-0.000000j), (-0.004138-0.000000j), (-9.247360-0.000000j)
 (4.871250+0.000000j), (0.010306-0.000000j), (-0.004134-0.000000j), (-9.244510-0.000000j)
 (4.872500+0.000000j), (0.010310-0.000000j), (-0.004129+0.000000j), (-9.241661-0.000000j)
 (4.873750+0.000000j), (0.010315-0.000000j), (-0.004124-0.000000j), (-9.238812+0.000000j)
 (4.875000+0.000000j), (0.010319-0.000000j), (-0.004119-0.000000j), (-9.235964+0.000000j)
 (4.876250+0.000000j), (0.010324-0.000000j), (-0.004114-0.000000j), (-9.233118-0.000000j)
 (4.877500+0.000000j), (0.010328-0.000000j), (-0.004109+0.000000j), (-9.230274-0.000000j)
 (4.878750+0.000000j), (0.010333-0.000000j), (-0.004105-0.000000j), (-9.227432+0.000000j)
 (4.880000+0.000000j), (0.010337-0.000000j), (-0.004100-0.000000j), (-9.224591-0.000000j)
 (4.881250+0.000000j), (0.010341-0.000000j), (-0.004095+0.000000j), (-9.221753-0.000000j)
 (4.882500+0.000000j), (0.010346-0.000000j), (-0.004090+0.000000j), (-9.218915-0.000000j)
 (4.883750+0.000000j), (0.010350-0.000000j), (-0.004084+0.000000j), (-9.216079+0.000000j)
 (4.885000+0.000000j), (0.010355-0.000000j), (-0.004079+0.000000j), (-9.213244-0.000000j)
 (4.886250+0.000000j), (0.010359-0.000000j), (-0.004074-0.000000j), (-9.210409+0.000000j)
 (4.887500+0.000000j), (0.010363-0.000000j), (-0.004069+0.000000j), (-9.207576-0.000000j)
 (4.888750+0.000000j), (0.010368-0.000000j), (-0.004064-0.000000j), (-9.204743-0.000000j)
 (4.890000+0.000000j), (0.010373-0.000000j), (-0.004059+0.000000j), (-9.201910-0.000000j)
 (4.891250+0.000000j), (0.010377-0.000000j), (-0.004054+0.000000j), (-9.199079-0.000000j)
 (4.892500+0.000000j), (0.010382-0.000000j), (-0.004049+0.000000j), (-9.196249-0.000000j)
 (4.893750+0.000000j), (0.010386-0.000000j), (-0.004044+0.000000j), (-9.193419+0.000000j)
 (4.895000+0.000000j), (0.010391-0.000000j), (-0.004039-0.000000j), (-9.190591+0.000000j)
 (4.896250+0.000000j), (0.010396-0.000000j), (-0.004034+0.000000j), (-9.187763+0.000000j)
 (4.897500+0.000000j), (0.010400-0.000000j), (-0.004029-0.000000j), (-9.184937-0.000000j)
 (4.898750+0.000000j), (0.010405-0.000000j), (-0.004024-0.000000j), (-9.182111+0.000000j)
 (4.900000+0.000000j), (0.010410-0.000000j), (-0.004019+0.000000j), (-9.179285-0.000000j)
 (4.901250+0.000000j), (0.010415-0.000000j), (-0.004014+0.000000j), (-9.176460+0.000000j)
 (4.902500+0.000000j), (0.010419-0.000000j), (-0.004009-0.000000j), (-9.173636-0.000000j)
 (4.903750+0.000000j), (0.010424+0.000000j), (-0.004004+0.000000j), (-9.170812+0.000000j)
 (4.905000+0.000000j), (0.010428-0.000000j), (-0.003999-0.000000j), (-9.167989-0.000000j)
 (4.906250+0.000000j), (0.010433-0.000000j), (-0.003994+0.000000j), (-9.165168+0.000000j)
 (4.907500+0.000000j), (0.010437+0.000000j), (-0.003989-0.000000j), (-9.162348-0.000000j)
 (4.908750+0.000000j), (0.010442-0.000000j), (-0.003983-0.000000j), (-9.159529-0.000000j)
 (4.910000+0.000000j), (0.010446-0.000000j), (-0.003978+0.000000j), (-9.156712-0.000000j)
 (4.911250+0.000000j), (0.010450-0.000000j), (-0.003973+0.000000j), (-9.153897+0.000000j)
 (4.912500+0.000000j), (0.010455-0.000000j), (-0.003968-0.000000j), (-9.151083-0.000000j)
 (4.913750+0.000000j), (0.010459-0.000000j), (-0.003963+0.000000j), (-9.148270-0.000000j)
 (4.915000+0.000000j), (0.010464-0.000000j), (-0.003958-0.000000j), (-9.145458-0.000000j)
 (4.916250+0.000000j), (0.010469-0.000000j), (-0.003954-0.000000j), (-9.142647+0.000000j)
 (4.917500+0.000000j), (0.010473-0.000000j), (-0.003949+0.000000j), (-9.139838-0.000000j)
 (4.918750+0.000000j), (0.010478-0.000000j), (-0.003944+0.000000j), (-9.137029+0.000000j)
 (4.920000+0.000000j), (0.010482-0.000000j), (-0.003939+0.000000j), (-9.134222+0.000000j)
 (4.921250+0.000000j), (0.010487-0.000000j), (-0.003934+0.000000j), (-9.131416+0.000000j)
 (4.922500+0.000000j), (0.010491-0.000000j), (-0.003930+0.000000j), (-9.128612-0.000000j)
 (4.923750+0.000000j), (0.010496-0.000000j), (-0.003925+0.000000j), (-9.125809+0.000000j)
 (4.925000+0.000000j), (0.010500-0.000000j), (-0.003920-0.000000j), (-9.123007-0.000000j)
 (4.926250+0.000000j), (0.010505-0.000000j), (-0.003915-0.000000j), (-9.120205-0.000000j)
 (4.927500+0.000000j), (0.010509-0.000000j), (-0.003911+0.000000j), (-9.117404-0.000000j)
 (4.928750+0.000000j), (0.010514-0.000000j), (-0.003906-0.000000j), (-9.114603-0.000000j)
 (4.930000+0.000000j), (0.010518-0.000000j), (-0.003901+0.000000j), (-9.111802-0.000000j)
 (4.931250+0.000000j), (0.010523-0.000000j), (-0.003896+0.000000j), (-9.109001-0.000000j)
 (4.932500+0.000000j), (0.010527-0.000000j), (-0.003891-0.000000j), (-9.106200+0.000000j)
 (4.933750+0.000000j), (0.010532-0.000000j), (-0.003886+0.000000j), (-9.103401-0.000000j)
 (4.935000+0.000000j), (0.010536-0.000000j), (-0.003882+0.000000j), (-9.100603+0.000000j)
 (4.936250+0.000000j), (0.010541-0.000000j), (-0.003877-0.000000j), (-9.097806+0.000000j)
 (4.937500+0.000000j), (0.010545-0.000000j), (-0.003872+0.000000j), (-9.095011+0.000000j)
 (4.938750+0.000000j), (0.010550-0.000000j), (-0.003867-0.000000j), (-9.092217-0.000000j)
 (4.940000+0.000000j), (0.010554-0.000000j), (-0.003862+0.000000j), (-9.089424-0.000000j)
 (4.941250+0.000000j), (0.010559-0.000000j), (-0.003858+0.000000j), (-9.086632+0.000000j)
 (4.942500+0.000000j), (0.010563-0.000000j), (-0.003853+0.000000j), (-9.083840+0.000000j)
 (4.943750+0.000000j), (0.010568-0.000000j), (-0.003848-0.000000j), (-9.081050-0.000000j)
 (4.945000+0.000000j), (0.010573-0.000000j), (-0.003844+0.000000j), (-9.078261-0.000000j)
 (4.946250+0.000000j), (0.010577-0.000000j), (-0.003839+0.000000j), (-9.075472-0.000000j)
 (4.947500+0.000000j), (0.010582-0.000000j), (-0.003834+0.000000j), (-9.072685-0.000000j)
 (4.948750+0.000000j), (0.010586-0.000000j), (-0.003830+0.000000j), (-9.069899+0.000000j)
 (4.950000+0.000000j), (0.010591-0.000000j), (-0.003825-0.000000j), (-9.067113+0.000000j)
 (4.951250+0.000000j), (0.010595-0.000000j), (-0.003821+0.000000j), (-9.064328+0.000000j)
 (4.952500+0.000000j), (0.010600-0.000000j), (-0.003816-0.000000j), (-9.061543-0.000000j)
 (4.953750+0.000000j), (0.010604-0.000000j), (-0.003812+0.000000j), (-9.058759-0.000000j)
 (4.955000+0.000000j), (0.010609-0.000000j), (-0.003807+0.000000j), (-9.055975+0.000000j)
 (4.956250+0.000000j), (0.010613-0.000000j), (-0.003802-0.000000j), (-9.053191+0.000000j)
 (4.957500+0.000000j), (0.010618-0.000000j), (-0.003797+0.000000j), (-9.050409-0.000000j)
 (4.958750+0.000000j), (0.010622-0.000000j), (-0.003793-0.000000j), (-9.047628-0.000000j)
 (4.960000+0.000000j), (0.010627-0.000000j), (-0.003788-0.000000j), (-9.044848-0.000000j)
 (4.961250+0.000000j), (0.010631-0.000000j), (-0.003783+0.000000j), (-9.042069+0.000000j)
 (4.962500+0.000000j), (0.010636-0.000000j), (-0.003779-0.000000j), (-9.039291-0.000000j)
 (4.963750+0.000000j), (0.010641-0.000000j), (-0.003774+0.000000j), (-9.036514+0.000000j)
 (4.965000+0.000000j), (0.010645-0.000000j), (-0.003770-0.000000j), (-9.033737-0.000000j)
 (4.966250+0.000000j), (0.010650-0.000000j), (-0.003765+0.000000j), (-9.030962+0.000000j)
 (4.967500+0.000000j), (0.010654-0.000000j), (-0.003761+0.000000j), (-9.028187-0.000000j)
 (4.968750+0.000000j), (0.010658-0.000000j), (-0.003757+0.000000j), (-9.025414+0.000000j)
 (4.970000+0.000000j), (0.010663-0.000000j), (-0.003752+0.000000j), (-9.022643-0.000000j)
 (4.971250+0.000000j), (0.010667-0.000000j), (-0.003748-0.000000j), (-9.019873+0.000000j)
 (4.972500+0.000000j), (0.010671-0.000000j), (-0.003743-0.000000j), (-9.017106-0.000000j)
 (4.973750+0.000000j), (0.010676-0.000000j), (-0.003739+0.000000j), (-9.014340-0.000000j)
 (4.975000+0.000000j), (0.010680-0.000000j), (-0.003734+0.000000j), (-9.011576+0.000000j)
 (4.976250+0.000000j), (0.010685-0.000000j), (-0.003730-0.000000j), (-9.008813-0.000000j)
 (4.977500+0.000000j), (0.010690-0.000000j), (-0.003725+0.000000j), (-9.006051+0.000000j)
 (4.978750+0.000000j), (0.010694-0.000000j), (-0.003721+0.000000j), (-9.003289+0.000000j)
 (4.980000+0.000000j), (0.010699-0.000000j), (-0.003717+0.000000j), (-9.000529-0.000000j)
 (4.981250+0.000000j), (0.010704-0.000000j), (-0.003712+0.000000j), (-8.997769+0.000000j)
 (4.982500+0.000000j), (0.010708-0.000000j), (-0.003708-0.000000j), (-8.995009+0.000000j)
 (4.983750+0.000000j), (0.010713-0.000000j), (-0.003703+0.000000j), (-8.992248+0.000000j)
 (4.985000+0.000000j), (0.010717-0.000000j), (-0.003699-0.000000j), (-8.989488-0.000000j)
 (4.986250+0.000000j), (0.010722-0.000000j), (-0.003694+0.000000j), (-8.986728-0.000000j)
 (4.987500+0.000000j), (0.010726-0.000000j), (-0.003690+0.000000j), (-8.983969+0.000000j)
 (4.988750+0.000000j), (0.010731-0.000000j), (-0.003685-0.000000j), (-8.981210-0.000000j)
 (4.990000+0.000000j), (0.010735+0.000000j), (-0.003681+0.000000j), (-8.978453+0.000000j)
 (4.991250+0.000000j), (0.010740-0.000000j), (-0.003676-0.000000j), (-8.975696+0.000000j)
 (4.992500+0.000000j), (0.010745-0.000000j), (-0.003672+0.000000j), (-8.972939+0.000000j)
 (4.993750+0.000000j), (0.010749-0.000000j), (-0.003668-0.000000j), (-8.970184-0.000000j)
 (4.995000+0.000000j), (0.010754-0.000000j), (-0.003663+0.000000j), (-8.967428+0.000000j)
 (4.996250+0.000000j), (0.010759-0.000000j), (-0.003659+0.000000j), (-8.964674+0.000000j)
