 (1.879100+0.000000j), (0.404573+0.000000j), (3.464388-0.000000j), (-4.433717+0.000000j)
 (1.880360+0.000000j), (-0.035184-0.000000j), (1.753073+0.000000j), (-2.339541-0.000000j)
 (1.881610+0.000000j), (-0.978149+0.000000j), (-0.920129+0.000000j), (0.410241+0.000000j)
 (1.882860+0.000000j), (-0.679241-0.000000j), (-0.522066-0.000000j), (0.783355+0.000000j)
 (1.884110+0.000000j), (-0.365935+0.000000j), (0.776152-0.000000j), (1.170101-0.000000j)
 (1.885360+0.000000j), (-0.173894-0.000000j), (-0.121721+0.000000j), (1.486373+0.000000j)
 (1.886610+0.000000j), (0.418763+0.000000j), (-2.178306-0.000000j), (2.913196-0.000000j)
 (1.887870+0.000000j), (-0.198160-0.000000j), (-1.812073+0.000000j), (2.419121+0.000000j)
 (1.889120+0.000000j), (-1.934039+0.000000j), (-1.742149-0.000000j), (4.256803-0.000000j)
 (1.890370+0.000000j), (-1.310346-0.000000j), (-0.952073+0.000000j), (0.146949+0.000000j)
 (1.891620+0.000000j), (-0.508357+0.000000j), (0.618397-0.000000j), (-10.438197-0.000000j)
 (1.892870+0.000000j), (0.120660-0.000000j), (0.200714+0.000000j), (-6.990503+0.000000j)
 (1.894130+0.000000j), (1.571196+0.000000j), (-1.276563-0.000000j), (0.302828-0.000000j)
 (1.895380+0.000000j), (1.047443-0.000000j), (-0.726496+0.000000j), (0.969394+0.000000j)
 (1.896630+0.000000j), (-0.191788+0.000000j), (0.447179-0.000000j), (1.826777-0.000000j)
 (1.897880+0.000000j), (-0.380163+0.000000j), (0.838702+0.000000j), (0.266412+0.000000j)
 (1.899130+0.000000j), (-1.030476-0.000000j), (1.876161+0.000000j), (-4.230459+0.000000j)
 (1.900390+0.000000j), (-0.406578+0.000000j), (1.401653-0.000000j), (-3.054435-0.000000j)
 (1.901640+0.000000j), (1.061378-0.000000j), (0.070165+0.000000j), (1.027413+0.000000j)
 (1.902890+0.000000j), (1.240825+0.000000j), (0.270483-0.000000j), (0.472884+0.000000j)
 (1.904140+0.000000j), (1.605957+0.000000j), (1.495482-0.000000j), (-2.180079-0.000000j)
 (1.905390+0.000000j), (1.119005-0.000000j), (1.210733+0.000000j), (-2.434250+0.000000j)
 (1.906650+0.000000j), (-0.141560+0.000000j), (0.074280-0.000000j), (-2.830222+0.000000j)
 (1.907900+0.000000j), (-0.357048+0.000000j), (0.244998-0.000000j), (-2.362028-0.000000j)
 (1.909150+0.000000j), (-0.635027-0.000000j), (1.459404+0.000000j), (-1.395883+0.000000j)
 (1.910400+0.000000j), (-0.414524+0.000000j), (1.273686-0.000000j), (-1.205538+0.000000j)
 (1.911650+0.000000j), (0.186375-0.000000j), (0.448943+0.000000j), (-1.929790-0.000000j)
 (1.912900+0.000000j), (0.378235+0.000000j), (0.222718-0.000000j), (-1.293564+0.000000j)
 (1.914160+0.000000j), (0.574993-0.000000j), (0.018215+0.000000j), (0.618093-0.000000j)
 (1.915410+0.000000j), (0.560651-0.000000j), (0.125611-0.000000j), (0.824226-0.000000j)
 (1.916660+0.000000j), (0.343168+0.000000j), (0.846402-0.000000j), (0.090510+0.000000j)
 (1.917910+0.000000j), (0.249685-0.000000j), (0.802364+0.000000j), (-0.116635-0.000000j)
 (1.919160+0.000000j), (0.040787-0.000000j), (0.407573-0.000000j), (-0.874959-0.000000j)
 (1.920420+0.000000j), (-0.039360+0.000000j), (0.212043+0.000000j), (-0.665941+0.000000j)
 (1.921670+0.000000j), (-0.293702-0.000000j), (0.092480+0.000000j), (0.390422+0.000000j)
 (1.922920+0.000000j), (-0.180187+0.000000j), (-0.157001-0.000000j), (0.602640-0.000000j)
 (1.924170+0.000000j), (0.504265-0.000000j), (-0.775234+0.000000j), (0.001491-0.000000j)
 (1.925420+0.000000j), (0.475870-0.000000j), (-0.867388+0.000000j), (0.191608+0.000000j)
 (1.926680+0.000000j), (-0.448599+0.000000j), (-0.374824-0.000000j), (0.986491-0.000000j)
 (1.927930+0.000000j), (-0.589212-0.000000j), (-0.269092+0.000000j), (1.342739+0.000000j)
 (1.929180+0.000000j), (-0.366092+0.000000j), (-0.007294+0.000000j), (1.732225+0.000000j)
 (1.930430+0.000000j), (-0.203344+0.000000j), (-0.175566-0.000000j), (1.594374+0.000000j)
 (1.931680+0.000000j), (0.166551-0.000000j), (-1.279529+0.000000j), (0.066446+0.000000j)
 (1.932940+0.000000j), (0.418484+0.000000j), (-1.409287-0.000000j), (-0.564937-0.000000j)
 (1.934190+0.000000j), (0.763671-0.000000j), (-0.250077+0.000000j), (-1.842585+0.000000j)
 (1.935440+0.000000j), (0.986215+0.000000j), (0.094602+0.000000j), (-1.787655-0.000000j)
 (1.936690+0.000000j), (1.145538+0.000000j), (0.204614-0.000000j), (1.119689+0.000000j)
 (1.937940+0.000000j), (1.096941-0.000000j), (0.423923+0.000000j), (1.810353+0.000000j)
 (1.939190+0.000000j), (-0.022069+0.000000j), (1.008279-0.000000j), (0.031920+0.000000j)
 (1.940450+0.000000j), (-0.366142+0.000000j), (1.274197-0.000000j), (-0.397118-0.000000j)
 (1.941700+0.000000j), (-0.309293-0.000000j), (1.183837+0.000000j), (-0.518634+0.000000j)
 (1.942950+0.000000j), (-0.103260-0.000000j), (1.174782+0.000000j), (-0.653466+0.000000j)
 (1.944200+0.000000j), (1.596537+0.000000j), (0.745497-0.000000j), (-0.838811-0.000000j)
 (1.945450+0.000000j), (2.103086-0.000000j), (0.448077-0.000000j), (-0.877652+0.000000j)
 (1.946710+0.000000j), (0.172562-0.000000j), (-0.538110+0.000000j), (-0.451850+0.000000j)
 (1.947960+0.000000j), (-0.427798+0.000000j), (-0.973886-0.000000j), (-0.162536-0.000000j)
 (1.949210+0.000000j), (-0.242863-0.000000j), (-0.144250+0.000000j), (0.568759-0.000000j)
 (1.950460+0.000000j), (-0.372986+0.000000j), (-0.017005-0.000000j), (1.078980+0.000000j)
 (1.951710+0.000000j), (-0.740591-0.000000j), (-0.452676+0.000000j), (1.274813+0.000000j)
 (1.952970+0.000000j), (-0.881929+0.000000j), (-0.628395-0.000000j), (1.596082-0.000000j)
 (1.954220+0.000000j), (0.230768+0.000000j), (-0.125567-0.000000j), (0.981888+0.000000j)
 (1.955470+0.000000j), (0.746624-0.000000j), (0.030288-0.000000j), (0.938410+0.000000j)
 (1.956720+0.000000j), (0.753517+0.000000j), (-0.010140+0.000000j), (1.094005+0.000000j)
 (1.957970+0.000000j), (0.931995-0.000000j), (-0.010032-0.000000j), (1.262702-0.000000j)
 (1.959230+0.000000j), (-0.003446-0.000000j), (-0.213984+0.000000j), (0.938754+0.000000j)
 (1.960480+0.000000j), (-0.418277+0.000000j), (-0.349919-0.000000j), (0.926580-0.000000j)
 (1.961730+0.000000j), (-0.679565-0.000000j), (-0.488964+0.000000j), (0.878411-0.000000j)
 (1.962980+0.000000j), (-0.937314-0.000000j), (-0.660160+0.000000j), (0.938373+0.000000j)
 (1.964230+0.000000j), (0.387974-0.000000j), (-0.564283+0.000000j), (0.874811-0.000000j)
 (1.965480+0.000000j), (1.066398+0.000000j), (-0.639714+0.000000j), (0.951597-0.000000j)
 (1.966740+0.000000j), (0.188264+0.000000j), (-0.573114-0.000000j), (1.071781+0.000000j)
 (1.967990+0.000000j), (-0.056500-0.000000j), (-0.625962-0.000000j), (1.298810-0.000000j)
 (1.969240+0.000000j), (-0.381000-0.000000j), (-0.379317+0.000000j), (1.336286-0.000000j)
 (1.970490+0.000000j), (-0.686113+0.000000j), (-0.293385-0.000000j), (1.620395+0.000000j)
 (1.971740+0.000000j), (-0.154814-0.000000j), (-0.496090-0.000000j), (1.217000-0.000000j)
 (1.973000+0.000000j), (0.064834+0.000000j), (-0.659710-0.000000j), (1.233831-0.000000j)
 (1.974250+0.000000j), (0.535570-0.000000j), (-0.559310-0.000000j), (0.397949+0.000000j)
 (1.975500+0.000000j), (1.059134+0.000000j), (-0.624557+0.000000j), (-0.100957+0.000000j)
 (1.976750+0.000000j), (-0.139423-0.000000j), (0.162300-0.000000j), (1.348746-0.000000j)
 (1.978000+0.000000j), (-0.766022-0.000000j), (0.761940+0.000000j), (2.446416+0.000000j)
 (1.979260+0.000000j), (-0.321550+0.000000j), (-0.765327-0.000000j), (0.770340-0.000000j)
 (1.980510+0.000000j), (-0.323672-0.000000j), (-1.802026+0.000000j), (0.215047+0.000000j)
 (1.981760+0.000000j), (0.081408+0.000000j), (0.094969-0.000000j), (0.466423+0.000000j)
 (1.983010+0.000000j), (0.386030+0.000000j), (1.215372+0.000000j), (0.711443+0.000000j)
 (1.984260+0.000000j), (0.253309-0.000000j), (-0.154048-0.000000j), (-0.716394-0.000000j)
 (1.985510+0.000000j), (0.346058+0.000000j), (-0.750149-0.000000j), (-1.837174-0.000000j)
 (1.986770+0.000000j), (0.747397-0.000000j), (-0.358894+0.000000j), (-2.099394+0.000000j)
 (1.988020+0.000000j), (1.475679+0.000000j), (-0.291133-0.000000j), (-3.585667-0.000000j)
 (1.989270+0.000000j), (0.024079-0.000000j), (-0.469009+0.000000j), (-0.154744+0.000000j)
 (1.990520+0.000000j), (-0.826389+0.000000j), (-0.668910-0.000000j), (2.170659+0.000000j)
 (1.991770+0.000000j), (-0.319404-0.000000j), (-0.411546+0.000000j), (0.148095+0.000000j)
 (1.993030+0.000000j), (-0.325803+0.000000j), (-0.248097-0.000000j), (-0.401169-0.000000j)
 (1.994280+0.000000j), (-0.272956+0.000000j), (-0.925097+0.000000j), (-0.127047+0.000000j)
 (1.995530+0.000000j), (-0.338156-0.000000j), (-1.843141+0.000000j), (0.086889+0.000000j)
 (1.996780+0.000000j), (0.011938+0.000000j), (-0.386155-0.000000j), (-0.500729-0.000000j)
 (1.998030+0.000000j), (0.461976-0.000000j), (0.583261+0.000000j), (-1.113961+0.000000j)
 (1.999290+0.000000j), (-0.106139+0.000000j), (-0.173026-0.000000j), (-0.334859-0.000000j)
 (2.000540+0.000000j), (-0.352390-0.000000j), (-0.293194+0.000000j), (0.131906+0.000000j)
 (2.001790+0.000000j), (-0.291152+0.000000j), (-0.486694-0.000000j), (-0.335310-0.000000j)
 (2.003040+0.000000j), (-0.289247-0.000000j), (-0.598331-0.000000j), (-0.774575-0.000000j)
 (2.004290+0.000000j), (-0.451846+0.000000j), (-1.245208+0.000000j), (-0.065583+0.000000j)
 (2.005550+0.000000j), (-0.674315+0.000000j), (-2.656281-0.000000j), (0.419430+0.000000j)
 (2.006800+0.000000j), (-0.556084+0.000000j), (-1.033320+0.000000j), (0.474630-0.000000j)
 (2.008050+0.000000j), (-0.647191-0.000000j), (-0.593245-0.000000j), (1.186466-0.000000j)
 (2.009300+0.000000j), (-0.561540+0.000000j), (-0.176567+0.000000j), (0.432875+0.000000j)
 (2.010550+0.000000j), (-0.659047-0.000000j), (0.502951-0.000000j), (0.331439+0.000000j)
 (2.011800+0.000000j), (-0.445010+0.000000j), (0.169242+0.000000j), (0.214682-0.000000j)
 (2.013060+0.000000j), (-0.224562-0.000000j), (0.428387-0.000000j), (0.476031+0.000000j)
 (2.014310+0.000000j), (-0.543148+0.000000j), (-0.005153+0.000000j), (-0.462991-0.000000j)
 (2.015560+0.000000j), (-1.195522-0.000000j), (-0.478768+0.000000j), (-2.197220+0.000000j)
 (2.016810+0.000000j), (-0.093699-0.000000j), (0.050622-0.000000j), (-0.121103-0.000000j)
 (2.018060+0.000000j), (1.540285+0.000000j), (0.375487-0.000000j), (1.253182+0.000000j)
 (2.019320+0.000000j), (-0.344854-0.000000j), (0.353785+0.000000j), (0.938838-0.000000j)
 (2.020570+0.000000j), (-2.118200+0.000000j), (0.780892-0.000000j), (2.528508-0.000000j)
 (2.021820+0.000000j), (-0.606083-0.000000j), (0.348858-0.000000j), (0.534513+0.000000j)
 (2.023070+0.000000j), (0.234134+0.000000j), (0.382426-0.000000j), (-0.520847+0.000000j)
 (2.024320+0.000000j), (-0.246983-0.000000j), (-0.024176+0.000000j), (-0.307716-0.000000j)
 (2.025580+0.000000j), (-0.266191+0.000000j), (-1.002866+0.000000j), (-0.772406+0.000000j)
 (2.026830+0.000000j), (-0.490554+0.000000j), (0.211076-0.000000j), (-0.402210+0.000000j)
 (2.028080+0.000000j), (-1.205431-0.000000j), (1.755709+0.000000j), (-0.270227-0.000000j)
 (2.029330+0.000000j), (-0.306445+0.000000j), (0.258248-0.000000j), (-0.347622-0.000000j)
 (2.030580+0.000000j), (0.522726-0.000000j), (-0.902223+0.000000j), (-0.205170+0.000000j)
 (2.031840+0.000000j), (0.067624+0.000000j), (-0.300953+0.000000j), (-0.636773+0.000000j)
 (2.033090+0.000000j), (0.003714-0.000000j), (-0.412566-0.000000j), (-1.501363+0.000000j)
 (2.034340+0.000000j), (0.057377+0.000000j), (-0.039723-0.000000j), (-0.776282-0.000000j)
 (2.035590+0.000000j), (0.485632+0.000000j), (0.459579+0.000000j), (-0.714140+0.000000j)
 (2.036840+0.000000j), (-0.102053-0.000000j), (-0.042055-0.000000j), (-0.163272-0.000000j)
 (2.038090+0.000000j), (-0.776059+0.000000j), (-0.900946+0.000000j), (0.926528+0.000000j)
 (2.039350+0.000000j), (-0.382324-0.000000j), (0.030697-0.000000j), (0.169335+0.000000j)
 (2.040600+0.000000j), (-0.347641+0.000000j), (1.252938+0.000000j), (0.078107-0.000000j)
 (2.041850+0.000000j), (-0.220817-0.000000j), (0.237925-0.000000j), (-0.136327+0.000000j)
 (2.043100+0.000000j), (-0.469967+0.000000j), (-0.862379-0.000000j), (0.263642+0.000000j)
 (2.044350+0.000000j), (0.234016-0.000000j), (-0.213211+0.000000j), (-0.795474-0.000000j)
 (2.045610+0.000000j), (1.567749-0.000000j), (-0.092450-0.000000j), (-2.522990+0.000000j)
 (2.046860+0.000000j), (0.601361-0.000000j), (0.326182+0.000000j), (-1.643196+0.000000j)
 (2.048110+0.000000j), (-0.076685+0.000000j), (1.074331+0.000000j), (-2.259949-0.000000j)
 (2.049360+0.000000j), (0.132613+0.000000j), (0.692506-0.000000j), (-0.616656-0.000000j)
 (2.050610+0.000000j), (0.337636-0.000000j), (0.641047+0.000000j), (2.216069+0.000000j)
 (2.051870+0.000000j), (0.264460+0.000000j), (0.658904-0.000000j), (-0.049457-0.000000j)
 (2.053120+0.000000j), (0.351433-0.000000j), (1.617492+0.000000j), (-3.583080+0.000000j)
 (2.054370+0.000000j), (0.191683+0.000000j), (0.072988-0.000000j), (-0.661013+0.000000j)
 (2.055620+0.000000j), (-0.061925-0.000000j), (-2.741183-0.000000j), (3.453989-0.000000j)
 (2.056870+0.000000j), (0.189974+0.000000j), (-0.745188+0.000000j), (1.342526-0.000000j)
 (2.058130+0.000000j), (0.720997-0.000000j), (2.024983-0.000000j), (-0.403010+0.000000j)
 (2.059380+0.000000j), (0.400827-0.000000j), (0.164159-0.000000j), (-0.009099-0.000000j)
 (2.060630+0.000000j), (0.430086+0.000000j), (-2.997340+0.000000j), (0.783371-0.000000j)
 (2.061880+0.000000j), (-0.125655-0.000000j), (-1.103206-0.000000j), (0.192922-0.000000j)
 (2.063130+0.000000j), (-1.524824+0.000000j), (1.061167-0.000000j), (-0.200041-0.000000j)
 (2.064380+0.000000j), (-0.429975-0.000000j), (0.581259+0.000000j), (-0.860385+0.000000j)
 (2.065640+0.000000j), (1.001594-0.000000j), (0.422640-0.000000j), (-3.963764+0.000000j)
 (2.066890+0.000000j), (0.807935+0.000000j), (-0.089041+0.000000j), (-0.187716-0.000000j)
 (2.068140+0.000000j), (1.561166+0.000000j), (-1.509708+0.000000j), (7.529255-0.000000j)
 (2.069390+0.000000j), (0.163290+0.000000j), (-0.442898-0.000000j), (3.474461-0.000000j)
 (2.070640+0.000000j), (-2.897400-0.000000j), (0.926589+0.000000j), (-0.604619+0.000000j)
 (2.071900+0.000000j), (-1.074703-0.000000j), (0.844003-0.000000j), (-1.737908-0.000000j)
 (2.073150+0.000000j), (1.571827-0.000000j), (0.989333-0.000000j), (-5.176763+0.000000j)
 (2.074400+0.000000j), (1.290010+0.000000j), (0.682080+0.000000j), (-2.872888-0.000000j)
 (2.075650+0.000000j), (1.355023+0.000000j), (-0.169561-0.000000j), (0.297391+0.000000j)
 (2.076900+0.000000j), (0.956241+0.000000j), (0.599619+0.000000j), (0.001071-0.000000j)
 (2.078160+0.000000j), (0.676385-0.000000j), (2.212755-0.000000j), (-0.615379+0.000000j)
 (2.079410+0.000000j), (0.498439+0.000000j), (1.823591-0.000000j), (-0.406985+0.000000j)
 (2.080660+0.000000j), (0.309760+0.000000j), (1.670583+0.000000j), (0.420652-0.000000j)
 (2.081910+0.000000j), (0.353379-0.000000j), (1.197122+0.000000j), (-0.080313+0.000000j)
 (2.083160+0.000000j), (0.660589+0.000000j), (0.696904-0.000000j), (-0.829816-0.000000j)
 (2.084420+0.000000j), (0.431368+0.000000j), (0.400133-0.000000j), (-1.110513+0.000000j)
 (2.085670+0.000000j), (0.000518-0.000000j), (-0.383982-0.000000j), (-2.347969+0.000000j)
 (2.086920+0.000000j), (0.121049+0.000000j), (0.065618+0.000000j), (-1.332297-0.000000j)
 (2.088170+0.000000j), (0.661459-0.000000j), (1.261472-0.000000j), (0.431245+0.000000j)
 (2.089420+0.000000j), (0.364404-0.000000j), (0.822974+0.000000j), (0.834601-0.000000j)
 (2.090670+0.000000j), (-0.271224+0.000000j), (-0.252562-0.000000j), (1.925962+0.000000j)
 (2.091930+0.000000j), (-0.235358-0.000000j), (-0.225950+0.000000j), (1.353245+0.000000j)
 (2.093180+0.000000j), (-0.008824-0.000000j), (-0.012047-0.000000j), (0.036918+0.000000j)
 (2.094430+0.000000j), (-0.011236+0.000000j), (-0.054123+0.000000j), (0.353031-0.000000j)
 (2.095680+0.000000j), (0.022052-0.000000j), (-0.303077-0.000000j), (1.822518+0.000000j)
 (2.096930+0.000000j), (-0.065950+0.000000j), (-0.282089-0.000000j), (1.539515-0.000000j)
 (2.098190+0.000000j), (-0.300435-0.000000j), (-0.328491+0.000000j), (1.075964-0.000000j)
 (2.099440+0.000000j), (-0.230486+0.000000j), (-0.267864-0.000000j), (0.654493+0.000000j)
 (2.100690+0.000000j), (-0.051469-0.000000j), (-0.361578+0.000000j), (0.115448+0.000000j)
 (2.101940+0.000000j), (0.151174+0.000000j), (-0.118581-0.000000j), (-0.091424-0.000000j)
 (2.103190+0.000000j), (0.920602+0.000000j), (0.575122-0.000000j), (-0.265588-0.000000j)
 (2.104450+0.000000j), (0.643051-0.000000j), (0.400499+0.000000j), (-0.307694+0.000000j)
 (2.105700+0.000000j), (-0.153450-0.000000j), (-0.562901+0.000000j), (-0.310863+0.000000j)
 (2.106950+0.000000j), (-0.428544+0.000000j), (-0.387156-0.000000j), (-0.267968+0.000000j)
 (2.108200+0.000000j), (-0.891879+0.000000j), (0.508160-0.000000j), (-0.411551+0.000000j)
 (2.109450+0.000000j), (-0.677820-0.000000j), (0.517549+0.000000j), (0.188501-0.000000j)
 (2.110710+0.000000j), (0.534486+0.000000j), (0.060042-0.000000j), (2.552226-0.000000j)
 (2.111960+0.000000j), (0.305890-0.000000j), (-0.041131+0.000000j), (2.249041+0.000000j)
 (2.113210+0.000000j), (-1.008473-0.000000j), (-0.310638-0.000000j), (0.381492-0.000000j)
 (2.114460+0.000000j), (-1.226076+0.000000j), (-0.152079+0.000000j), (-0.304338+0.000000j)
 (2.115710+0.000000j), (-1.274966-0.000000j), (0.501008+0.000000j), (-1.373148-0.000000j)
 (2.116960+0.000000j), (-0.859722+0.000000j), (0.553262-0.000000j), (-1.222617+0.000000j)
 (2.118220+0.000000j), (0.972194-0.000000j), (0.027574+0.000000j), (0.316445+0.000000j)
 (2.119470+0.000000j), (0.945126+0.000000j), (0.162428-0.000000j), (0.809857-0.000000j)
 (2.120720+0.000000j), (-0.611294+0.000000j), (1.079277-0.000000j), (1.692578+0.000000j)
 (2.121970+0.000000j), (-1.011083-0.000000j), (1.047369+0.000000j), (1.623273-0.000000j)
 (2.123220+0.000000j), (-1.163539+0.000000j), (-0.125180-0.000000j), (0.533760-0.000000j)
 (2.124480+0.000000j), (-1.106987-0.000000j), (-0.189952+0.000000j), (0.258591+0.000000j)
 (2.125730+0.000000j), (-0.458634+0.000000j), (0.751190-0.000000j), (0.641915-0.000000j)
 (2.126980+0.000000j), (-0.140148-0.000000j), (0.832453+0.000000j), (0.366210-0.000000j)
 (2.128230+0.000000j), (0.753057+0.000000j), (0.149040-0.000000j), (-0.924716+0.000000j)
 (2.129480+0.000000j), (0.675680-0.000000j), (-0.099322+0.000000j), (-1.067004-0.000000j)
 (2.130740+0.000000j), (-1.123340+0.000000j), (-0.497955-0.000000j), (0.605208-0.000000j)
 (2.131990+0.000000j), (-1.461612+0.000000j), (-0.573098+0.000000j), (0.863459+0.000000j)
 (2.133240+0.000000j), (-0.220776+0.000000j), (-0.090234+0.000000j), (0.172976+0.000000j)
 (2.134490+0.000000j), (-0.013707-0.000000j), (-0.035063-0.000000j), (-0.118411+0.000000j)
 (2.135740+0.000000j), (-0.507792-0.000000j), (-0.505796+0.000000j), (-0.451288-0.000000j)
 (2.137000+0.000000j), (-0.578104+0.000000j), (-0.576846+0.000000j), (-0.643961+0.000000j)
 (2.138250+0.000000j), (-0.111005-0.000000j), (-0.101441-0.000000j), (-0.314408-0.000000j)
 (2.139500+0.000000j), (0.048057-0.000000j), (-0.051022+0.000000j), (-0.349958+0.000000j)
 (2.140750+0.000000j), (0.245659+0.000000j), (-0.722935-0.000000j), (-0.513541-0.000000j)
 (2.142000+0.000000j), (0.220741-0.000000j), (-0.959846-0.000000j), (-0.652365+0.000000j)
 (2.143250+0.000000j), (-0.643532-0.000000j), (-0.893854+0.000000j), (-0.569877+0.000000j)
 (2.144510+0.000000j), (-0.929145+0.000000j), (-0.829361-0.000000j), (-0.615017-0.000000j)
 (2.145760+0.000000j), (-0.162577-0.000000j), (0.026194+0.000000j), (-0.338719+0.000000j)
 (2.147010+0.000000j), (0.012364+0.000000j), (0.352137-0.000000j), (-0.350975-0.000000j)
 (2.148260+0.000000j), (-0.233615-0.000000j), (-0.209789-0.000000j), (-0.746178+0.000000j)
 (2.149510+0.000000j), (-0.330707+0.000000j), (-0.241596+0.000000j), (-0.921457-0.000000j)
 (2.150770+0.000000j), (-0.286444-0.000000j), (0.602731+0.000000j), (-0.177700+0.000000j)
 (2.152020+0.000000j), (-0.267048+0.000000j), (0.914446-0.000000j), (-0.050467-0.000000j)
 (2.153270+0.000000j), (0.372889-0.000000j), (-0.485520+0.000000j), (-1.106127+0.000000j)
 (2.154520+0.000000j), (0.680560+0.000000j), (-0.956311-0.000000j), (-1.639338-0.000000j)
 (2.155770+0.000000j), (0.564883-0.000000j), (0.236148+0.000000j), (-0.977031-0.000000j)
 (2.157030+0.000000j), (0.631162+0.000000j), (0.729529+0.000000j), (-0.898814-0.000000j)
 (2.158280+0.000000j), (0.587676+0.000000j), (0.533826-0.000000j), (-0.444408+0.000000j)
 (2.159530+0.000000j), (0.592858+0.000000j), (0.608630+0.000000j), (-0.315710+0.000000j)
 (2.160780+0.000000j), (0.175444+0.000000j), (-0.276345-0.000000j), (-0.920377-0.000000j)
 (2.162030+0.000000j), (-0.029957-0.000000j), (-0.688921+0.000000j), (-1.344943+0.000000j)
 (2.163280+0.000000j), (0.650471-0.000000j), (-0.139056+0.000000j), (-1.109400+0.000000j)
 (2.164540+0.000000j), (0.992198+0.000000j), (0.022217-0.000000j), (-1.199222-0.000000j)
 (2.165790+0.000000j), (0.646676-0.000000j), (-0.423985+0.000000j), (0.875051-0.000000j)
 (2.167040+0.000000j), (0.593573+0.000000j), (-0.665070-0.000000j), (2.104697+0.000000j)
 (2.168290+0.000000j), (0.198719-0.000000j), (-0.364572+0.000000j), (0.229666-0.000000j)
 (2.169540+0.000000j), (-0.075009+0.000000j), (-0.292666-0.000000j), (-0.464769+0.000000j)
 (2.170800+0.000000j), (0.046642+0.000000j), (-0.300760+0.000000j), (-0.210178-0.000000j)
 (2.172050+0.000000j), (-0.043929-0.000000j), (-0.309715-0.000000j), (-0.376272-0.000000j)
 (2.173300+0.000000j), (-0.150679+0.000000j), (-0.291211-0.000000j), (-0.231140-0.000000j)
 (2.174550+0.000000j), (-0.375921-0.000000j), (-0.292719+0.000000j), (-0.365882+0.000000j)
 (2.175800+0.000000j), (0.318409+0.000000j), (0.431291-0.000000j), (0.141797-0.000000j)
 (2.177060+0.000000j), (0.698846-0.000000j), (1.105648+0.000000j), (0.346352+0.000000j)
 (2.178310+0.000000j), (0.372962+0.000000j), (-0.320983-0.000000j), (1.012726+0.000000j)
 (2.179560+0.000000j), (0.283773+0.000000j), (-1.117784+0.000000j), (1.728044-0.000000j)
 (2.180810+0.000000j), (0.489320-0.000000j), (-0.422772+0.000000j), (0.659414-0.000000j)
 (2.182060+0.000000j), (0.656436+0.000000j), (-0.291329+0.000000j), (0.187536+0.000000j)
 (2.183320+0.000000j), (0.565535+0.000000j), (-0.289785-0.000000j), (0.540103-0.000000j)
 (2.184570+0.000000j), (0.644157-0.000000j), (-0.318563+0.000000j), (0.614447+0.000000j)
 (2.185820+0.000000j), (0.558667+0.000000j), (0.200407-0.000000j), (0.610755-0.000000j)
 (2.187070+0.000000j), (0.657984-0.000000j), (0.806502+0.000000j), (0.601043+0.000000j)
 (2.188320+0.000000j), (0.073308+0.000000j), (-0.495116-0.000000j), (1.375778+0.000000j)
 (2.189570+0.000000j), (-0.471016-0.000000j), (-1.535814+0.000000j), (2.542262+0.000000j)
 (2.190830+0.000000j), (-0.166993+0.000000j), (-0.492986+0.000000j), (0.082181-0.000000j)
 (2.192080+0.000000j), (-0.442387-0.000000j), (-0.324033-0.000000j), (-1.749626-0.000000j)
 (2.193330+0.000000j), (0.705675+0.000000j), (0.079726+0.000000j), (-0.106558-0.000000j)
 (2.194580+0.000000j), (1.914518-0.000000j), (0.328010-0.000000j), (0.417617+0.000000j)
 (2.195830+0.000000j), (0.485666+0.000000j), (1.033916-0.000000j), (-0.174044-0.000000j)
 (2.197090+0.000000j), (-0.137360-0.000000j), (2.217247+0.000000j), (-0.852386+0.000000j)
 (2.198340+0.000000j), (0.054147+0.000000j), (1.469088-0.000000j), (0.015375-0.000000j)
 (2.199590+0.000000j), (-0.010144+0.000000j), (2.204709-0.000000j), (0.373980-0.000000j)
 (2.200840+0.000000j), (-0.374365-0.000000j), (0.370608+0.000000j), (0.163231+0.000000j)
 (2.202090+0.000000j), (-1.261227+0.000000j), (-0.960181-0.000000j), (-0.140541-0.000000j)
 (2.203350+0.000000j), (0.250608-0.000000j), (-0.386136+0.000000j), (0.520433+0.000000j)
 (2.204600+0.000000j), (1.710785-0.000000j), (-0.792635+0.000000j), (1.047721+0.000000j)
 (2.205850+0.000000j), (-0.008003+0.000000j), (-0.198742-0.000000j), (0.934748-0.000000j)
 (2.207100+0.000000j), (-1.334402-0.000000j), (0.053295+0.000000j), (1.411851+0.000000j)
 (2.208350+0.000000j), (-0.129128-0.000000j), (-0.117956-0.000000j), (0.799826-0.000000j)
 (2.209610+0.000000j), (0.450413+0.000000j), (-0.467242+0.000000j), (0.568199+0.000000j)
 (2.210860+0.000000j), (0.200403-0.000000j), (0.272663-0.000000j), (0.599566-0.000000j)
 (2.212110+0.000000j), (0.418775+0.000000j), (1.271708+0.000000j), (0.633979+0.000000j)
 (2.213360+0.000000j), (-0.018989-0.000000j), (0.206164-0.000000j), (0.549820-0.000000j)
 (2.214610+0.000000j), (-0.420290-0.000000j), (-0.529648-0.000000j), (0.709209+0.000000j)
 (2.215860+0.000000j), (-0.217169+0.000000j), (0.048725+0.000000j), (0.282206+0.000000j)
 (2.217120+0.000000j), (-0.392752+0.000000j), (0.437217-0.000000j), (-0.080552-0.000000j)
