 (0.092641+0.000000j), (1.750413+0.000000j), (0.343829-0.000000j), (-0.240141-0.000000j)
 (0.093893+0.000000j), (0.147467-0.000000j), (0.211521-0.000000j), (-0.117364+0.000000j)
 (0.095145+0.000000j), (-1.402817-0.000000j), (-0.101356+0.000000j), (0.813379-0.000000j)
 (0.096396+0.000000j), (-0.630365+0.000000j), (0.295205-0.000000j), (0.496592+0.000000j)
 (0.097648+0.000000j), (0.926344+0.000000j), (1.078329+0.000000j), (1.119246-0.000000j)
 (0.098900+0.000000j), (0.071774-0.000000j), (0.526880+0.000000j), (0.773893+0.000000j)
 (0.100152+0.000000j), (-0.170408-0.000000j), (-0.003988+0.000000j), (1.487563+0.000000j)
 (0.101404+0.000000j), (-0.447233-0.000000j), (-0.107283-0.000000j), (0.820343+0.000000j)
 (0.102656+0.000000j), (-0.108305-0.000000j), (-0.806738+0.000000j), (0.696147-0.000000j)
 (0.103908+0.000000j), (-0.694671+0.000000j), (-0.140606+0.000000j), (0.660952+0.000000j)
 (0.105160+0.000000j), (-1.194256+0.000000j), (0.637366-0.000000j), (1.375712-0.000000j)
 (0.106412+0.000000j), (-1.158332-0.000000j), (0.551008+0.000000j), (1.152503-0.000000j)
 (0.107663+0.000000j), (-0.821395+0.000000j), (0.678913-0.000000j), (2.141548+0.000000j)
 (0.108915+0.000000j), (-1.097881-0.000000j), (0.416545-0.000000j), (1.328162+0.000000j)
 (0.110167+0.000000j), (-1.619789+0.000000j), (-0.065631+0.000000j), (1.544452+0.000000j)
 (0.111419+0.000000j), (-1.072635+0.000000j), (0.237963-0.000000j), (0.573042-0.000000j)
 (0.112671+0.000000j), (0.063993-0.000000j), (1.051292+0.000000j), (-0.182648+0.000000j)
 (0.113923+0.000000j), (0.012202-0.000000j), (0.480235-0.000000j), (-0.435767-0.000000j)
 (0.115175+0.000000j), (0.831145+0.000000j), (-0.222706+0.000000j), (-0.616151+0.000000j)
 (0.116427+0.000000j), (0.151116-0.000000j), (-0.611495+0.000000j), (-0.360740+0.000000j)
 (0.117679+0.000000j), (-0.586197+0.000000j), (-2.075715+0.000000j), (0.755088-0.000000j)
 (0.118931+0.000000j), (-0.352129+0.000000j), (-1.057813-0.000000j), (0.388055+0.000000j)
 (0.120182+0.000000j), (0.713531-0.000000j), (0.594974+0.000000j), (0.894013-0.000000j)
 (0.121434+0.000000j), (0.404660+0.000000j), (0.366706+0.000000j), (0.018573-0.000000j)
 (0.122686+0.000000j), (0.400193+0.000000j), (-0.340854-0.000000j), (-0.699092+0.000000j)
 (0.123938+0.000000j), (0.317736-0.000000j), (-0.073117+0.000000j), (-1.252284+0.000000j)
 (0.125190+0.000000j), (1.075466+0.000000j), (0.636780-0.000000j), (-2.151817-0.000000j)
 (0.126442+0.000000j), (0.591792-0.000000j), (0.410536+0.000000j), (-1.752030+0.000000j)
 (0.127694+0.000000j), (0.514965+0.000000j), (0.093691-0.000000j), (-0.630402+0.000000j)
 (0.128946+0.000000j), (-0.075898+0.000000j), (-0.260128+0.000000j), (-0.557948+0.000000j)
 (0.130198+0.000000j), (-0.836040-0.000000j), (-1.257237+0.000000j), (0.119241+0.000000j)
 (0.131450+0.000000j), (-0.758825-0.000000j), (-0.939220+0.000000j), (-0.288586-0.000000j)
 (0.132702+0.000000j), (0.027939+0.000000j), (-0.410701-0.000000j), (-0.842006+0.000000j)
 (0.133953+0.000000j), (-0.078314+0.000000j), (-0.161314+0.000000j), (-0.754024-0.000000j)
 (0.135205+0.000000j), (0.081943-0.000000j), (0.320018-0.000000j), (-0.034135+0.000000j)
 (0.136457+0.000000j), (-0.077187+0.000000j), (0.059536-0.000000j), (0.173425-0.000000j)
 (0.137709+0.000000j), (0.060701-0.000000j), (-0.880685+0.000000j), (1.239041+0.000000j)
 (0.138961+0.000000j), (0.023433+0.000000j), (-0.791250-0.000000j), (1.165183-0.000000j)
 (0.140213+0.000000j), (0.701388+0.000000j), (-0.730523+0.000000j), (2.034383-0.000000j)
 (0.141465+0.000000j), (0.330025-0.000000j), (-0.284390+0.000000j), (1.225060+0.000000j)
 (0.142717+0.000000j), (-0.142063+0.000000j), (0.828538-0.000000j), (0.031313-0.000000j)
 (0.143969+0.000000j), (-0.420178-0.000000j), (0.698082-0.000000j), (-0.592615+0.000000j)
 (0.145221+0.000000j), (-0.584130+0.000000j), (-0.231017+0.000000j), (-1.087307-0.000000j)
 (0.146472+0.000000j), (-0.352212-0.000000j), (-0.201411-0.000000j), (-1.080890+0.000000j)
 (0.147724+0.000000j), (1.159792-0.000000j), (0.264830+0.000000j), (-0.024059-0.000000j)
 (0.148976+0.000000j), (0.977676+0.000000j), (0.208013-0.000000j), (-0.076183+0.000000j)
 (0.150228+0.000000j), (0.499107+0.000000j), (-0.245028+0.000000j), (0.092956-0.000000j)
 (0.151480+0.000000j), (0.110052-0.000000j), (-0.338266-0.000000j), (-0.099389-0.000000j)
 (0.152732+0.000000j), (-0.183958+0.000000j), (-0.623333-0.000000j), (0.107879-0.000000j)
 (0.153984+0.000000j), (-0.247261-0.000000j), (-0.415688+0.000000j), (-0.145478-0.000000j)
 (0.155236+0.000000j), (0.588333-0.000000j), (0.507334-0.000000j), (-0.172910+0.000000j)
 (0.156488+0.000000j), (0.495547+0.000000j), (0.370437+0.000000j), (-0.398337+0.000000j)
 (0.157740+0.000000j), (0.424375-0.000000j), (-1.030457-0.000000j), (-0.221053-0.000000j)
 (0.158991+0.000000j), (0.174530-0.000000j), (-1.092011-0.000000j), (-0.344210+0.000000j)
 (0.160243+0.000000j), (0.114573-0.000000j), (-0.465147+0.000000j), (0.037433+0.000000j)
 (0.161495+0.000000j), (-0.050131+0.000000j), (-0.105660-0.000000j), (-0.036510-0.000000j)
 (0.162747+0.000000j), (0.358477-0.000000j), (0.754855+0.000000j), (0.344089+0.000000j)
 (0.163999+0.000000j), (0.125664-0.000000j), (0.723964-0.000000j), (0.222369+0.000000j)
 (0.165251+0.000000j), (-0.427866+0.000000j), (-0.658659-0.000000j), (0.396669+0.000000j)
 (0.166503+0.000000j), (-0.525545+0.000000j), (-0.913119-0.000000j), (0.173410-0.000000j)
 (0.167755+0.000000j), (0.763242+0.000000j), (-0.665471+0.000000j), (0.147812+0.000000j)
 (0.169007+0.000000j), (0.756115-0.000000j), (-0.485356-0.000000j), (-0.139827+0.000000j)
 (0.170259+0.000000j), (-0.057411-0.000000j), (0.145983+0.000000j), (-0.152781-0.000000j)
 (0.171510+0.000000j), (-0.322594+0.000000j), (0.257384-0.000000j), (-0.410492+0.000000j)
 (0.172762+0.000000j), (0.543383-0.000000j), (-0.466017+0.000000j), (-0.199260-0.000000j)
 (0.174014+0.000000j), (0.451891-0.000000j), (-0.627079+0.000000j), (-0.424693+0.000000j)
 (0.175266+0.000000j), (-0.330210+0.000000j), (-0.615644-0.000000j), (-0.469144-0.000000j)
 (0.176518+0.000000j), (-0.621240-0.000000j), (-0.515339-0.000000j), (-0.623434+0.000000j)
 (0.177770+0.000000j), (0.465286-0.000000j), (0.120231+0.000000j), (0.211893+0.000000j)
 (0.179022+0.000000j), (0.487675+0.000000j), (0.266197-0.000000j), (0.242795-0.000000j)
 (0.180274+0.000000j), (-0.296757-0.000000j), (-0.706760-0.000000j), (0.126597-0.000000j)
 (0.181526+0.000000j), (-0.740756+0.000000j), (-0.784042+0.000000j), (-0.089524+0.000000j)
 (0.182778+0.000000j), (-0.512405+0.000000j), (0.740080-0.000000j), (0.080374+0.000000j)
 (0.184029+0.000000j), (-0.624012-0.000000j), (1.322454+0.000000j), (-0.057073+0.000000j)
 (0.185281+0.000000j), (0.168224-0.000000j), (0.663046+0.000000j), (0.302476+0.000000j)
 (0.186533+0.000000j), (0.256436+0.000000j), (0.599207-0.000000j), (0.291605-0.000000j)
