"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
7.329314300E-2,-1.004415303E-1,-2.188706398E-2,2.045984268E-1,2.289717468E-1
7.837366400E-2,-6.630165875E-2,-2.896593511E-2,1.348829269E-1,1.530631874E-1
8.346861200E-2,-2.622050047E-2,-1.802240312E-2,8.473110199E-2,9.050790741E-2
8.856861200E-2,-3.323519230E-2,-2.130790055E-2,7.423114777E-2,8.407655994E-2
9.366861200E-2,-4.864832759E-2,-6.559625268E-3,1.184387207E-1,1.282084982E-1
9.876861200E-2,-6.331510842E-2,-6.180763245E-3,1.604127884E-1,1.725667044E-1
1.038686120E-1,-6.859958172E-2,-5.798444152E-3,1.690034866E-1,1.824875422E-1
1.089189770E-1,-5.603420734E-2,-1.455211639E-2,1.460504532E-1,1.571061150E-1
1.139396540E-1,-4.425188899E-2,-2.293762565E-2,1.066102982E-1,1.176865329E-1
1.189603310E-1,-3.758400679E-2,-1.737044752E-2,6.943607330E-2,8.084341834E-2
1.239809560E-1,-4.025158286E-2,-1.667232811E-2,7.980823517E-2,9.092585357E-2
1.290015810E-1,-5.655217171E-2,-1.152254641E-2,7.617568970E-2,9.557014650E-2
1.340222060E-1,-8.147031814E-2,-2.026155591E-2,8.660125732E-2,1.206139343E-1
1.390428310E-1,-5.976450443E-2,-1.490820944E-2,9.216976166E-2,1.108571859E-1
1.440634560E-1,-5.751784891E-2,-1.434208453E-2,8.388710022E-2,1.027182745E-1
1.490840810E-1,-4.163714498E-2,-2.768327296E-2,7.605648041E-2,9.101979815E-2
1.541047060E-1,-3.096816689E-2,-1.751665771E-2,9.168338776E-2,9.834482319E-2
1.591253310E-1,-2.985753864E-2,-7.687211037E-3,9.764289856E-2,1.023948312E-1
1.641459560E-1,-1.957603544E-2,1.743912697E-3,1.035213470E-1,1.053704498E-1
1.691665810E-1,-1.434026659E-2,-3.024205565E-3,8.155441284E-2,8.286079482E-2
1.741872060E-1,-2.792561054E-2,-7.641896605E-3,7.892322540E-2,8.406612764E-2
1.792078310E-1,-2.251017094E-2,1.793026924E-3,6.254100800E-2,6.649285993E-2
1.842284560E-1,-2.187377959E-2,1.094378531E-2,2.814197540E-2,3.728537850E-2
1.892490810E-1,-3.521817178E-2,-8.049443364E-3,3.196048737E-2,4.823469617E-2
1.942697060E-1,-4.816130549E-2,-7.850125432E-3,4.500102997E-2,6.637942839E-2
1.992903310E-1,-3.285265714E-2,-2.633538842E-2,6.237125397E-2,7.525306031E-2
2.043109560E-1,-2.735091746E-2,-1.638695598E-2,6.534385681E-2,7.270780312E-2
2.093315810E-1,-2.206534147E-2,-2.050429583E-3,6.828689575E-2,7.179264368E-2
2.143522060E-1,-3.092747182E-2,-1.141107082E-2,6.187057495E-2,7.010484359E-2
2.193728310E-1,-3.025101870E-2,-1.587651670E-2,6.032371521E-2,6.932631919E-2
2.243934560E-1,-1.554441452E-2,-2.496534586E-2,6.352233887E-2,6.999989180E-2
