 (0.223187+0.000000j)  (35.416329-0.000000j)  (-26.134800-0.000000j)  (37.368053+0.000000j)
 (0.225640+0.000000j)  (35.467259-0.000000j)  (-26.144674+0.000000j)  (37.401535+0.000000j)
 (0.228092+0.000000j)  (35.518022-0.000000j)  (-26.154445-0.000000j)  (37.434886+0.000000j)
 (0.230545+0.000000j)  (35.568618-0.000000j)  (-26.164110+0.000000j)  (37.468100-0.000000j)
 (0.232997+0.000000j)  (35.619048+0.000000j)  (-26.173671-0.000000j)  (37.501173+0.000000j)
 (0.235450+0.000000j)  (35.669310-0.000000j)  (-26.183126+0.000000j)  (37.534098+0.000000j)
 (0.237903+0.000000j)  (35.719404-0.000000j)  (-26.192474-0.000000j)  (37.566873+0.000000j)
 (0.240355+0.000000j)  (35.769330-0.000000j)  (-26.201713-0.000000j)  (37.599492+0.000000j)
 (0.242808+0.000000j)  (35.819086+0.000000j)  (-26.210842-0.000000j)  (37.631951+0.000000j)
 (0.245260+0.000000j)  (35.868673-0.000000j)  (-26.219858+0.000000j)  (37.664245+0.000000j)
 (0.247713+0.000000j)  (35.918092-0.000000j)  (-26.228762-0.000000j)  (37.696370-0.000000j)
 (0.250166+0.000000j)  (35.967341-0.000000j)  (-26.237551-0.000000j)  (37.728324+0.000000j)
 (0.252618+0.000000j)  (36.016421-0.000000j)  (-26.246228+0.000000j)  (37.760107-0.000000j)
 (0.255071+0.000000j)  (36.065331+0.000000j)  (-26.254792-0.000000j)  (37.791718+0.000000j)
 (0.257523+0.000000j)  (36.114071+0.000000j)  (-26.263244-0.000000j)  (37.823156+0.000000j)
 (0.259976+0.000000j)  (36.162643-0.000000j)  (-26.271585-0.000000j)  (37.854424+0.000000j)
 (0.262429+0.000000j)  (36.211047+0.000000j)  (-26.279815-0.000000j)  (37.885524+0.000000j)
 (0.264881+0.000000j)  (36.259285-0.000000j)  (-26.287936-0.000000j)  (37.916459+0.000000j)
 (0.267334+0.000000j)  (36.307357-0.000000j)  (-26.295949+0.000000j)  (37.947232-0.000000j)
 (0.269786+0.000000j)  (36.355264-0.000000j)  (-26.303855+0.000000j)  (37.977847+0.000000j)
 (0.272239+0.000000j)  (36.403006-0.000000j)  (-26.311655+0.000000j)  (38.008307+0.000000j)
 (0.274692+0.000000j)  (36.450583-0.000000j)  (-26.319350+0.000000j)  (38.038620+0.000000j)
 (0.277144+0.000000j)  (36.497995-0.000000j)  (-26.326941-0.000000j)  (38.068790+0.000000j)
 (0.279597+0.000000j)  (36.545244-0.000000j)  (-26.334427-0.000000j)  (38.098822+0.000000j)
 (0.282049+0.000000j)  (36.592328-0.000000j)  (-26.341809-0.000000j)  (38.128721+0.000000j)
 (0.284502+0.000000j)  (36.639248-0.000000j)  (-26.349086+0.000000j)  (38.158492+0.000000j)
 (0.286955+0.000000j)  (36.686005-0.000000j)  (-26.356258-0.000000j)  (38.188137+0.000000j)
 (0.289407+0.000000j)  (36.732599-0.000000j)  (-26.363325+0.000000j)  (38.217659+0.000000j)
 (0.291860+0.000000j)  (36.779029-0.000000j)  (-26.370289+0.000000j)  (38.247057-0.000000j)
 (0.294312+0.000000j)  (36.825295+0.000000j)  (-26.377149+0.000000j)  (38.276334+0.000000j)
 (0.296765+0.000000j)  (36.871397-0.000000j)  (-26.383906-0.000000j)  (38.305492+0.000000j)
 (0.299218+0.000000j)  (36.917333+0.000000j)  (-26.390558-0.000000j)  (38.334533+0.000000j)
 (0.301670+0.000000j)  (36.963103-0.000000j)  (-26.397105+0.000000j)  (38.363457+0.000000j)
 (0.304123+0.000000j)  (37.008707+0.000000j)  (-26.403548+0.000000j)  (38.392261+0.000000j)
 (0.306575+0.000000j)  (37.054143-0.000000j)  (-26.409887+0.000000j)  (38.420940+0.000000j)
 (0.309028+0.000000j)  (37.099411-0.000000j)  (-26.416125-0.000000j)  (38.449493+0.000000j)
 (0.311481+0.000000j)  (37.144511-0.000000j)  (-26.422264+0.000000j)  (38.477920+0.000000j)
 (0.313933+0.000000j)  (37.189443-0.000000j)  (-26.428300+0.000000j)  (38.506216+0.000000j)
 (0.316386+0.000000j)  (37.234205-0.000000j)  (-26.434234-0.000000j)  (38.534379+0.000000j)
 (0.318839+0.000000j)  (37.278799-0.000000j)  (-26.440062+0.000000j)  (38.562405-0.000000j)
 (0.321291+0.000000j)  (37.323224-0.000000j)  (-26.445783-0.000000j)  (38.590288+0.000000j)
 (0.323744+0.000000j)  (37.367480-0.000000j)  (-26.451396-0.000000j)  (38.618027-0.000000j)
 (0.326196+0.000000j)  (37.411564+0.000000j)  (-26.456905-0.000000j)  (38.645618+0.000000j)
 (0.328649+0.000000j)  (37.455478-0.000000j)  (-26.462307+0.000000j)  (38.673059-0.000000j)
 (0.331102+0.000000j)  (37.499221-0.000000j)  (-26.467603-0.000000j)  (38.700350+0.000000j)
 (0.333554+0.000000j)  (37.542794-0.000000j)  (-26.472793-0.000000j)  (38.727488+0.000000j)
 (0.336007+0.000000j)  (37.586197-0.000000j)  (-26.477877-0.000000j)  (38.754471+0.000000j)
 (0.338459+0.000000j)  (37.629433-0.000000j)  (-26.482855+0.000000j)  (38.781298-0.000000j)
 (0.340912+0.000000j)  (37.672500-0.000000j)  (-26.487727-0.000000j)  (38.807968+0.000000j)
 (0.343365+0.000000j)  (37.715400-0.000000j)  (-26.492492-0.000000j)  (38.834481+0.000000j)
 (0.345817+0.000000j)  (37.758131-0.000000j)  (-26.497151+0.000000j)  (38.860839-0.000000j)
 (0.348270+0.000000j)  (37.800694-0.000000j)  (-26.501703-0.000000j)  (38.887043+0.000000j)
 (0.350722+0.000000j)  (37.843090-0.000000j)  (-26.506150+0.000000j)  (38.913097-0.000000j)
 (0.353175+0.000000j)  (37.885318+0.000000j)  (-26.510492-0.000000j)  (38.939003+0.000000j)
 (0.355628+0.000000j)  (37.927382-0.000000j)  (-26.514731-0.000000j)  (38.964760+0.000000j)
 (0.358080+0.000000j)  (37.969281+0.000000j)  (-26.518866-0.000000j)  (38.990372+0.000000j)
 (0.360533+0.000000j)  (38.011016-0.000000j)  (-26.522897+0.000000j)  (39.015840+0.000000j)
 (0.362985+0.000000j)  (38.052587-0.000000j)  (-26.526824+0.000000j)  (39.041169-0.000000j)
 (0.365438+0.000000j)  (38.093994-0.000000j)  (-26.530647+0.000000j)  (39.066360-0.000000j)
 (0.367891+0.000000j)  (38.135237-0.000000j)  (-26.534368-0.000000j)  (39.091416+0.000000j)
 (0.370343+0.000000j)  (38.176315-0.000000j)  (-26.537985+0.000000j)  (39.116341+0.000000j)
 (0.372796+0.000000j)  (38.217226-0.000000j)  (-26.541498-0.000000j)  (39.141136+0.000000j)
 (0.375248+0.000000j)  (38.257971-0.000000j)  (-26.544907-0.000000j)  (39.165804+0.000000j)
 (0.377701+0.000000j)  (38.298551+0.000000j)  (-26.548214+0.000000j)  (39.190346+0.000000j)
 (0.380154+0.000000j)  (38.338964-0.000000j)  (-26.551418-0.000000j)  (39.214761+0.000000j)
 (0.382606+0.000000j)  (38.379213-0.000000j)  (-26.554521+0.000000j)  (39.239050+0.000000j)
 (0.385059+0.000000j)  (38.419296-0.000000j)  (-26.557522+0.000000j)  (39.263210+0.000000j)
 (0.387511+0.000000j)  (38.459214-0.000000j)  (-26.560421+0.000000j)  (39.287240+0.000000j)
 (0.389964+0.000000j)  (38.498966-0.000000j)  (-26.563217-0.000000j)  (39.311140+0.000000j)
 (0.392417+0.000000j)  (38.538548-0.000000j)  (-26.565910+0.000000j)  (39.334911+0.000000j)
 (0.394869+0.000000j)  (38.577964+0.000000j)  (-26.568500-0.000000j)  (39.358550+0.000000j)
 (0.397322+0.000000j)  (38.617214-0.000000j)  (-26.570985+0.000000j)  (39.382056-0.000000j)
 (0.399774+0.000000j)  (38.656299-0.000000j)  (-26.573365+0.000000j)  (39.405426+0.000000j)
 (0.402227+0.000000j)  (38.695221+0.000000j)  (-26.575640-0.000000j)  (39.428656+0.000000j)
 (0.404680+0.000000j)  (38.733979-0.000000j)  (-26.577809+0.000000j)  (39.451744-0.000000j)
 (0.407132+0.000000j)  (38.772573+0.000000j)  (-26.579873-0.000000j)  (39.474688+0.000000j)
 (0.409585+0.000000j)  (38.811001-0.000000j)  (-26.581832+0.000000j)  (39.497489+0.000000j)
 (0.412037+0.000000j)  (38.849264-0.000000j)  (-26.583687+0.000000j)  (39.520146+0.000000j)
 (0.414490+0.000000j)  (38.887360-0.000000j)  (-26.585438-0.000000j)  (39.542657+0.000000j)
 (0.416943+0.000000j)  (38.925289-0.000000j)  (-26.587085+0.000000j)  (39.565022+0.000000j)
 (0.419395+0.000000j)  (38.963047-0.000000j)  (-26.588627+0.000000j)  (39.587239+0.000000j)
 (0.421848+0.000000j)  (39.000634-0.000000j)  (-26.590064-0.000000j)  (39.609308+0.000000j)
 (0.424300+0.000000j)  (39.038049-0.000000j)  (-26.591397+0.000000j)  (39.631228+0.000000j)
 (0.426753+0.000000j)  (39.075296+0.000000j)  (-26.592626-0.000000j)  (39.652999+0.000000j)
 (0.429206+0.000000j)  (39.112374-0.000000j)  (-26.593750+0.000000j)  (39.674621-0.000000j)
 (0.431658+0.000000j)  (39.149284+0.000000j)  (-26.594769-0.000000j)  (39.696096+0.000000j)
 (0.434111+0.000000j)  (39.186026-0.000000j)  (-26.595681-0.000000j)  (39.717422+0.000000j)
 (0.436564+0.000000j)  (39.222601+0.000000j)  (-26.596487+0.000000j)  (39.738600-0.000000j)
 (0.439016+0.000000j)  (39.259008+0.000000j)  (-26.597186-0.000000j)  (39.759631+0.000000j)
 (0.441469+0.000000j)  (39.295248-0.000000j)  (-26.597776+0.000000j)  (39.780516+0.000000j)
 (0.443921+0.000000j)  (39.331322+0.000000j)  (-26.598258-0.000000j)  (39.801259+0.000000j)
 (0.446374+0.000000j)  (39.367231-0.000000j)  (-26.598634-0.000000j)  (39.821863+0.000000j)
 (0.448827+0.000000j)  (39.402977-0.000000j)  (-26.598905+0.000000j)  (39.842329+0.000000j)
 (0.451279+0.000000j)  (39.438558+0.000000j)  (-26.599070-0.000000j)  (39.862659+0.000000j)
 (0.453732+0.000000j)  (39.473976-0.000000j)  (-26.599130-0.000000j)  (39.882852-0.000000j)
 (0.456184+0.000000j)  (39.509229-0.000000j)  (-26.599087-0.000000j)  (39.902909+0.000000j)
 (0.458637+0.000000j)  (39.544319-0.000000j)  (-26.598942-0.000000j)  (39.922829+0.000000j)
 (0.461090+0.000000j)  (39.579244-0.000000j)  (-26.598696+0.000000j)  (39.942615+0.000000j)
 (0.463542+0.000000j)  (39.614006-0.000000j)  (-26.598350-0.000000j)  (39.962267+0.000000j)
 (0.465995+0.000000j)  (39.648605-0.000000j)  (-26.597904+0.000000j)  (39.981787-0.000000j)
 (0.468447+0.000000j)  (39.683039+0.000000j)  (-26.597357-0.000000j)  (40.001175+0.000000j)
 (0.470900+0.000000j)  (39.717310-0.000000j)  (-26.596711+0.000000j)  (40.020433+0.000000j)
 (0.473353+0.000000j)  (39.751415-0.000000j)  (-26.595963+0.000000j)  (40.039562+0.000000j)
 (0.475805+0.000000j)  (39.785354+0.000000j)  (-26.595115+0.000000j)  (40.058561+0.000000j)
 (0.478258+0.000000j)  (39.819126-0.000000j)  (-26.594165+0.000000j)  (40.077429+0.000000j)
 (0.480710+0.000000j)  (39.852732+0.000000j)  (-26.593111-0.000000j)  (40.096162+0.000000j)
 (0.483163+0.000000j)  (39.886172-0.000000j)  (-26.591953-0.000000j)  (40.114762+0.000000j)
 (0.485616+0.000000j)  (39.919446-0.000000j)  (-26.590690+0.000000j)  (40.133226-0.000000j)
 (0.488068+0.000000j)  (39.952553-0.000000j)  (-26.589323+0.000000j)  (40.151555+0.000000j)
 (0.490521+0.000000j)  (39.985493+0.000000j)  (-26.587852+0.000000j)  (40.169746-0.000000j)
 (0.492973+0.000000j)  (40.018266-0.000000j)  (-26.586280+0.000000j)  (40.187800+0.000000j)
 (0.495426+0.000000j)  (40.050872-0.000000j)  (-26.584606-0.000000j)  (40.205715+0.000000j)
 (0.497879+0.000000j)  (40.083310-0.000000j)  (-26.582831+0.000000j)  (40.223491+0.000000j)
 (0.500331+0.000000j)  (40.115581-0.000000j)  (-26.580953+0.000000j)  (40.241127+0.000000j)
 (0.502784+0.000000j)  (40.147683-0.000000j)  (-26.578968+0.000000j)  (40.258620+0.000000j)
 (0.505236+0.000000j)  (40.179616+0.000000j)  (-26.576876-0.000000j)  (40.275970+0.000000j)
 (0.507689+0.000000j)  (40.211381-0.000000j)  (-26.574675-0.000000j)  (40.293175+0.000000j)
 (0.510142+0.000000j)  (40.242977-0.000000j)  (-26.572366+0.000000j)  (40.310237+0.000000j)
 (0.512594+0.000000j)  (40.274403-0.000000j)  (-26.569950-0.000000j)  (40.327155+0.000000j)
 (0.515047+0.000000j)  (40.305661+0.000000j)  (-26.567428-0.000000j)  (40.343930-0.000000j)
 (0.517499+0.000000j)  (40.336752+0.000000j)  (-26.564800-0.000000j)  (40.360561+0.000000j)
 (0.519952+0.000000j)  (40.367676-0.000000j)  (-26.562066+0.000000j)  (40.377048-0.000000j)
 (0.522405+0.000000j)  (40.398435-0.000000j)  (-26.559227+0.000000j)  (40.393392-0.000000j)
 (0.524857+0.000000j)  (40.429027+0.000000j)  (-26.556283-0.000000j)  (40.409592+0.000000j)
 (0.527310+0.000000j)  (40.459453-0.000000j)  (-26.553235+0.000000j)  (40.425648-0.000000j)
 (0.529762+0.000000j)  (40.489713+0.000000j)  (-26.550083+0.000000j)  (40.441559+0.000000j)
 (0.532215+0.000000j)  (40.519808-0.000000j)  (-26.546829-0.000000j)  (40.457327+0.000000j)
 (0.534668+0.000000j)  (40.549739+0.000000j)  (-26.543471+0.000000j)  (40.472953+0.000000j)
 (0.537120+0.000000j)  (40.579508-0.000000j)  (-26.540008-0.000000j)  (40.488439+0.000000j)
 (0.539573+0.000000j)  (40.609112-0.000000j)  (-26.536442+0.000000j)  (40.503784+0.000000j)
 (0.542025+0.000000j)  (40.638550-0.000000j)  (-26.532773+0.000000j)  (40.518991+0.000000j)
 (0.544478+0.000000j)  (40.667822-0.000000j)  (-26.529000-0.000000j)  (40.534058+0.000000j)
 (0.546931+0.000000j)  (40.696928-0.000000j)  (-26.525123-0.000000j)  (40.548987+0.000000j)
 (0.549383+0.000000j)  (40.725867-0.000000j)  (-26.521142+0.000000j)  (40.563779-0.000000j)
 (0.551836+0.000000j)  (40.754638-0.000000j)  (-26.517058-0.000000j)  (40.578435+0.000000j)
 (0.554289+0.000000j)  (40.783242+0.000000j)  (-26.512871-0.000000j)  (40.592958-0.000000j)
 (0.556741+0.000000j)  (40.811681-0.000000j)  (-26.508582-0.000000j)  (40.607348+0.000000j)
 (0.559194+0.000000j)  (40.839955-0.000000j)  (-26.504192+0.000000j)  (40.621605+0.000000j)
 (0.561646+0.000000j)  (40.868062+0.000000j)  (-26.499702-0.000000j)  (40.635729+0.000000j)
 (0.564099+0.000000j)  (40.896002-0.000000j)  (-26.495112+0.000000j)  (40.649722-0.000000j)
 (0.566552+0.000000j)  (40.923773+0.000000j)  (-26.490423-0.000000j)  (40.663582+0.000000j)
 (0.569004+0.000000j)  (40.951375-0.000000j)  (-26.485632+0.000000j)  (40.677311+0.000000j)
 (0.571457+0.000000j)  (40.978809-0.000000j)  (-26.480739+0.000000j)  (40.690904+0.000000j)
 (0.573909+0.000000j)  (41.006074-0.000000j)  (-26.475746-0.000000j)  (40.704361+0.000000j)
 (0.576362+0.000000j)  (41.033171-0.000000j)  (-26.470651+0.000000j)  (40.717679+0.000000j)
 (0.578815+0.000000j)  (41.060099+0.000000j)  (-26.465456-0.000000j)  (40.730858+0.000000j)
 (0.581267+0.000000j)  (41.086860+0.000000j)  (-26.460160-0.000000j)  (40.743896+0.000000j)
 (0.583720+0.000000j)  (41.113453-0.000000j)  (-26.454760-0.000000j)  (40.756793+0.000000j)
 (0.586172+0.000000j)  (41.139880-0.000000j)  (-26.449257-0.000000j)  (40.769550+0.000000j)
 (0.588625+0.000000j)  (41.166140-0.000000j)  (-26.443651+0.000000j)  (40.782167+0.000000j)
 (0.591078+0.000000j)  (41.192233-0.000000j)  (-26.437942+0.000000j)  (40.794643+0.000000j)
 (0.593530+0.000000j)  (41.218160+0.000000j)  (-26.432129-0.000000j)  (40.806977+0.000000j)
 (0.595983+0.000000j)  (41.243918-0.000000j)  (-26.426211-0.000000j)  (40.819168+0.000000j)
 (0.598435+0.000000j)  (41.269509+0.000000j)  (-26.420190-0.000000j)  (40.831216+0.000000j)
 (0.600888+0.000000j)  (41.294931-0.000000j)  (-26.414064+0.000000j)  (40.843123+0.000000j)
 (0.603341+0.000000j)  (41.320184+0.000000j)  (-26.407832-0.000000j)  (40.854887+0.000000j)
 (0.605793+0.000000j)  (41.345269-0.000000j)  (-26.401495+0.000000j)  (40.866509+0.000000j)
 (0.608246+0.000000j)  (41.370184+0.000000j)  (-26.395052-0.000000j)  (40.877990+0.000000j)
 (0.610698+0.000000j)  (41.394932-0.000000j)  (-26.388504-0.000000j)  (40.889330+0.000000j)
 (0.613151+0.000000j)  (41.419515-0.000000j)  (-26.381853+0.000000j)  (40.900529-0.000000j)
 (0.615604+0.000000j)  (41.443932+0.000000j)  (-26.375099+0.000000j)  (40.911586+0.000000j)
