t,x,y,z
0.192793,0.0904109,0.295474,9.7857
0.194045,0.0975464,0.293096,9.7857
0.195297,0.103129,0.296154,9.7857
0.196548,0.105507,0.310425,9.7857
0.1978,0.10416,0.319479,9.78496
0.199052,0.0946455,0.317101,9.78258
0.200304,0.0901285,0.313294,9.78305
0.201556,0.0972641,0.306159,9.79019
0.202808,0.100987,0.301753,9.79391
0.20406,0.0962301,0.304132,9.78916
0.205312,0.091473,0.305208,9.78961
0.206564,0.086716,0.30283,9.80388
0.207816,0.0819588,0.301071,9.81381
0.209067,0.0772013,0.301071,9.81143
0.210319,0.0748,0.302249,9.80905
0.211571,0.079559,0.307008,9.80667
0.212823,0.084318,0.311207,9.80485
0.214075,0.089077,0.313587,9.80485
0.215327,0.0927753,0.313315,9.80326
0.216579,0.0927753,0.303797,9.79612
0.217831,0.0932762,0.296783,9.78999
0.219083,0.0956558,0.299163,9.78761
0.220335,0.0966207,0.302957,9.78664
0.221586,0.0918616,0.312475,9.7914
0.222838,0.0888712,0.321109,9.79484
0.22409,0.0936302,0.325868,9.79246
0.225342,0.097151,0.329801,9.7909
0.226594,0.0947715,0.329801,9.79328
0.227846,0.0931585,0.330951,9.79719
0.229098,0.0955379,0.338089,9.80909
0.23035,0.0982709,0.343813,9.81568
0.231602,0.10303,0.341434,9.79189
0.232854,0.107141,0.339054,9.77198
0.234105,0.107141,0.336675,9.77674
0.235357,0.105965,0.335471,9.78179
0.236609,0.0964489,0.342608,9.78893
0.237861,0.0882505,0.349482,9.79449
0.239113,0.0906296,0.35424,9.78735
0.240365,0.092542,0.358532,9.78091
0.241617,0.090163,0.358532,9.78091
0.242869,0.0883927,0.359343,9.78051
0.244121,0.0931507,0.368859,9.77575
0.245373,0.0977361,0.37803,9.7722
0.246624,0.100115,0.382788,9.78409
0.247876,0.10221,0.38712,9.79528
0.249128,0.0998314,0.384741,9.79528
0.25038,0.0975637,0.382474,9.79517
0.251632,0.0975637,0.382474,9.79279
0.252884,0.0976441,0.382634,9.79041
0.254136,0.100023,0.387392,9.78803
0.255388,0.102402,0.392001,9.7857
0.25664,0.10478,0.389622,9.7857
0.257892,0.107196,0.387244,9.78574
0.259144,0.114332,0.384865,9.7905
0.260395,0.121468,0.382486,9.79525
0.261647,0.11914,0.391938,9.79764
0.262899,0.116761,0.401453,9.80002
0.264151,0.116717,0.408632,9.7954
0.265403,0.116717,0.415768,9.79064
0.266655,0.119021,0.418297,9.78819
0.267907,0.1214,0.420675,9.78581
0.269159,0.119233,0.425327,9.78797
0.270411,0.116854,0.430084,9.79035
0.271663,0.116717,0.4326,9.79722
0.272914,0.116717,0.434979,9.80435
0.274166,0.110082,0.430722,9.80928
0.275418,0.102944,0.425964,9.81404
0.27667,0.102352,0.427751,9.82098
0.277922,0.102352,0.43013,9.82811
0.279174,0.100201,0.426055,9.82449
0.280426,0.0978217,0.421297,9.81974
0.281678,0.0996849,0.414417,9.80861
0.28293,0.102064,0.40728,9.79672
0.284182,0.0981695,0.404324,9.79109
0.285433,0.093411,0.401945,9.78634
0.286685,0.0927753,0.40575,9.79807
0.287937,0.0927753,0.410509,9.81234
0.289189,0.0907438,0.40511,9.81443
0.290441,0.0883646,0.397972,9.81443
0.291693,0.0879869,0.404845,9.81043
0.292945,0.0879869,0.414361,9.80567
0.294197,0.0899582,0.410079,9.79894
0.295449,0.0923373,0.402942,9.7918
0.296701,0.100539,0.399686,9.78467
0.297952,0.110055,0.397307,9.77753
0.299204,0.106198,0.398749,9.7723
0.300456,0.0990613,0.401128,9.76755
0.301708,0.0956841,0.399748,9.76655
0.30296,0.0933054,0.397369,9.76655
0.304212,0.0890779,0.396839,9.7684
0.305464,0.0843205,0.396839,9.77077
0.306716,0.0868338,0.389568,9.77679
0.307968,0.0915912,0.380054,9.78392
0.30922,0.0909888,0.375899,9.7857
0.310471,0.0886101,0.37352,9.7857
0.311723,0.0862315,0.367631,9.78219
0.312975,0.0838529,0.360495,9.77743
0.314227,0.0831985,0.353359,9.77268
0.315479,0.0831985,0.346223,9.76792
0.316731,0.0831985,0.342473,9.76485
0.317983,0.0831985,0.340095,9.76248
0.319235,0.0831985,0.336054,9.76841
0.320487,0.0831985,0.331296,9.77792
0.321739,0.0848303,0.329801,9.78418
0.32299,0.0872094,0.329801,9.78893
0.324242,0.0831819,0.323395,9.78729
0.325494,0.0760444,0.313878,9.78253
0.326746,0.0720501,0.315362,9.78091
0.327998,0.069671,0.3225,9.78091
0.32925,0.0749993,0.323471,9.784
0.330502,0.0845159,0.321092,9.78875
0.331754,0.0910097,0.317202,9.792
0.333006,0.095768,0.312443,9.79438
0.334258,0.0975637,0.306204,9.7938
0.335509,0.0975637,0.299066,9.79142
0.336761,0.0961125,0.294831,9.78468
0.338013,0.0937333,0.292452,9.77517
0.339265,0.0927753,0.287231,9.77276
0.340517,0.0927753,0.280093,9.77514
0.341769,0.0913843,0.279911,9.78169
0.343021,0.0890051,0.284669,9.7912
0.344273,0.086626,0.281262,9.78847
0.345525,0.0842469,0.271746,9.77658
0.346777,0.0845292,0.260899,9.77799
0.348028,0.0869083,0.249003,9.78988
0.34928,0.0892873,0.241009,9.79398
0.350532,0.0916663,0.236251,9.7916
0.351784,0.0927753,0.231493,9.78922
0.353036,0.0927753,0.226735,9.78684
0.354288,0.0927753,0.225696,9.78942
0.35554,0.0927753,0.228075,9.79656
0.356792,0.0891487,0.230454,9.79886
0.358044,0.0820121,0.232833,9.79648
0.359296,0.077232,0.232855,9.79528
0.360547,0.0748532,0.230476,9.79528
0.361799,0.0770633,0.228098,9.79642
0.363051,0.0841993,0.225719,9.7988
0.364303,0.0902191,0.225573,9.79895
0.365555,0.0949762,0.227951,9.79657
