"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
4.048533950E-1,6.294365972E-3,7.195997238E-2,-2.787303925E-2,7.742585476E-2
4.098743330E-1,1.531962305E-2,9.477615356E-2,-3.693294525E-2,1.028652156E-1
4.148952700E-1,1.493838429E-2,1.173375845E-1,-4.587745667E-2,1.268700323E-1
4.199162080E-1,2.400222048E-2,1.208240986E-1,-4.527378082E-2,1.312413221E-1
4.249371450E-1,1.877398044E-2,1.149964333E-1,-4.470348358E-2,1.248000138E-1
4.299580830E-1,8.908767253E-3,1.235928535E-1,-5.361080170E-2,1.350136202E-1
4.349790200E-1,3.948297352E-3,1.227003336E-1,-5.296611786E-2,1.337025451E-1
4.399999580E-1,1.328502595E-2,1.314451694E-1,-4.763126373E-2,1.404388186E-1
4.450208950E-1,3.200341389E-2,1.308014393E-1,-4.239082336E-2,1.411744202E-1
4.500418330E-1,2.207028493E-2,1.208903790E-1,-5.142116547E-2,1.332130529E-1
4.550627700E-1,1.221688464E-2,1.206834316E-1,-4.144668579E-2,1.281856884E-1
4.600837080E-1,7.223319262E-3,1.111458540E-1,-2.688884735E-2,1.145800476E-1
4.651046450E-1,7.119316608E-3,9.239113331E-2,-7.799148560E-3,9.299264972E-2
4.701255830E-1,7.017701864E-3,9.290230274E-2,-1.260375977E-2,9.401564101E-2
4.751465200E-1,-2.587679774E-3,7.455253601E-2,6.294250488E-3,7.486250264E-2
4.801674580E-1,2.109076828E-3,5.653798580E-2,1.549339294E-2,5.866035517E-2
4.851883950E-1,-1.222147420E-2,4.358017445E-2,2.930641174E-2,5.392088469E-2
4.902093330E-1,-1.209144294E-2,4.034841061E-2,2.875328064E-2,5.099949390E-2
4.952302700E-1,-1.207805797E-2,2.296221256E-2,3.767681122E-2,4.574587188E-2
5.002512080E-1,-7.276374847E-3,3.886091709E-2,1.337528229E-2,4.173744942E-2
5.052721450E-1,-1.679418236E-2,4.521942139E-2,1.774501801E-2,5.139772656E-2
5.102930830E-1,-2.141062543E-2,4.677742720E-2,3.627300262E-2,6.294659082E-2
5.153140200E-1,-2.128421143E-2,5.321335793E-2,3.090763092E-2,6.511498112E-2
5.203349580E-1,-1.174699888E-2,6.910848618E-2,1.139259338E-2,7.101947640E-2
5.253558950E-1,-2.258155495E-3,8.499360085E-2,1.102256775E-2,8.573510629E-2
5.303768330E-1,1.180331036E-2,9.124463797E-2,-8.290290833E-3,9.237765431E-2
5.353977700E-1,1.160191372E-2,9.764593840E-2,-4.163169861E-2,1.067826391E-1
5.404187080E-1,2.082844451E-2,1.040423512E-1,-4.146480560E-2,1.139208719E-1
5.454396450E-1,3.001271188E-2,1.294922233E-1,-3.184318542E-2,1.366857243E-1
5.504605830E-1,2.489884570E-2,1.358917356E-1,-1.760005951E-2,1.392705224E-1
5.554815200E-1,1.031007618E-3,1.565624475E-1,-2.721214294E-2,1.589130696E-1
