 (0.087762+0.000000j)  (-558.125664-380.080134j)  (-583.675921+292.896006j)  (-2210.310699+677.682531j)
 (0.089016+0.000000j)  (327.820786-888.933500j)  (-306.853446-767.683957j)  (-945.758896-1908.160117j)
 (0.090270+0.000000j)  (920.042104+202.910723j)  (885.642205-176.089058j)  (1323.013233-853.268885j)
 (0.091524+0.000000j)  (-117.095159+669.125723j)  (79.152346+759.470779j)  (460.883359+639.304653j)
 (0.092777+0.000000j)  (-251.893574-168.252986j)  (-301.232742-68.256263j)  (-82.728143-90.851932j)
 (0.094031+0.000000j)  (400.523397+108.456403j)  (331.955380+176.501215j)  (514.453996+147.988830j)
 (0.095285+0.000000j)  (-167.498013+681.317311j)  (-313.811538+466.436391j)  (-155.378662+501.733103j)
 (0.096539+0.000000j)  (-744.190711+80.155438j)  (-215.816180-208.947568j)  (-117.439047-228.501967j)
 (0.097792+0.000000j)  (-334.561153-467.282839j)  (159.156373+223.109513j)  (429.043839+276.359996j)
 (0.099046+0.000000j)  (96.671244-290.738732j)  (-492.002380+214.263465j)  (-501.188524+570.751909j)
 (0.100300+0.000000j)  (7.733777-15.388394j)  (-248.610733-472.692130j)  (-640.075357-662.561677j)
 (0.101554+0.000000j)  (-153.624605-219.949414j)  (314.163783-261.168668j)  (724.977660-830.237534j)
 (0.102807+0.000000j)  (300.033301-326.481644j)  (313.133613+115.226981j)  (1075.600350+469.405856j)
 (0.104061+0.000000j)  (360.605170+383.848496j)  (67.468470+359.601939j)  (52.304027+1013.320802j)
 (0.105315+0.000000j)  (-515.040767+382.652720j)  (-341.430460+134.644509j)  (-501.524728+435.189205j)
 (0.106569+0.000000j)  (-439.209719-487.123460j)  (-82.362788-315.336756j)  (-428.815060+134.457511j)
 (0.107822+0.000000j)  (197.693783-330.102891j)  (288.736715-62.927866j)  (-549.313576-234.307495j)
 (0.109076+0.000000j)  (-72.502822-88.139616j)  (170.600601+157.797799j)  (107.848274-703.556549j)
 (0.110330+0.000000j)  (61.193166-502.452352j)  (89.934338+274.261299j)  (613.909477+92.041188j)
 (0.111584+0.000000j)  (579.998852-199.135727j)  (-282.116181+263.791008j)  (-222.816082+231.470350j)
 (0.112837+0.000000j)  (352.637367+284.698020j)  (-267.004655-278.971845j)  (279.388031-612.757791j)
 (0.114091+0.000000j)  (60.838380+267.381250j)  (297.203588-222.705945j)  (1102.320571+519.431471j)
 (0.115345+0.000000j)  (-118.455196+212.378301j)  (195.483818+222.893416j)  (-359.985512+1249.789792j)
 (0.116599+0.000000j)  (-239.323353-65.385892j)  (-68.831931+79.470843j)  (-902.614206-175.230526j)
 (0.117852+0.000000j)  (48.602648-272.617600j)  (127.054539-77.755803j)  (250.538072-503.424670j)
 (0.119106+0.000000j)  (304.522724-40.377017j)  (349.205270+173.060740j)  (505.640178+375.428534j)
 (0.120360+0.000000j)  (163.704677+259.920897j)  (46.558594+634.965811j)  (-246.890500+835.396246j)
 (0.121614+0.000000j)  (-165.664074+225.795284j)  (-707.032553+321.320655j)  (-1133.369916+50.838403j)
 (0.122867+0.000000j)  (-198.971576-100.739012j)  (-406.091511-628.117637j)  (-259.158748-1260.322373j)
 (0.124121+0.000000j)  (75.108139-132.324953j)  (552.031930-362.641024j)  (1189.371303-336.966270j)
 (0.125375+0.000000j)  (78.894156+48.858683j)  (299.085157+449.885391j)  (318.101542+815.157788j)
 (0.126629+0.000000j)  (-11.106766+70.074256j)  (-302.597334+182.659157j)  (-199.824619+84.277168j)
 (0.127882+0.000000j)  (-128.569814+60.051750j)  (-36.752648-262.407565j)  (327.383535+247.374549j)
 (0.129136+0.000000j)  (-152.836694-220.376302j)  (361.930211-53.513915j)  (-230.235516+542.613819j)
 (0.130390+0.000000j)  (262.591084-207.396963j)  (288.970542+376.990228j)  (-290.508328+42.526497j)
 (0.131644+0.000000j)  (132.298938+222.952907j)  (-172.322718+475.973985j)  (-228.576251+166.835580j)
 (0.132897+0.000000j)  (-143.645224-96.066758j)  (-406.150848+30.992404j)  (-434.056680-367.436750j)
 (0.134151+0.000000j)  (384.827483-91.111397j)  (21.882655-250.248239j)  (597.177868-526.285049j)
 (0.135405+0.000000j)  (87.844669+549.356522j)  (302.974780+216.948868j)  (671.536111+711.038779j)
 (0.136659+0.000000j)  (-472.993538+66.126458j)  (-266.921748+525.499001j)  (-418.967208+767.936763j)
 (0.137912+0.000000j)  (41.881651-181.514230j)  (-670.157333-108.362244j)  (-583.303237+96.604597j)
 (0.139166+0.000000j)  (-163.485956+255.731445j)  (-117.416992-625.808523j)  (-414.520911-255.932477j)
 (0.140420+0.000000j)  (-461.590498-362.308228j)  (447.064543-308.685196j)  (151.085567-434.635107j)
 (0.141674+0.000000j)  (336.104648-489.542373j)  (440.720702+206.339205j)  (428.409205+288.526325j)
 (0.142927+0.000000j)  (287.720008+199.382161j)  (16.621008+481.132859j)  (-372.622429+472.626411j)
 (0.144181+0.000000j)  (-78.779064+13.982364j)  (-466.529276+78.844016j)  (-434.920079-276.613814j)
 (0.145435+0.000000j)  (142.683737+22.530020j)  (-36.574864-488.059944j)  (127.143672-346.229502j)
 (0.146689+0.000000j)  (-150.557788+152.083008j)  (517.632917-11.116892j)  (362.459371-70.108550j)
 (0.147942+0.000000j)  (-98.688420-270.201000j)  (45.655214+456.997911j)  (376.576449+404.565069j)
 (0.149196+0.000000j)  (257.605553-42.293427j)  (-286.237845+85.864421j)  (-303.779764+613.048991j)
 (0.150450+0.000000j)  (-60.230824+108.262075j)  (-51.999980-127.401546j)  (-565.455100-156.044214j)
 (0.151704+0.000000j)  (33.816827-189.914243j)  (120.034105-49.306367j)  (160.092793-350.713812j)
 (0.152957+0.000000j)  (216.416029+74.165165j)  (118.992134+169.138803j)  (228.812377+236.329469j)
 (0.154211+0.000000j)  (-65.304819+80.157603j)  (-202.390722+147.342629j)  (-218.625389+172.142976j)
 (0.155465+0.000000j)  (120.271962-95.986779j)  (-55.556806-309.834576j)  (-8.946284-215.290131j)
 (0.156719+0.000000j)  (150.192583+210.739196j)  (503.935660-10.509128j)  (435.189194+132.549984j)
 (0.157972+0.000000j)  (-154.502090+146.128881j)  (108.530095+588.183179j)  (-34.261477+675.928208j)
 (0.159226+0.000000j)  (-47.909495-14.764378j)  (-433.195054+183.391345j)  (-580.146492+81.662691j)
 (0.160480+0.000000j)  (-77.955441+96.909999j)  (-62.572935-250.371514j)  (186.940175-281.971547j)
 (0.161734+0.000000j)  (-201.449565-67.765414j)  (259.000671+95.162977j)  (251.006023+682.559061j)
 (0.162987+0.000000j)  (-35.778364-194.608081j)  (-81.868397+370.689239j)  (-840.764344+500.888193j)
 (0.164241+0.000000j)  (68.117052-132.216877j)  (-339.754712+6.897613j)  (-551.846873-530.605402j)
 (0.165495+0.000000j)  (110.069232-86.598395j)  (34.009646-206.072520j)  (238.536446-292.709801j)
