"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
1.877153100E-2,1.406593472E-1,1.526303589E-1,9.598953247E0,9.601197036E0
2.127903100E-2,1.167173311E-1,1.765723825E-1,9.661202431E0,9.663520743E0
2.378887500E-2,1.310825497E-1,2.005143911E-1,9.761758804E0,9.764697825E0
2.630137500E-2,1.550245583E-1,2.244564146E-1,9.838373184E0,9.842154246E0
2.881679100E-2,1.741781682E-1,2.244564146E-1,9.895833969E0,9.899911548E0
3.133522900E-2,1.646013707E-1,2.292448133E-1,9.891045570E0,9.895070958E0
3.385668700E-2,1.741781682E-1,2.100912035E-1,9.843161583E0,9.846944008E0
3.638101000E-2,1.693897694E-1,2.005143911E-1,9.838373184E0,9.841874101E0
3.890793700E-2,1.646013707E-1,1.622071713E-1,9.838373184E0,9.841086916E0
4.143715600E-2,1.502361596E-1,1.334767491E-1,9.886257172E0,9.888299541E0
4.396825000E-2,1.550245583E-1,1.047463268E-1,9.943717957E0,9.945477927E0
4.650069800E-2,1.406593472E-1,9.038111567E-2,9.953294754E0,9.954698903E0
4.903403100E-2,1.502361596E-1,9.516951442E-2,9.910199165E0,9.911794774E0
5.156772900E-2,1.598129570E-1,1.143231317E-1,9.871891975E0,9.873847332E0
5.409715600E-2,1.598129570E-1,1.143231317E-1,9.838373184E0,9.840335201E0
5.661798900E-2,1.598129570E-1,1.334767491E-1,9.852738380E0,9.854938347E0
5.913882300E-2,1.598129570E-1,1.669955701E-1,9.891045570E0,9.893746013E0
6.165965600E-2,1.550245583E-1,1.813607812E-1,9.905410767E0,9.908283747E0
6.418048900E-2,1.741781682E-1,1.909375787E-1,9.910199165E0,9.913568615E0
6.670132300E-2,1.837549806E-1,1.957259923E-1,9.895833969E0,9.899474961E0
6.922220800E-2,1.885433793E-1,2.005143911E-1,9.876680374E0,9.880514655E0
7.174314600E-2,1.933317930E-1,1.957259923E-1,9.800065994E0,9.803926731E0
7.426413500E-2,2.124854028E-1,1.765723825E-1,9.723451614E0,9.727375759E0
7.678517700E-2,2.124854028E-1,1.669955701E-1,9.670779228E0,9.674554690E0
7.930627100E-2,2.124854028E-1,1.526303589E-1,9.656414032E0,9.659957455E0
8.182736400E-2,2.124854028E-1,1.382651478E-1,9.675567627E0,9.678888170E0
8.434845800E-2,1.981201917E-1,1.238999367E-1,9.694721222E0,9.697536923E0
8.686955200E-2,2.029085904E-1,9.995792061E-2,9.709086418E0,9.711720885E0
8.939069800E-2,1.981201917E-1,1.047463268E-1,9.699509621E0,9.702098241E0
9.191189600E-2,2.076970041E-1,9.516951442E-2,9.704298019E0,9.706986934E0
9.443314600E-2,2.172738016E-1,1.095347255E-1,9.718663216E0,9.721708721E0
9.695439600E-2,1.933317930E-1,1.238999367E-1,9.752182007E0,9.754885047E0
9.947564600E-2,1.981201917E-1,1.286883354E-1,9.771335602E0,9.774191104E0
1.019968960E-1,1.741781682E-1,1.430535465E-1,9.771335602E0,9.773934816E0
1.045181460E-1,1.789665818E-1,1.382651478E-1,9.790489197E0,9.793100888E0
1.070393960E-1,1.598129570E-1,1.430535465E-1,9.795277596E0,9.797625614E0
1.095606460E-1,1.646013707E-1,1.430535465E-1,9.771335602E0,9.773768842E0
1.120818960E-1,1.789665818E-1,1.382651478E-1,9.747393608E0,9.750016843E0
1.146029890E-1,1.837549806E-1,1.286883354E-1,9.728240013E0,9.730826292E0
1.171238230E-1,1.693897694E-1,1.334767491E-1,9.718663216E0,9.721055685E0
1.196446560E-1,1.550245583E-1,1.382651478E-1,9.723451614E0,9.725670217E0
1.221654890E-1,1.550245583E-1,1.430535465E-1,9.771335602E0,9.773612248E0
1.246863230E-1,1.598129570E-1,1.095347255E-1,9.804854393E0,9.806768464E0
1.272071560E-1,1.598129570E-1,1.191115379E-1,9.804854393E0,9.806880106E0
1.297279890E-1,1.550245583E-1,1.047463268E-1,9.828796387E0,9.830576932E0
1.322488230E-1,1.550245583E-1,1.143231317E-1,9.857526779E0,9.859408532E0
1.347696560E-1,1.454477459E-1,1.238999367E-1,9.867103577E0,9.868953300E0
1.372904890E-1,1.502361596E-1,1.382651478E-1,9.881468773E0,9.883577959E0
1.398113230E-1,1.358709484E-1,1.382651478E-1,9.886257172E0,9.888157514E0
1.423321560E-1,1.262941360E-1,1.382651478E-1,9.891045570E0,9.892818099E0
1.448529890E-1,1.215057373E-1,1.430535465E-1,9.895833969E0,9.897613748E0
1.473738230E-1,1.167173311E-1,1.478419602E-1,9.895833969E0,9.897626489E0
1.498946560E-1,1.262941360E-1,1.430535465E-1,9.876680374E0,9.878523662E0
1.524154890E-1,1.310825497E-1,1.526303589E-1,9.847949982E0,9.850004949E0
1.549363230E-1,1.358709484E-1,1.478419602E-1,9.833584785E0,9.835634595E0
1.574571560E-1,1.454477459E-1,1.430535465E-1,9.819219589E0,9.821338641E0
1.599780410E-1,1.310825497E-1,1.334767491E-1,9.814431190E0,9.816214050E0
1.624989790E-1,1.358709484E-1,1.382651478E-1,9.814431190E0,9.816345438E0
1.650199690E-1,1.550245583E-1,1.478419602E-1,9.828796387E0,9.831130569E0
1.675410100E-1,1.550245583E-1,1.430535465E-1,9.800065994E0,9.802335968E0
1.700621040E-1,1.885433793E-1,1.622071713E-1,9.814431190E0,9.817582155E0
1.725832500E-1,1.837549806E-1,1.669955701E-1,9.780912399E0,9.784063613E0
1.751044480E-1,1.741781682E-1,1.574187577E-1,9.776124001E0,9.778942641E0
1.776256980E-1,1.646013707E-1,1.478419602E-1,9.756970406E0,9.759478590E0
1.801470520E-1,1.789665818E-1,1.622071713E-1,9.747393608E0,9.750385754E0
1.826685100E-1,1.693897694E-1,1.813607812E-1,9.747393608E0,9.750552127E0
1.851900730E-1,1.741781682E-1,1.717839688E-1,9.728240013E0,9.731315508E0
1.877117390E-1,1.837549806E-1,1.669955701E-1,9.718663216E0,9.721834606E0
1.902334580E-1,1.981201917E-1,1.717839688E-1,9.723451614E0,9.726986822E0
1.927552290E-1,2.029085904E-1,1.526303589E-1,9.718663216E0,9.721979357E0
1.952770000E-1,1.933317930E-1,1.765723825E-1,9.694721222E0,9.698256264E0
1.977987190E-1,1.837549806E-1,1.669955701E-1,9.709086418E0,9.712260936E0
2.003197080E-1,1.981201917E-1,1.622071713E-1,9.728240013E0,9.731609144E0
2.028404370E-1,1.837549806E-1,1.669955701E-1,9.756970406E0,9.760129349E0
2.053611660E-1,1.837549806E-1,1.717839688E-1,9.766547203E0,9.769786072E0
2.078818960E-1,1.981201917E-1,1.622071713E-1,9.776124001E0,9.779476635E0
2.104026250E-1,1.789665818E-1,1.765723825E-1,9.766547203E0,9.769782552E0
2.129233540E-1,1.789665818E-1,1.765723825E-1,9.780912399E0,9.784142998E0
2.154440830E-1,1.789665818E-1,1.765723825E-1,9.785700798E0,9.788929816E0
2.179648120E-1,1.693897694E-1,1.861491799E-1,9.780912399E0,9.784150028E0
2.204855410E-1,1.741781682E-1,2.053027898E-1,9.809642792E0,9.813336791E0
2.230063230E-1,1.933317930E-1,1.957259923E-1,9.809642792E0,9.813499760E0
2.255271040E-1,1.837549806E-1,1.957259923E-1,9.809642792E0,9.813315763E0
2.280478850E-1,1.837549806E-1,2.005143911E-1,9.809642792E0,9.813412435E0
2.305686660E-1,1.933317930E-1,1.909375787E-1,9.809642792E0,9.813405425E0
2.330894480E-1,1.693897694E-1,1.957259923E-1,9.819219589E0,9.822630752E0
2.356102290E-1,1.598129570E-1,1.861491799E-1,9.814431190E0,9.817497201E0
2.381310100E-1,1.693897694E-1,1.622071713E-1,9.852738380E0,9.855529293E0
2.406517910E-1,1.550245583E-1,1.622071713E-1,9.847949982E0,9.850505704E0
2.431725730E-1,1.693897694E-1,1.526303589E-1,9.871891975E0,9.874524803E0
2.456933540E-1,1.550245583E-1,1.526303589E-1,9.881468773E0,9.883863301E0
2.482141350E-1,1.358709484E-1,1.526303589E-1,9.871891975E0,9.874006690E0
2.507349160E-1,1.550245583E-1,1.526303589E-1,9.881468773E0,9.883863301E0
2.532556980E-1,1.550245583E-1,1.717839688E-1,9.871891975E0,9.874603461E0
2.557764790E-1,1.550245583E-1,1.717839688E-1,9.852738380E0,9.855455136E0
2.582972600E-1,1.406593472E-1,1.574187577E-1,9.814431190E0,9.816701346E0
2.608180410E-1,1.454477459E-1,1.574187577E-1,9.795277596E0,9.797622104E0
2.633388750E-1,1.598129570E-1,1.717839688E-1,9.790489197E0,9.793300191E0
2.658597080E-1,1.502361596E-1,1.717839688E-1,9.766547203E0,9.769213116E0
2.683805410E-1,1.550245583E-1,1.669955701E-1,9.737816811E0,9.740482348E0
2.709013750E-1,1.693897694E-1,1.717839688E-1,9.747393608E0,9.750378699E0
2.734222080E-1,1.598129570E-1,1.526303589E-1,9.742605209E0,9.745111209E0
2.759430410E-1,1.550245583E-1,1.382651478E-1,9.752182007E0,9.754394074E0
2.784638750E-1,1.550245583E-1,1.191115379E-1,9.742605209E0,9.744566508E0
2.809847080E-1,1.598129570E-1,1.334767491E-1,9.766547203E0,9.768766580E0
2.835055410E-1,1.646013707E-1,1.286883354E-1,9.761758804E0,9.763994534E0
2.860263750E-1,1.598129570E-1,1.238999367E-1,9.756970406E0,9.759065676E0
2.885472080E-1,1.598129570E-1,1.095347255E-1,9.752182007E0,9.754106414E0
2.910680410E-1,1.550245583E-1,1.382651478E-1,9.766547203E0,9.768756018E0
2.935888750E-1,1.454477459E-1,1.334767491E-1,9.747393608E0,9.749392455E0
2.961097080E-1,1.693897694E-1,1.191115379E-1,9.747393608E0,9.749592946E0
2.986305410E-1,1.837549806E-1,1.191115379E-1,9.752182007E0,9.754640298E0
3.011513750E-1,1.741781682E-1,1.191115379E-1,9.752182007E0,9.754464593E0
3.036722080E-1,1.981201917E-1,1.238999367E-1,9.752182007E0,9.754981122E0
3.061930940E-1,1.837549806E-1,1.334767491E-1,9.776124001E0,9.778761803E0
3.087140310E-1,1.837549806E-1,1.478419602E-1,9.771335602E0,9.774181428E0
3.112350210E-1,1.885433793E-1,1.430535465E-1,9.752182007E0,9.755053399E0
3.137560620E-1,1.741781682E-1,1.382651478E-1,9.761758804E0,9.764291589E0
3.162772080E-1,1.885433793E-1,1.478419602E-1,9.785700798E0,9.788633508E0
3.187984580E-1,1.837549806E-1,1.382651478E-1,9.795277596E0,9.797976644E0
3.213198120E-1,1.693897694E-1,1.382651478E-1,9.800065994E0,9.802504967E0
3.238412710E-1,1.933317930E-1,1.286883354E-1,9.828796387E0,9.831539873E0
3.263628330E-1,1.789665818E-1,1.382651478E-1,9.833584785E0,9.836185034E0
3.288844480E-1,1.789665818E-1,1.382651478E-1,9.852738380E0,9.855333575E0
3.314060620E-1,1.885433793E-1,1.286883354E-1,9.847949982E0,9.850595319E0
3.339276770E-1,1.837549806E-1,1.334767491E-1,9.852738380E0,9.855355677E0
3.364489270E-1,1.789665818E-1,1.191115379E-1,9.843161583E0,9.845508953E0
3.389696560E-1,1.837549806E-1,1.334767491E-1,9.833584785E0,9.836207179E0
3.414902290E-1,1.741781682E-1,1.478419602E-1,9.852738380E0,9.855386795E0
3.440108020E-1,1.789665818E-1,1.478419602E-1,9.862315178E0,9.865046728E0
3.465313750E-1,1.933317930E-1,1.526303589E-1,9.852738380E0,9.855816902E0
3.490519480E-1,1.741781682E-1,1.526303589E-1,9.852738380E0,9.855459789E0
3.515725730E-1,1.741781682E-1,1.478419602E-1,9.814431190E0,9.817089939E0
3.540932500E-1,1.933317930E-1,1.430535465E-1,9.814431190E0,9.817377506E0
3.566139790E-1,1.741781682E-1,1.430535465E-1,9.804854393E0,9.807444724E0
3.591347600E-1,1.646013707E-1,1.478419602E-1,9.785700798E0,9.788201621E0
3.616555940E-1,1.646013707E-1,1.430535465E-1,9.795277596E0,9.797704889E0
3.641765310E-1,1.741781682E-1,1.478419602E-1,9.790489197E0,9.793154445E0
3.666975210E-1,1.741781682E-1,1.526303589E-1,9.785700798E0,9.788440845E0
3.692186140E-1,1.789665818E-1,1.478419602E-1,9.776124001E0,9.778879627E0
3.717397600E-1,1.693897694E-1,1.382651478E-1,9.776124001E0,9.778568945E0
3.742609580E-1,1.741781682E-1,1.334767491E-1,9.795277596E0,9.797735312E0
3.767822080E-1,1.693897694E-1,1.382651478E-1,9.776124001E0,9.778568945E0
3.793035100E-1,1.598129570E-1,1.382651478E-1,9.742605209E0,9.744896803E0
