"event","experiment time","system time","system time text"
"START",0.000000000E0,1716881652.035,"2024-05-28 13:04:12.035 UTC+05:30"
"PAUSE",1.036091385E1,1716881662.396,"2024-05-28 13:04:22.396 UTC+05:30"
