t,x,y,z
0.372545,3.79961,-3.79962,-1.8998
0.375066,-3.79961,5.69942,0
0.377586,-1.89981,-3.79961,1.8998
0.380107,3.79993,0,-7.59985
0.382627,5.70048,-3.80032,9.50079
0.385147,-3.8004,-3.8004,-7.60079
0.387666,-3.80079,5.70119,3.80079
0.390186,-1.9004,-3.80079,-5.70118
0.392705,0,5.70142,7.60189
0.395225,-3.80095,0,5.70142
0.397745,7.6019,5.70142,-1.90047
0.400264,-1.90048,3.80095,1.90047
0.402784,1.90044,1.90043,-3.80087
0.405304,-13.3028,1.90039,-13.3028
0.407823,-3.80071,7.60143,-3.80071
0.410343,5.70083,-1.90028,-3.80055
0.412863,1.9002,5.70059,1.9002
0.415383,3.80032,-1.90016,5.70047
0.417903,3.80024,0,-3.80024
0.420423,0,3.80017,1.90008
0.422943,-3.80016,-3.80017,-3.80016
0.425463,-1.90008,7.60033,0
0.427984,1.90008,0,0
0.430504,1.90008,5.70024,-5.70024
0.433024,-3.80016,3.80017,9.5004
0.435544,-3.80016,0,-1.90008
0.438064,0,3.80016,-3.80016
0.440584,1.90012,1.90012,5.70035
0.443104,-1.90039,-1.90039,0
0.445623,1.90059,3.80118,3.80118
0.448143,0,0,-9.50295
0.450662,-1.90059,5.70178,-3.80118
0.453181,1.90055,5.70165,0
0.455701,7.60205,-3.80102,0
0.458221,0,-1.90047,7.60189
0.46074,-3.80087,1.90043,7.60173
0.46326,0,-1.90039,0
0.46578,0,0,-3.80071
0.468299,-1.90032,3.80063,5.70095
0.470819,0,-5.70083,-1.90028
0.473339,0,-1.90025,-3.80047
0.475859,7.6008,0,3.80039
0.478379,1.9002,3.80041,0
0.480899,-3.8004,0,0
0.483419,-1.9002,5.70059,5.70059
0.485939,-3.8004,0,0
0.488459,-1.90024,-1.90024,5.70071
0.490979,5.70083,0,-3.80055
0.493498,0,1.90032,-1.90032
0.496018,-3.80063,-1.90032,-13.3022
0.498538,0,-1.90032,1.90032
0.501058,-3.80063,0,0
0.503578,3.80056,0,-1.90028
0.506098,0,-7.60112,1.90028
0.508617,1.90024,0,-3.80047
0.511137,0,-3.80047,-1.90024
0.513657,1.90024,1.90024,3.80047
0.516177,0,-3.80047,1.90024
0.518697,-1.90024,3.80047,-7.60095
0.521217,-1.90024,-5.70071,-11.4014
0.523737,-7.60095,3.80047,3.80047
0.526257,-3.80048,-5.70072,13.3017
0.528777,0,3.80041,0
0.531297,0,0,3.80032
0.533817,3.80024,-1.90012,-1.90012
0.536337,7.60033,0,1.90008
0.538857,-7.60017,3.80008,0
0.541377,7.60017,1.90004,-7.60016
0.543897,-3.80008,0,-1.90004
0.546417,1.90004,3.80008,0
0.548938,-1.90004,1.90005,3.80008
0.551458,1.90004,0,-1.90004
0.553978,3.80009,3.80008,0
0.556498,-3.80009,-5.70013,3.80008
0.559018,5.70013,0,3.80008
0.561538,0,1.90005,-9.5002
0.564058,0,7.60016,1.90004
0.566579,5.70001,0,-3.8
0.569099,0,0,11.4
0.571619,3.8,1.9,1.9
0.574139,-5.70001,5.70002,1.9
0.57666,-1.9,-3.80001,0
0.57918,0,5.70001,0
0.5817,7.60048,-1.90012,1.90012
0.58422,-5.7006,1.9002,-7.60079
0.58674,3.8004,1.9002,-5.70059
0.58926,1.90024,3.80047,1.90024
0.591779,-3.80048,0,-3.80047
0.594299,0,3.80049,-5.70071
0.596819,-5.70072,1.90024,5.70071
0.599339,0,3.80047,9.50118
0.601859,1.90028,-5.70083,-9.50138
0.604379,3.80103,-1.90051,-3.80102
0.606898,-3.80103,3.80102,3.80102
0.609418,-5.70154,5.70154,3.80102
0.611937,1.90051,-3.80102,-1.90051
0.614457,1.90051,-7.60206,0
0.616976,-1.90047,3.80096,3.80095
0.619496,3.80087,0,1.90043
0.622016,-3.80079,3.80079,-3.80079
0.624535,1.90035,-5.70106,0
0.627055,-7.60127,-1.90033,0
0.629575,-3.80055,-7.6011,3.80055
0.632095,9.50119,5.70071,-3.80047
0.634615,0,-3.80039,0
0.637135,-3.80032,-7.60064,-1.90016
0.639655,1.90012,1.90012,-3.80024
0.642175,-3.80016,-7.60032,0
0.644695,-3.80008,0,5.70012
0.647215,1.9,0,1.9
0.649736,1.89997,-11.3998,3.79992
0.652256,-1.89993,-3.79984,-5.69977
0.654776,-3.79985,0,3.79985
0.657297,1.89993,-3.79986,0
0.659817,-3.79985,-1.89992,0
0.662337,1.9,-3.8,1.9
0.664857,7.60142,0,1.90035
0.667376,-7.60205,-5.70155,-1.90051
0.669896,3.80103,-5.70154,3.80102
0.672415,7.60205,-1.90051,-1.90051
0.674935,-7.6019,-3.80096,-3.80095
0.677455,3.80087,-3.80087,3.80087
0.679974,0,-1.90039,5.70118
0.682494,-5.70107,0,-5.70106
0.685014,5.70083,-3.80056,1.90028
0.687534,0,-9.50099,3.80039
0.690054,5.70048,-5.70048,3.80032
0.692574,-5.70036,1.90012,1.90012
0.695094,0,-1.90008,3.80016
0.697614,7.60033,1.90008,0
0.700134,1.90008,0,0
0.702654,-5.70025,0,5.70024
0.705174,-7.60033,1.90008,-7.60032
0.707694,-1.90047,-9.50237,-5.70142
0.710214,9.50237,1.90047,-1.90047
0.712733,3.80095,-1.90047,3.80095
0.715253,-1.90048,0,5.70142
0.717772,-1.90043,-3.80087,0
0.720292,0,5.70119,-7.60158
0.722812,1.90035,3.80071,1.90035
0.725332,3.80032,0,-5.70047
0.727852,0,1.90016,-3.80032
0.730372,-5.70048,0,5.70047
0.732892,-3.80032,3.80032,1.90016
0.735412,-1.90016,-3.80032,1.90016
0.737932,11.401,3.80032,0
0.740451,-1.90059,0,7.60236
0.742971,-7.60237,7.60237,-11.4035
0.74549,5.70178,0,-7.60236
0.748009,3.80119,7.60237,1.90059
0.750529,-3.80111,5.70167,-1.90055
0.753048,1.90051,0,-3.80102
0.755568,-3.80087,1.90043,5.7013
0.758088,-3.80071,5.70106,1.90035
0.760608,5.70084,0,-9.50138
0.763128,-1.9002,5.7006,0
0.765648,-5.70036,5.70036,-3.80024
0.768168,-1.90004,-3.80008,5.70012
0.770688,0,3.8,-1.9
0.773208,-1.89996,1.89996,-5.69989
0.775729,5.69977,0,0
0.778249,0,1.89988,5.69965
0.780769,-3.79977,5.69966,-5.69965
0.78329,0,0,7.59953
0.78581,-1.89988,3.79977,-1.89988
0.78833,1.90008,1.90008,1.90008
0.79085,-1.90016,1.90017,1.90016
0.79337,5.70095,1.90032,-9.50158
0.79589,1.90044,0,3.80087
0.798409,-3.80103,-5.70155,-1.90051
0.800929,-3.80103,11.4031,1.90051
0.803448,7.60205,7.60206,7.60205
0.805968,-1.90051,-5.70155,-5.70153
0.808487,-1.90051,-1.90051,9.50256
0.811007,-5.70154,1.90051,-5.70154
0.813526,1.90048,-5.70142,-1.90047
0.816046,0,0,3.80087
0.818566,5.70119,5.70118,-3.80079
0.821085,3.80071,-3.80071,0
0.823605,-7.60127,-5.70095,7.60126
0.826125,0,1.90028,0
0.828645,5.70072,0,-7.60095
0.831165,1.9002,1.9002,1.9002
0.833685,3.80032,-3.80032,0
0.836205,-1.90012,3.80024,-3.80024
0.838725,-1.90012,-3.80024,-7.60048
0.841245,0,-1.90013,3.80024
0.843765,1.90012,0,-7.60048
0.846285,0,1.90013,0
0.848805,-3.80024,-3.80025,3.80024
0.851325,1.90012,-7.60048,-1.90012
0.853845,-1.90012,1.90012,-5.70036
0.856365,1.90012,1.90012,3.80024
0.858885,5.70036,5.70036,9.5006
