"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
1.788410550E-1,3.052607179E-2,2.723404467E-1,9.804854393E0,9.808683440E0
1.813612640E-1,3.531447425E-2,2.675520480E-1,9.814431190E0,9.818140904E0
1.838814720E-1,4.010287672E-2,2.675520480E-1,9.819219589E0,9.822945876E0
1.864016800E-1,3.052607179E-2,2.531868219E-1,9.785700798E0,9.789023216E0
1.889218370E-1,4.010287672E-2,2.627636492E-1,9.790489197E0,9.794096778E0
1.914413680E-1,2.573766746E-2,2.819172442E-1,9.780912399E0,9.785008284E0
1.939608990E-1,2.094926499E-2,2.675520480E-1,9.814431190E0,9.818099743E0
1.964804300E-1,2.094926499E-2,2.340332121E-1,9.824007988E0,9.826817560E0
1.989999620E-1,1.616086066E-2,2.292448133E-1,9.804854393E0,9.807547299E0
2.015194930E-1,1.137245819E-2,2.388216257E-1,9.809642792E0,9.812556079E0
2.040390240E-1,2.573766746E-2,2.388216257E-1,9.795277596E0,9.798222358E0
2.065585550E-1,3.052607179E-2,2.196680009E-1,9.804854393E0,9.807362313E0
2.090780870E-1,2.573766746E-2,2.196680009E-1,9.819219589E0,9.821710126E0
2.115976180E-1,2.573766746E-2,2.148796022E-1,9.809642792E0,9.812029727E0
2.141171490E-1,2.094926499E-2,2.244564146E-1,9.795277596E0,9.797871337E0
2.166366800E-1,2.094926499E-2,2.196680009E-1,9.800065994E0,9.802549994E0
2.191560550E-1,3.052607179E-2,2.100912035E-1,9.776124001E0,9.778428843E0
2.216754300E-1,3.052607179E-2,2.053027898E-1,9.790489197E0,9.792689099E0
2.241948050E-1,1.616086066E-2,1.957259923E-1,9.790489197E0,9.792458759E0
2.267141800E-1,2.094926499E-2,2.005143911E-1,9.800065994E0,9.802139480E0
2.292335550E-1,3.052607179E-2,2.053027898E-1,9.790489197E0,9.792689099E0
2.317528780E-1,1.616086066E-2,1.957259923E-1,9.780912399E0,9.782883890E0
2.342722010E-1,2.573766746E-2,1.909375787E-1,9.790489197E0,9.792384709E0
2.367915240E-1,4.010287672E-2,2.005143911E-1,9.795277596E0,9.797411772E0
2.393108470E-1,3.052607179E-2,2.005143911E-1,9.795277596E0,9.797377253E0
2.418301700E-1,2.573766746E-2,2.053027898E-1,9.785700798E0,9.787888014E0
2.443494930E-1,2.573766746E-2,2.148796022E-1,9.771335602E0,9.773731893E0
2.468688160E-1,1.137245819E-2,2.148796022E-1,9.771335602E0,9.773704621E0
2.493881390E-1,3.052607179E-2,2.005143911E-1,9.771335602E0,9.773440403E0
2.519074620E-1,3.531447425E-2,2.100912035E-1,9.776124001E0,9.778444963E0
2.544267850E-1,3.531447425E-2,2.053027898E-1,9.776124001E0,9.778343255E0
2.569461070E-1,1.137245819E-2,2.053027898E-1,9.780912399E0,9.783073440E0
2.594654300E-1,3.052607179E-2,2.196680009E-1,9.776124001E0,9.778639289E0
2.619847530E-1,2.573766746E-2,2.244564146E-1,9.785700798E0,9.788308496E0
2.645040760E-1,2.573766746E-2,2.005143911E-1,9.780912399E0,9.783001370E0
2.670234510E-1,1.616086066E-2,2.100912035E-1,9.780912399E0,9.783181837E0
2.695428780E-1,2.094926499E-2,2.100912035E-1,9.771335602E0,9.773616354E0
2.720623570E-1,3.052607179E-2,2.148796022E-1,9.780912399E0,9.783320114E0
2.745818890E-1,3.052607179E-2,2.244564146E-1,9.780912399E0,9.783535143E0
2.771014720E-1,1.616086066E-2,2.627636492E-1,9.790489197E0,9.794028008E0
2.796211070E-1,2.573766746E-2,2.483984232E-1,9.790489197E0,9.793673617E0
2.821407950E-1,1.616086066E-2,2.579752207E-1,9.776124001E0,9.779540524E0
2.846605350E-1,1.616086066E-2,2.483984232E-1,9.780912399E0,9.784079431E0
2.871803260E-1,2.573766746E-2,2.436100245E-1,9.795277596E0,9.798340239E0
2.897001180E-1,3.052607179E-2,2.723404467E-1,9.795277596E0,9.799110385E0
2.922199100E-1,4.489128292E-2,2.771288455E-1,9.814431190E0,9.818445662E0
2.947394930E-1,4.010287672E-2,2.819172442E-1,9.809642792E0,9.813774874E0
2.972588680E-1,1.616086066E-2,2.819172442E-1,9.795277596E0,9.799347003E0
2.997781390E-1,1.137245819E-2,2.675520480E-1,9.795277596E0,9.798937524E0
3.022974100E-1,2.573766746E-2,2.675520480E-1,9.804854393E0,9.808537923E0
3.048166800E-1,3.531447425E-2,2.723404467E-1,9.814431190E0,9.818272558E0
3.073359510E-1,2.573766746E-2,2.771288455E-1,9.809642792E0,9.813590297E0
3.098552220E-1,3.052607179E-2,2.723404467E-1,9.819219589E0,9.823043037E0
3.123744930E-1,3.531447425E-2,2.819172442E-1,9.785700798E0,9.789824541E0
3.148937640E-1,4.489128292E-2,2.819172442E-1,9.776124001E0,9.780291051E0
