"event","experiment time","system time","system time text"
"START",0.000000000E0,1716694808.904,"2024-05-26 09:10:08.904 UTC+05:30"
"PAUSE",2.172068385E1,1716694830.625,"2024-05-26 09:10:30.625 UTC+05:30"
