"event","experiment time","system time","system time text"
"START",0.000000000E0,1716882715.151,"2024-05-28 13:21:55.151 UTC+05:30"
"PAUSE",1.495991192E1,1716882730.111,"2024-05-28 13:22:10.111 UTC+05:30"
