"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
1.811789070E-1,1.550245583E-1,2.292448133E-1,9.742605209E0,9.746534875E0
1.836986460E-1,1.550245583E-1,2.340332121E-1,9.733028412E0,9.737075856E0
1.862184380E-1,1.598129570E-1,2.292448133E-1,9.737816811E0,9.741825784E0
1.887382820E-1,1.598129570E-1,2.244564146E-1,9.756970406E0,9.760860226E0
1.912581250E-1,1.646013707E-1,2.196680009E-1,9.756970406E0,9.760830863E0
1.937779690E-1,1.741781682E-1,2.244564146E-1,9.761758804E0,9.765892364E0
1.962978130E-1,1.789665818E-1,2.292448133E-1,9.752182007E0,9.756517622E0
1.988176570E-1,1.693897694E-1,2.100912035E-1,9.733028412E0,9.736769139E0
2.013375000E-1,1.789665818E-1,2.196680009E-1,9.737816811E0,9.741938170E0
2.038573440E-1,1.981201917E-1,2.148796022E-1,9.756970406E0,9.761347056E0
2.063770320E-1,1.933317930E-1,2.148796022E-1,9.771335602E0,9.775609949E0
2.088967190E-1,1.837549806E-1,2.100912035E-1,9.790489197E0,9.794466954E0
2.114164070E-1,1.837549806E-1,2.100912035E-1,9.800065994E0,9.804039866E0
2.139360940E-1,1.741781682E-1,2.100912035E-1,9.819219589E0,9.823011233E0
2.164558340E-1,1.837549806E-1,2.100912035E-1,9.833584785E0,9.837545118E0
2.189756250E-1,1.741781682E-1,2.100912035E-1,9.833584785E0,9.837370893E0
2.214954690E-1,1.646013707E-1,2.100912035E-1,9.828796387E0,9.832419353E0
2.240153650E-1,1.741781682E-1,2.053027898E-1,9.819219589E0,9.822909987E0
2.265353130E-1,1.598129570E-1,2.148796022E-1,9.800065994E0,9.803724135E0
2.290552610E-1,1.598129570E-1,2.148796022E-1,9.790489197E0,9.794150915E0
2.315752090E-1,1.598129570E-1,2.148796022E-1,9.804854393E0,9.808510748E0
2.340951570E-1,1.741781682E-1,2.148796022E-1,9.809642792E0,9.813541816E0
2.366151050E-1,1.646013707E-1,2.005143911E-1,9.824007988E0,9.827432655E0
2.391350520E-1,1.646013707E-1,1.861491799E-1,9.824007988E0,9.827150049E0
2.416550000E-1,1.406593472E-1,1.909375787E-1,9.819219589E0,9.822083056E0
2.441749480E-1,1.406593472E-1,1.909375787E-1,9.838373184E0,9.841231078E0
2.466948960E-1,1.502361596E-1,2.005143911E-1,9.824007988E0,9.827202546E0
2.492148440E-1,1.262941360E-1,2.148796022E-1,9.814431190E0,9.817595584E0
2.517343750E-1,1.262941360E-1,2.196680009E-1,9.800065994E0,9.803341151E0
2.542539070E-1,1.215057373E-1,2.148796022E-1,9.790489197E0,9.793600747E0
2.567734380E-1,1.119289324E-1,2.340332121E-1,9.785700798E0,9.789138866E0
2.592928130E-1,9.277531505E-2,2.340332121E-1,9.761758804E0,9.765004545E0
2.618121880E-1,1.023521200E-1,2.244564146E-1,9.771335602E0,9.774449145E0
2.643315630E-1,1.119289324E-1,2.053027898E-1,9.776124001E0,9.778920073E0
2.668509380E-1,1.071405262E-1,2.100912035E-1,9.766547203E0,9.769394130E0
2.693703130E-1,1.119289324E-1,2.244564146E-1,9.737816811E0,9.741046402E0
2.718896880E-1,1.023521200E-1,2.244564146E-1,9.723451614E0,9.726580485E0
2.744090630E-1,1.023521200E-1,2.388216257E-1,9.728240013E0,9.731709278E0
2.769284900E-1,1.023521200E-1,2.579752207E-1,9.718663216E0,9.722625256E0
2.794479690E-1,1.119289324E-1,2.292448133E-1,9.723451614E0,9.726797652E0
2.819675000E-1,1.071405262E-1,2.292448133E-1,9.728240013E0,9.731530508E0
2.844870840E-1,1.119289324E-1,2.292448133E-1,9.742605209E0,9.745944671E0
2.870067710E-1,1.071405262E-1,2.388216257E-1,9.747393608E0,9.750907497E0
2.895265630E-1,1.215057373E-1,2.436100245E-1,9.756970406E0,9.760767438E0
2.920465110E-1,1.215057373E-1,2.627636492E-1,9.776124001E0,9.780409442E0
2.945665630E-1,1.167173311E-1,2.723404467E-1,9.771335602E0,9.775826906E0
2.970867190E-1,1.119289324E-1,2.771288455E-1,9.776124001E0,9.780691640E0
2.996069800E-1,1.310825497E-1,2.914940715E-1,9.790489197E0,9.795704678E0
3.021272920E-1,1.310825497E-1,2.867056429E-1,9.776124001E0,9.781205613E0
3.046476570E-1,1.215057373E-1,2.914940715E-1,9.790489197E0,9.795581205E0
3.071680210E-1,1.119289324E-1,3.010708690E-1,9.790489197E0,9.795756758E0
3.096883860E-1,1.262941360E-1,2.867056429E-1,9.804854393E0,9.809858307E0
3.122087500E-1,1.358709484E-1,2.723404467E-1,9.809642792E0,9.814363043E0
3.147290630E-1,1.550245583E-1,2.867056429E-1,9.809642792E0,9.815056008E0
3.172489590E-1,1.598129570E-1,2.914940715E-1,9.809642792E0,9.815273846E0
3.197688550E-1,1.646013707E-1,2.771288455E-1,9.819219589E0,9.824508504E0
3.222887500E-1,1.693897694E-1,2.962824702E-1,9.843161583E0,9.849076411E0
3.248086460E-1,1.598129570E-1,2.723404467E-1,9.852738380E0,9.857797071E0
3.273285420E-1,1.502361596E-1,2.867056429E-1,9.843161583E0,9.848482166E0
3.298484380E-1,1.693897694E-1,2.867056429E-1,9.843161583E0,9.848792970E0
3.323683340E-1,1.837549806E-1,2.914940715E-1,9.838373184E0,9.844405599E0
3.348882820E-1,1.741781682E-1,2.962824702E-1,9.838373184E0,9.844374447E0
3.374082820E-1,1.502361596E-1,3.010708690E-1,9.838373184E0,9.844125227E0
3.399283340E-1,1.646013707E-1,3.010708690E-1,9.828796387E0,9.834783968E0
3.424484380E-1,1.741781682E-1,2.914940715E-1,9.809642792E0,9.815518251E0
3.449685940E-1,1.789665818E-1,2.819172442E-1,9.800065994E0,9.805753406E0
3.474888020E-1,1.693897694E-1,2.723404467E-1,9.819219589E0,9.824455993E0
3.500090110E-1,1.646013707E-1,2.675520480E-1,9.814431190E0,9.819457078E0
3.525292190E-1,1.693897694E-1,2.531868219E-1,9.800065994E0,9.804799333E0
3.550494270E-1,1.598129570E-1,2.292448133E-1,9.795277596E0,9.799263061E0
3.575696360E-1,1.502361596E-1,2.292448133E-1,9.809642792E0,9.813471139E0
3.600898440E-1,1.550245583E-1,2.292448133E-1,9.795277596E0,9.799186138E0
3.626100520E-1,1.598129570E-1,2.244564146E-1,9.776124001E0,9.780006203E0
3.651302610E-1,1.454477459E-1,2.388216257E-1,9.752182007E0,9.756190071E0
3.676502610E-1,1.406593472E-1,2.148796022E-1,9.756970406E0,9.760349881E0
3.701702610E-1,1.406593472E-1,2.340332121E-1,9.771335602E0,9.775149924E0
3.726902610E-1,1.454477459E-1,2.244564146E-1,9.752182007E0,9.755848996E0
3.752102610E-1,1.406593472E-1,2.100912035E-1,9.756970406E0,9.760245635E0
3.777302610E-1,1.406593472E-1,1.909375787E-1,9.742605209E0,9.745491187E0
3.802503130E-1,1.262941360E-1,1.957259923E-1,9.756970406E0,9.759750528E0
3.827704170E-1,1.215057373E-1,1.909375787E-1,9.766547203E0,9.769169109E0
3.852905730E-1,1.071405262E-1,1.813607812E-1,9.761758804E0,9.764031226E0
3.878107820E-1,1.358709484E-1,1.765723825E-1,9.756970406E0,9.759513831E0
3.903309900E-1,1.215057373E-1,1.622071713E-1,9.761758804E0,9.763862441E0
3.928511980E-1,1.119289324E-1,1.622071713E-1,9.761758804E0,9.763747959E0
3.953714070E-1,1.119289324E-1,1.478419602E-1,9.752182007E0,9.753944803E0
3.978916670E-1,1.310825497E-1,1.526303589E-1,9.747393608E0,9.749469771E0
4.004119270E-1,1.310825497E-1,1.382651478E-1,9.771335602E0,9.773192893E0
4.029321880E-1,1.215057373E-1,1.238999367E-1,9.780912399E0,9.782451748E0
4.054524480E-1,1.310825497E-1,1.238999367E-1,9.780912399E0,9.782575386E0
4.079727090E-1,1.310825497E-1,1.286883354E-1,9.756970406E0,9.758699443E0
4.104929690E-1,1.406593472E-1,1.382651478E-1,9.747393608E0,9.749388927E0
4.130132300E-1,1.454477459E-1,1.191115379E-1,9.747393608E0,9.749206365E0
4.155332300E-1,1.358709484E-1,1.143231317E-1,9.771335602E0,9.772948897E0
