"event","experiment time","system time","system time text"
"START",0.000000000E0,1716695134.403,"2024-05-26 09:15:34.403 UTC+05:30"
"PAUSE",1.667110822E1,1716695151.074,"2024-05-26 09:15:51.074 UTC+05:30"
