"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
8.750911400E-2,-3.007079661E-2,-4.404034466E-3,-1.292991638E-2,3.302773177E-2
9.241432300E-2,-3.594800830E-2,-4.097279161E-3,-1.175594330E-2,3.804272861E-2
9.732020800E-2,-2.417114377E-2,1.809545979E-2,1.994895935E-2,3.618909829E-2
1.022313540E-1,-3.110216558E-2,1.655986533E-2,1.841354370E-2,3.975716835E-2
1.071519270E-1,-1.549129188E-2,1.527991518E-2,1.709747314E-2,2.767272159E-2
1.120855210E-1,-1.887711883E-2,3.208815306E-2,7.018089294E-3,3.788467711E-2
1.170351040E-1,-2.662482858E-2,1.661463827E-2,-1.137828827E-2,3.338252755E-2
1.220028640E-1,-3.406985104E-2,2.009461448E-2,-1.695632935E-3,3.959069906E-2
1.269902080E-1,-1.865649223E-2,1.897646114E-2,-1.969051361E-2,3.310418563E-2
1.319976560E-1,-2.679392695E-2,8.802983910E-3,-3.226184845E-2,4.285130001E-2
1.370249480E-1,-3.459940851E-2,8.261378855E-3,-4.884243011E-2,6.042311171E-2
1.420709890E-1,-1.941807568E-2,-5.866248161E-3,-5.107307434E-2,5.495392118E-2
1.471340100E-1,-1.868395507E-2,-1.017216966E-2,-5.331897736E-2,5.740624146E-2
1.522116140E-1,-2.270200849E-2,-5.203291774E-3,-5.099391937E-2,5.606099578E-2
1.573009370E-1,-2.190589905E-2,-1.880580932E-2,-4.886531830E-2,5.675690451E-2
1.623987500E-1,-1.658280194E-2,-1.810755208E-2,-4.230976105E-2,4.891818315E-2
1.674987500E-1,-1.154214144E-2,-1.746518165E-2,-2.686500549E-2,3.405851023E-2
1.725987500E-1,7.127627730E-3,-1.687132195E-2,-1.203250885E-2,2.191405600E-2
1.776651040E-1,2.054780722E-3,-2.560716309E-2,2.254486084E-3,2.578820724E-2
1.826855730E-1,6.306663156E-3,-2.482582442E-2,6.807327271E-3,2.650349530E-2
1.877060420E-1,5.846053362E-3,-1.026427373E-2,3.898811340E-2,4.073824544E-2
1.927265100E-1,7.728040218E-4,-1.008570194E-2,3.773689270E-2,3.906906296E-2
1.977469790E-1,4.976689816E-4,-9.872555733E-3,2.264785767E-2,2.471114097E-2
2.027674480E-1,4.874646664E-3,-5.032222718E-3,2.196788788E-2,2.305804726E-2
2.077879170E-1,-4.815116525E-3,4.307527095E-3,1.668071747E-2,1.788816570E-2
