"event","experiment time","system time","system time text"
"START",0.000000000E0,1717404331.185,"2024-06-03 14:15:31.185 UTC+05:30"
"PAUSE",1.516544953E1,1717404346.351,"2024-06-03 14:15:46.351 UTC+05:30"
