"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
2.024783000E-2,-1.083376259E-1,2.483984232E-1,9.766547203E0,9.770306192E0
2.275512100E-2,-1.370680481E-1,2.436100245E-1,9.756970406E0,9.760973568E0
2.526470500E-2,-1.897404790E-1,2.244564146E-1,9.747393608E0,9.751823639E0
2.777694400E-2,-2.184709013E-1,2.196680009E-1,9.742605209E0,9.747529935E0
3.029204800E-2,-2.184709013E-1,2.244564146E-1,9.737816811E0,9.742853096E0
3.281012100E-2,-2.328361124E-1,1.574187577E-1,9.833584785E0,9.837600472E0
3.533111100E-2,-2.759317458E-1,9.995792061E-2,9.622895241E0,9.627369461E0
3.785491300E-2,-7.481880486E-2,3.393780887E-1,9.728240013E0,9.734445495E0
4.038126700E-2,-1.179144308E-1,1.765723825E-1,9.862315178E0,9.864600463E0
4.290986100E-2,-1.083376259E-1,1.526303589E-1,9.804854393E0,9.806640747E0
4.544027800E-2,-1.256955881E-2,2.100912035E-1,9.709086418E0,9.711367328E0
4.797204800E-2,-6.524199992E-2,2.005143911E-1,9.656414032E0,9.658715986E0
5.050465300E-2,-8.918401599E-2,2.005143911E-1,9.656414032E0,9.658907380E0
5.303762100E-2,-6.524199992E-2,2.148796022E-1,9.618106842E0,9.620728090E0
5.556777800E-2,-9.397241473E-2,2.292448133E-1,9.709086418E0,9.712247066E0
5.808861100E-2,-1.227028370E-1,2.244564146E-1,9.819219589E0,9.822551095E0
6.060944400E-2,-1.370680481E-1,2.579752207E-1,9.862315178E0,9.866640742E0
6.312991300E-2,-1.562216580E-1,2.436100245E-1,9.948506355E0,9.952714693E0
6.565038200E-2,-1.801636815E-1,2.579752207E-1,1.000596714E1,1.001091347E1
6.817085100E-2,-1.753752679E-1,2.819172442E-1,9.943717957E0,9.949259300E0
7.069131900E-2,-1.945288926E-1,2.531868219E-1,9.919775963E0,9.924913108E0
7.321178800E-2,-2.328361124E-1,2.196680009E-1,9.900622368E0,9.905795776E0
7.573225700E-2,-2.041056901E-1,2.244564146E-1,9.867103577E0,9.871766448E0
7.825272600E-2,-1.418564469E-1,2.292448133E-1,9.862315178E0,9.865999042E0
8.077319400E-2,-1.131260321E-1,2.148796022E-1,9.881468773E0,9.884452228E0
8.329366300E-2,-7.960720360E-2,2.531868219E-1,9.847949982E0,9.851525756E0
8.581413200E-2,-6.045359373E-2,2.675520480E-1,9.780912399E0,9.784757846E0
8.833460100E-2,-4.129998013E-2,2.531868219E-1,9.742605209E0,9.745982019E0
9.085506900E-2,-4.608838260E-2,2.579752207E-1,9.713874817E0,9.717409084E0
9.337553800E-2,-6.045359373E-2,2.723404467E-1,9.689932823E0,9.693947703E0
9.589600700E-2,-7.960720360E-2,2.723404467E-1,9.699509621E0,9.703658769E0
9.841647600E-2,-1.035492271E-1,2.675520480E-1,9.728240013E0,9.732469383E0
1.009369440E-1,-1.274912357E-1,2.867056429E-1,9.785700798E0,9.790730016E0
1.034574130E-1,-1.227028370E-1,2.819172442E-1,9.819219589E0,9.824032098E0
1.059779340E-1,-1.227028370E-1,3.106476665E-1,9.847949982E0,9.853612373E0
1.084985070E-1,-1.322796494E-1,3.250128925E-1,9.852738380E0,9.858984982E0
1.110191320E-1,-1.418564469E-1,3.010708690E-1,9.824007988E0,9.829643934E0
1.135398090E-1,-1.370680481E-1,2.914940715E-1,9.795277596E0,9.800572413E0
1.160605380E-1,-1.322796494E-1,2.723404467E-1,9.771335602E0,9.776025095E0
1.185813190E-1,-1.274912357E-1,2.771288455E-1,9.728240013E0,9.733021533E0
1.211021530E-1,-1.035492271E-1,2.771288455E-1,9.752182007E0,9.756668321E0
1.236229860E-1,-9.876082093E-2,2.723404467E-1,9.742605209E0,9.746911269E0
1.261438190E-1,-8.439560980E-2,2.819172442E-1,9.756970406E0,9.761407247E0
1.286646530E-1,-5.566519126E-2,2.867056429E-1,9.766547203E0,9.770913110E0
1.311854860E-1,-7.481880486E-2,2.723404467E-1,9.756970406E0,9.761057252E0
1.337061630E-1,-7.960720360E-2,2.675520480E-1,9.742605209E0,9.746603391E0
1.362267880E-1,-9.397241473E-2,2.771288455E-1,9.747393608E0,9.751785137E0
